platform,label,dtype,n2,backend,device,Total_Time_mean,Total_Time_std,Curves_Time_mean,Curves_Time_std,Tangents_Time_mean,Tangents_Time_std,Surface_Time_mean,Surface_Time_std,Speedup_vs_Python_CPU
Colab,apple,float32,1200,Numba,CPU,0.304347899,0.006336712,0.001393047,0.000147676,0.002376044,0.000121224,0.290364339,0.006636616,4.513521520974916
Colab,apple,float32,1200,Numba,GPU,0.037285933,0.004100242,0.001540796,0.000636956,0.004476452,0.00152884,0.008764453,0.000145071,36.841797468230176
Colab,apple,float32,1200,Python,CPU,1.373680792,0.208625701,0.192767246,0.061234672,0.541294907,0.098457338,0.629826346,0.119043814,1.0
Colab,apple,float32,1200,TensorV,CPU,0.387467519,0.006770609,0.02317756,0.002131605,0.003679894,0.000364056,0.277027789,0.005935179,3.5452798612520606
Colab,apple,float32,1200,TensorV,GPU,0.06830791,0.014027506,0.055129711,0.011825366,0.00565644,0.001196614,0.002462884,0.000526243,20.11012768506605
Colab,apple,float32,2500,Numba,CPU,1.212158565,0.372321444,0.002321166,0.002281644,0.005951652,0.00208836,1.178486486,0.364087037,2.9784738987510266
Colab,apple,float32,2500,Numba,GPU,0.05869953,0.003191155,0.001071271,3.48e-05,0.004042968,0.000457452,0.031444738,0.000657485,61.50615936788591
Colab,apple,float32,2500,Python,CPU,3.610382647,0.565768124,0.464970427,0.184889266,1.186120355,0.27765874,1.938105766,0.441119992,1.0
Colab,apple,float32,2500,TensorV,CPU,1.755072316,0.195928159,0.026053182,0.005038101,0.006705499,0.001232191,1.344208721,0.167637482,2.05711332466827
Colab,apple,float32,2500,TensorV,GPU,0.060344384,0.004427463,0.047512816,0.002229828,0.005722139,0.001148253,0.002348844,0.000521498,59.829637949407186
Colab,apple,float32,5000,Numba,CPU,4.594232368,1.560020517,0.001942487,0.000462917,0.01241933,0.00494128,4.532731393,1.549677792,1.8455393597540382
Colab,apple,float32,5000,Numba,GPU,0.192273448,0.015886205,0.001572758,0.000534818,0.011020011,0.004113577,0.130497835,0.005532667,44.097803161048
Colab,apple,float32,5000,Python,CPU,8.478836663,0.391865499,0.815537378,0.222963642,2.279149349,0.341720852,5.345067395,0.388203528,1.0
Colab,apple,float32,5000,TensorV,CPU,7.33789025,0.381740474,0.030843524,0.004246573,0.009063519,0.002748862,5.816506294,0.361349248,1.1554869825151717
Colab,apple,float32,5000,TensorV,GPU,0.070613813,0.03078884,0.054689431,0.027866344,0.005994736,0.000940774,0.00338597,0.000122175,120.07334404955584
Colab,apple,float64,1200,Numba,CPU,0.465824607,0.158521509,0.002167544,0.001285789,0.003151684,0.0015106,0.447951984,0.153820836,3.2324642351922814
Colab,apple,float64,1200,Numba,GPU,0.040115081,0.00402512,0.000940939,5.48e-05,0.002506991,0.000100214,0.013740633,0.0013851,37.536042417563614
Colab,apple,float64,1200,Python,CPU,1.505761382,0.250048887,0.195073986,0.060905229,0.513068019,0.083655901,0.7869301,0.166138454,1.0
