Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Data ET,Surface ST,Surface ET/End Time,n2,dtype,backend,device,platform,label,source_file,Total_Time,Curves_Time,Tangents_Time,Surface_Time,Compilation_Overhead
978.861169,978.8613211,978.8638529,978.8758503,987.6924899,987.6924899,987.6924899,997.9312414,1200,float32,Numba,CPU,Kaggle,apple,Numba_CPU_stats_Kaggle_apple.xlsx,19.07007242,0.002531788,8.816639651,10.23875146,Yes
805.2026323,805.2027146,814.7042767,825.5496945,832.8597635,832.8640894,832.8640992,833.534023,1200,float32,Numba,GPU,Colab,banana,Numba_GPU_stats_Colab_banana.xlsx,28.33139071,9.501562065,7.310068984,0.669923783,Yes
838.7398325,838.7400171,854.3995994,870.1898179,883.6012883,883.6012883,883.6012883,898.2677834,1200,float64,Numba,CPU,Kaggle,banana,Numba_CPU_stats_Kaggle_banana.xlsx,59.5279509,15.65958238,13.4114704,14.66649512,Yes
923.1369397,923.1371262,937.0451161,951.4883251,960.6035163,960.6035163,960.6035163,971.1515127,1200,float32,Numba,CPU,Kaggle,banana,Numba_CPU_stats_Kaggle_banana.xlsx,48.01457301,13.9079899,9.115191227,10.54799644,Yes
337.3859632,337.3860583,337.3881868,337.3978166,343.8117595,343.8162678,343.8162767,344.5434838,1200,float32,Numba,GPU,Kaggle,apple,Numba_GPU_stats_Kaggle_apple.xlsx,7.157520547,0.002128452,6.41394297,0.727207085,Yes
429.5468126,429.5469482,429.5486223,429.5586982,438.0731097,438.0731097,438.0731097,448.4052298,1200,float32,Numba,CPU,Colab,apple,Numba_CPU_stats_Colab_apple.xlsx,18.85841722,0.001674005,8.51441144,10.33212018,Yes
289.4628113,289.4629108,306.2542662,322.2866368,333.9419478,333.9419478,333.9419478,347.6252737,1200,float64,Numba,CPU,Colab,banana,Numba_CPU_stats_Colab_banana.xlsx,58.16246247,16.79135539,11.65531101,13.68332591,Yes
370.5710414,370.5712002,383.3188666,400.3491323,410.5999779,410.5999779,410.5999779,422.5978083,1200,float32,Numba,CPU,Colab,banana,Numba_CPU_stats_Colab_banana.xlsx,52.02676687,12.7476664,10.25084559,11.99783043,Yes
833.7700552,833.7701211,833.7710964,833.7790936,840.0733282,840.0777179,840.0777273,840.970187,1200,float32,Numba,GPU,Colab,apple,Numba_GPU_stats_Colab_apple.xlsx,7.200131842,0.000975356,6.294234582,0.892459737,Yes
277.1757491,277.1758389,287.6422761,298.4593738,307.350194,307.4544796,307.4544904,308.9059089,1200,float64,Numba,GPU,Kaggle,banana,Numba_GPU_stats_Kaggle_banana.xlsx,31.7301598,10.4664372,8.890820214,1.451418472,Yes
309.6597711,309.6598304,319.1760882,329.7230696,336.463461,336.467919,336.4679271,337.1690216,1200,float32,Numba,GPU,Kaggle,banana,Numba_GPU_stats_Kaggle_banana.xlsx,27.50925051,9.516257749,6.74039144,0.701094516,Yes
