Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Data ET,Surface ST,Surface ET/End Time,n2,dtype,backend,device,platform,label,source_file,Total_Time,Curves_Time,Tangents_Time,Surface_Time,Compilation_Overhead
296.392606,296.3931635,296.4370943,296.4459215,296.4503252,296.4507527,296.4507527,296.4529525,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.060346528,0.043930729,0.004403705,0.002199779,No
296.4808362,296.4814331,296.5286665,296.5374634,296.541806,296.5423064,296.5423064,296.5443876,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.063551412,0.047233451,0.004342526,0.002081116,No
296.5723302,296.5728619,296.6165767,296.6254701,296.630158,296.6306178,296.6306178,296.6329278,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.060597608,0.043714784,0.004687932,0.002309968,No
296.6606206,296.6611851,296.7049182,296.7138613,296.7185677,296.7190866,296.7190866,296.7212278,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.060607113,0.043733119,0.004706313,0.002141194,No
296.7491853,296.750098,296.7976279,296.8065243,296.8110434,296.8115202,296.8115202,296.8137488,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.064563519,0.047529932,0.004519144,0.002228592,No
296.8415445,296.842116,296.8863079,296.8952504,296.899857,296.9003699,296.9003699,296.9025706,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.061026125,0.044191856,0.004606658,0.002200691,No
296.9304027,296.9309858,296.9746285,296.9834415,296.9877833,296.9883149,296.9883149,296.9904862,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.060083491,0.043642646,0.004341867,0.002171237,No
297.0184576,297.0192455,297.0647012,297.0741605,297.0785471,297.0790671,297.0790671,297.0812745,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.062816855,0.045455669,0.00438654,0.002207399,No
297.1091056,297.10968,297.1536036,297.1623215,297.1666929,297.1671959,297.1671959,297.1693956,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.060290043,0.043923626,0.004371304,0.002199741,No
297.1971725,297.1976906,297.2722381,297.2874531,297.2930709,297.2936106,297.2936106,297.2965296,1200,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.099357197,0.07454752,0.005617795,0.002919061,No
298.7771457,298.7778149,298.8401288,298.8525958,298.8584514,298.8589231,298.8589231,298.8620286,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.08488287,0.062313894,0.0058556,0.003105442,No
298.8759567,298.8766371,298.9390914,298.951636,298.9575639,298.9581061,298.9581061,298.9612347,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.085278008,0.062454236,0.005927958,0.003128615,No
298.9755085,298.9762539,299.0360584,299.0480303,299.0538834,299.0543744,299.0543744,299.0572134,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.081704957,0.059804465,0.005853091,0.002839014,No
299.0713926,299.072111,299.1322284,299.1443661,299.1503023,299.1507526,299.1507526,299.1536579,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.082265348,0.060117492,0.005936215,0.002905341,No
299.1677981,299.168469,299.2284382,299.2428614,299.2487298,299.2492336,299.2492336,299.25382,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.086021852,0.059969143,0.005868408,0.004586416,No
299.2669383,299.2676461,299.3474161,299.3620678,299.3690558,299.3695761,299.3695761,299.3729214,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.105983082,0.079769967,0.006987913,0.003345284,No
299.3867049,299.3874229,299.4445037,299.456178,299.4618321,299.462411,299.462411,299.4651781,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.078473277,0.057080865,0.005654067,0.002767163,No
299.4794521,299.4801761,299.536811,299.5483626,299.5541908,299.5548013,299.5548013,299.5576001,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.078148077,0.056634926,0.005828128,0.002798817,No
299.5718256,299.5725198,299.6335395,299.6449918,299.6505088,299.6509949,299.6509949,299.6537935,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.081967866,0.061019677,0.00551703,0.002798632,No
299.6680446,299.6687028,299.7258818,299.7399019,299.7468682,299.7474038,299.7474038,299.7512566,1200,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.083212005,0.057178921,0.006966308,0.003852773,No
303.135118,303.1358076,303.1805112,303.1897513,303.1950749,303.1954146,303.1954146,303.1976759,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.062557888,0.044703526,0.005323644,0.002261281,No
303.31796,303.3186292,303.3621752,303.3711486,303.3762294,303.3766247,303.3766247,303.3788092,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.060849172,0.04354597,0.005080807,0.002184532,No
303.498157,303.4988203,303.5592798,303.5771232,303.5879096,303.5884669,303.5884669,303.5915538,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.093396805,0.060459489,0.010786416,0.003086921,No
303.7109805,303.7117835,303.7619724,303.77174,303.7772407,303.7776736,303.7776736,303.7801027,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.069122235,0.050188869,0.005500697,0.002429104,No
303.8991708,303.8997883,303.9457464,303.9548693,303.9599609,303.9604049,303.9604049,303.9627724,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.06360157,0.045958106,0.005091589,0.002367534,No
304.0819383,304.0826501,304.1270691,304.1363662,304.1415849,304.1420276,304.1420276,304.1443191,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.062380792,0.044418954,0.005218704,0.002291536,No
304.2635735,304.2643438,304.3110972,304.3202339,304.325593,304.3259375,304.3259375,304.3282372,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.064663742,0.046753423,0.005359173,0.0022997,No
304.448561,304.4492316,304.4937838,304.5028784,304.508151,304.5085507,304.5085507,304.5108288,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.062267787,0.044552229,0.005272652,0.002278117,No
304.6301146,304.6307899,304.6756589,304.6847376,304.6900351,304.6904122,304.6904122,304.6927214,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.062606767,0.044869026,0.005297494,0.002309145,No
304.8119544,304.8126218,304.8579308,304.8681968,304.8736693,304.8741391,304.8741391,304.8763126,2500,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.064358231,0.045308947,0.005472539,0.002173518,No
307.2142861,307.2149185,307.2602076,307.2693865,307.274347,307.274715,307.274715,307.2769135,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.062627461,0.045289092,0.004960511,0.002198557,No
307.3373368,307.3380378,307.3856532,307.3949704,307.3999852,307.4003691,307.4003691,307.4026826,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.065345832,0.047615451,0.005014821,0.002313581,No
307.4629913,307.4636733,307.5089501,307.5194243,307.5254832,307.5259505,307.5259505,307.5286097,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.065618424,0.045276828,0.006058846,0.002659163,No
307.5885794,307.5892814,307.652471,307.6653057,307.6706923,307.6711089,307.6711089,307.6733392,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.084759742,0.063189666,0.005386566,0.002230274,No
307.733718,307.7344821,307.7801114,307.7892129,307.7951889,307.7956789,307.7956789,307.7979197,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.064201669,0.045629261,0.00597599,0.002240818,No
307.8582931,307.8590405,307.9096068,307.920119,307.9255114,307.9259009,307.9259009,307.9283147,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.070021634,0.050566368,0.005392496,0.002413803,No
307.9884742,307.9891771,308.0349535,308.0441999,308.0491223,308.0494936,308.0494936,308.0517187,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.063244422,0.045776407,0.004922369,0.002225054,No
308.1121061,308.1127682,308.1697114,308.1788605,308.1837433,308.184176,308.184176,308.1863535,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.074247395,0.056943206,0.004882854,0.002177482,No
308.2467254,308.2473595,308.292323,308.3036507,308.3087351,308.3091528,308.3091528,308.31134,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.064614585,0.044963496,0.005084452,0.002187225,No
308.3717129,308.3724101,308.420438,308.4295748,308.434638,308.4350659,308.4350659,308.4374512,2500,float32,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.06573835,0.048027952,0.005063241,0.002385267,No
318.6218664,318.6226875,318.6677866,318.6770622,318.6824236,318.6839407,318.6839407,318.7538601,5000,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.131993735,0.045099072,0.005361368,0.069919407,No
319.1858651,319.186679,319.2326725,319.2418673,319.2473345,319.2500691,319.2500691,319.2536512,5000,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.067786089,0.04599347,0.005467211,0.003582085,No
319.7481878,319.7490161,319.795666,319.8048241,319.8102895,319.8123525,319.8123525,319.8159316,5000,float64,TensorV,GPU,Colab,vase,TensorV_GPU_stats_Colab_vase.xlsx,0.067743809,0.046649923,0.005465443,0.003579134,No
