Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23783.053088796,23783.053237154,23783.0538864,23783.062914003,23783.065212192,23783.334444267,1200,float64
23783.568754326,23783.568883887,23783.569590879,23783.57854639,23783.580878704,23783.846693966,1200,float64
23784.088325713,23784.088457506,23784.089137756,23784.098115498,23784.10052561,23784.37057218,1200,float64
23784.609847056,23784.609975877,23784.61064815,23784.619641536,23784.621904649,23784.887424483,1200,float64
23785.125349007,23785.12548772,23785.126161435,23785.135879278,23785.139793499,23785.410877851,1200,float64
23785.647052155,23785.647190793,23785.647862061,23785.661160722,23785.664887344,23785.968276358,1200,float64
23786.298758302,23786.298930801,23786.299910373,23786.31796737,23786.321780961,23786.646696857,1200,float64
23786.954641812,23786.954817581,23786.955786497,23786.974207479,23786.978155379,23787.320332533,1200,float64
23787.631057308,23787.631231079,23787.632256463,23787.650226791,23787.654076775,23787.982383651,1200,float64
23788.303910138,23788.304106969,23788.305130724,23788.321669721,23788.325572174,23788.60768918,1200,float64
23833.96126702,23833.961410825,23833.962109535,23833.971009255,23833.973309432,23834.115063268,1200,float32
23834.408539397,23834.408675542,23834.409319241,23834.418101379,23834.420388889,23834.558355695,1200,float32
23834.85630073,23834.856435028,23834.857083211,23834.868416348,23834.870734386,23835.010692053,1200,float32
23835.306355356,23835.306490944,23835.307146813,23835.315942781,23835.318269571,23835.467335923,1200,float32
23835.764399416,23835.764640621,23835.765716786,23835.777616776,23835.78024645,23835.921773143,1200,float32
23836.216956255,23836.217096604,23836.217733818,23836.226823606,23836.229133164,23836.409606027,1200,float32
23836.785883845,23836.786069821,23836.787040776,23836.8049435,23836.808922472,23837.004968483,1200,float32
23837.384030442,23837.384213435,23837.385176418,23837.402930806,23837.4069077,23837.59349708,1200,float32
23837.952196951,23837.952372228,23837.953328099,23837.97056969,23837.974452443,23838.161140525,1200,float32
23838.531685209,23838.531862483,23838.532869938,23838.550038551,23838.553921219,23838.770512077,1200,float32
23860.054733429,23860.054866637,23860.055683739,23860.073387291,23860.078237527,23861.208323495,2500,float64
23861.576967826,23861.577158625,23861.5784175,23861.621943911,23861.632110977,23863.023237453,2500,float64
23863.503614354,23863.50378816,23863.505021575,23863.541280673,23863.549429874,23864.786213227,2500,float64
23865.168811267,23865.168947508,23865.169793985,23865.187594297,23865.192518895,23866.314702991,2500,float64
23866.676106425,23866.676242166,23866.677100786,23866.694910133,23866.699609493,23867.836453661,2500,float64
23868.19592035,23868.196062624,23868.196862157,23868.214562922,23868.219418849,23869.344540585,2500,float64
23869.696365467,23869.696498228,23869.697328625,23869.715428638,23869.720177826,23870.846596963,2500,float64
23871.225272457,23871.225404511,23871.226236655,23871.249058648,23871.253848596,23872.382818483,2500,float64
23872.734306008,23872.734429979,23872.735263575,23872.754664278,23872.760707791,23873.881171677,2500,float64
23874.334833124,23874.335089747,23874.336332174,23874.37120022,23874.379435427,23876.117953447,2500,float64
23906.737632653,23906.737812926,23906.738705498,23906.756630847,23906.761420047,23907.446813961,2500,float32
