Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
2866.672056734,2866.672192694,2866.672771525,2866.681858939,2866.684087827,2866.992420999,1200,float64
2867.197633536,2867.197759385,2867.198360905,2867.206943967,2867.209202194,2867.521737449,1200,float64
2867.727168278,2867.727289924,2867.727899385,2867.736496493,2867.738708246,2868.049344267,1200,float64
2868.258688757,2868.258816897,2868.25944145,2868.267959943,2868.270201974,2868.582807452,1200,float64
2868.788765241,2868.788877645,2868.789499407,2868.798107627,2868.800391697,2869.11110509,1200,float64
2869.324931563,2869.32506931,2869.325680498,2869.334541854,2869.336783818,2869.652295315,1200,float64
2869.860757633,2869.86088411,2869.861505021,2869.870369155,2869.87260373,2870.186096607,1200,float64
2870.3998424,2870.399973344,2870.400598129,2870.409603512,2870.411861341,2870.735682854,1200,float64
2870.946613947,2870.946741185,2870.9473657,2870.956662081,2870.958935284,2871.276471294,1200,float64
2871.486049786,2871.486168036,2871.486752906,2871.495271005,2871.497488705,2871.807197505,1200,float64
2913.427896235,2913.42805687,2913.42868726,2913.43722305,2913.439477203,2913.598771647,1200,float32
2913.86250057,2913.862629183,2913.863231027,2913.872623318,2913.874864621,2914.035934774,1200,float32
2914.300341426,2914.300494793,2914.301115158,2914.309749912,2914.312082354,2914.473098337,1200,float32
2914.740356967,2914.740483211,2914.741089791,2914.749809467,2914.752038292,2914.911261555,1200,float32
2915.18286639,2915.183017362,2915.183597428,2915.192347069,2915.194611597,2915.356015315,1200,float32
2915.62217568,2915.622309112,2915.622889927,2915.631423734,2915.633644065,2915.793377031,1200,float32
2916.059234481,2916.059359489,2916.059967238,2916.06852158,2916.070816441,2916.230642516,1200,float32
2916.496406482,2916.496546979,2916.497172292,2916.506367483,2916.508641492,2916.671784135,1200,float32
2916.941233193,2916.941360128,2916.941943925,2916.950691843,2916.953070304,2917.114365553,1200,float32
2917.381352871,2917.381479871,2917.38209173,2917.391123676,2917.393373964,2917.553532258,1200,float32
2939.741905862,2939.74204065,2939.742797163,2939.760497375,2939.765103998,2941.096928845,2500,float64
2941.428209481,2941.428335194,2941.42912935,2941.447256571,2941.451802864,2942.777794538,2500,float64
2943.114255384,2943.114377369,2943.115402052,2943.132708598,2943.137249245,2944.452687495,2500,float64
2944.783892298,2944.784032191,2944.784810748,2944.802522537,2944.807076035,2946.124254941,2500,float64
2946.461097927,2946.461225512,2946.462020359,2946.479671026,2946.484192067,2947.803227573,2500,float64
2948.135635059,2948.135767018,2948.136578922,2948.154408482,2948.159032954,2949.485155307,2500,float64
2949.82440797,2949.824572005,2949.825451621,2949.843525476,2949.848360112,2951.183410475,2500,float64
2951.516256172,2951.516378735,2951.517182522,2951.534622101,2951.539169899,2952.849482474,2500,float64
2953.181934367,2953.182090528,2953.182872408,2953.200438235,2953.204962051,2954.524240824,2500,float64
2954.86054681,2954.86066199,2954.86145246,2954.879016049,2954.883589726,2956.203605234,2500,float64
2985.568322411,2985.56845355,2985.569185434,2985.586182236,2985.590722857,2986.291266313,2500,float32
2986.58076756,2986.580885143,2986.581650694,2986.598865981,2986.60340871,2987.302307012,2500,float32
2987.597453208,2987.597613814,2987.598452543,2987.615700455,2987.620305324,2988.321376796,2500,float32
2988.616281875,2988.616422981,2988.617169323,2988.634453794,2988.639128462,2989.337506699,2500,float32
2989.627322131,2989.627448074,2989.628191835,2989.645871044,2989.650459796,2990.357897318,2500,float32
2990.669965606,2990.670130878,2990.670846965,2990.688164193,2990.692717678,2991.388912738,2500,float32
2991.678347401,2991.678471816,2991.679193947,2991.696139163,2991.700894378,2992.405371955,2500,float32
2992.697977891,2992.698113767,2992.698824334,2992.71586587,2992.720667578,2993.420449019,2500,float32
2993.712310791,2993.712452436,2993.71323075,2993.730609423,2993.735230396,2994.438738983,2500,float32
2994.730495835,2994.730624243,2994.731347252,2994.748328893,2994.752842605,2995.450626878,2500,float32
3064.791704572,3064.791830585,3064.792940947,3064.827414888,3064.836596917,3070.084673024,5000,float64
3070.695519941,3070.69564345,3070.696759796,3070.73221322,3070.741535262,3075.98154366,5000,float64
3076.568596302,3076.568745818,3076.56986087,3076.604423666,3076.613577874,3081.878383855,5000,float64
3082.467295405,3082.467440718,3082.468585921,3082.50570738,3082.514843352,3087.745680881,5000,float64
