Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23777.930525979,23777.930679276,23777.93134182,23777.938083423,23777.940094291,23778.149846572,1200,float64
23778.379608897,23778.379737736,23778.380287948,23778.387141646,23778.389146995,23778.602052465,1200,float64
23778.838393952,23778.838518955,23778.83906889,23778.846115259,23778.848165142,23779.068932161,1200,float64
23779.304468031,23779.304596404,23779.305157952,23779.312026767,23779.314023671,23779.526249341,1200,float64
23779.756802566,23779.756929458,23779.757477697,23779.764289548,23779.766270424,23779.988156457,1200,float64
23780.225307896,23780.225434645,23780.225967111,23780.235216103,23780.237321414,23780.446769559,1200,float64
23780.677634226,23780.677758546,23780.67856041,23780.68666449,23780.688739865,23780.898583498,1200,float64
23781.142938775,23781.143133414,23781.143836328,23781.152275402,23781.154337651,23781.368148761,1200,float64
23781.599720588,23781.599846558,23781.600404743,23781.607151116,23781.609161274,23781.82622997,1200,float64
23782.068670082,23782.068796633,23782.069398779,23782.076273568,23782.082450128,23782.294701026,1200,float64
23821.651639523,23821.651770801,23821.652329934,23821.659043545,23821.661062042,23821.772260845,1200,float32
23822.061618298,23822.061757081,23822.062321677,23822.069802721,23822.072141834,23822.189506729,1200,float32
23822.464329911,23822.464465908,23822.464970351,23822.471643546,23822.473715862,23822.584801919,1200,float32
23822.873550255,23822.873683181,23822.874211348,23822.880904753,23822.882907858,23822.994408806,1200,float32
23823.275094471,23823.275224295,23823.275734343,23823.28247641,23823.284488145,23823.395753953,1200,float32
23823.671527334,23823.671662721,23823.672203949,23823.67910198,23823.681283048,23823.814371273,1200,float32
23824.208369607,23824.208535734,23824.209320027,23824.223393298,23824.226686059,23824.375459725,1200,float32
23824.724512899,23824.724684876,23824.725455788,23824.738683129,23824.742121208,23824.888495596,1200,float32
23825.263073503,23825.263240573,23825.263996971,23825.277778597,23825.281291515,23825.428449945,1200,float32
23825.779710622,23825.779889384,23825.780684923,23825.794406385,23825.797999887,23825.954788107,1200,float32
23845.346292682,23845.346418307,23845.347082873,23845.36034543,23845.36450073,23846.267072116,2500,float64
23846.602323343,23846.602450243,23846.603136824,23846.616891876,23846.620900459,23847.525179946,2500,float64
23847.863132899,23847.863264839,23847.86392112,23847.877348494,23847.881408543,23848.78157683,2500,float64
23849.21667534,23849.216844625,23849.21984401,23849.245161017,23849.252103044,23850.345589919,2500,float64
23850.798344984,23850.798509495,23850.799486897,23850.827409688,23850.834190258,23851.86810689,2500,float64
23852.222824272,23852.222957638,23852.223633862,23852.237457534,23852.241512433,23853.140859425,2500,float64
23853.490346634,23853.490521607,23853.491275944,23853.504808206,23853.508805108,23854.410322338,2500,float64
23854.751019217,23854.75114765,23854.751816437,23854.765456917,23854.769602683,23855.666559928,2500,float64
23856.008571653,23856.008713854,23856.009556296,23856.025710747,23856.029779644,23856.936838343,2500,float64
23857.278041573,23857.278168852,23857.278820821,23857.292270404,23857.296280938,23858.197377617,2500,float64
23896.188580061,23896.188756824,23896.189475197,23896.202723231,23896.206969331,23896.817952452,2500,float32
23897.197264071,23897.197397882,23897.198069011,23897.212110639,23897.216335603,23897.731053378,2500,float32
23898.049905976,23898.050050445,23898.050705764,23898.064494995,23898.068766215,23898.577522944,2500,float32
23898.893872496,23898.894013936,23898.894657747,23898.908348154,23898.91272619,23899.429050227,2500,float32
23899.757139886,23899.757272874,23899.75791254,23899.771508501,23899.775764565,23900.399811463,2500,float32
23900.813657477,23900.813828188,23900.814795852,23900.842406964,23900.849531141,23901.496560369,2500,float32
23901.936149366,23901.936325984,23901.937296194,23901.964519279,23901.971412294,23902.634519145,2500,float32
23902.968330686,23902.968465595,23902.969133603,23902.982986215,23902.987209829,23903.49037596,2500,float32
23903.823993175,23903.824135965,23903.824778968,23903.838362148,23903.84268412,23904.346886665,2500,float32
23904.678896202,23904.679096947,23904.679758455,23904.702699766,23904.710262379,23905.242380316,2500,float32
23932.854064513,23932.854190361,23932.855126303,23932.88121339,23932.889265313,23936.475252388,5000,float64
23936.981611639,23936.981744803,23936.982671955,23937.011445129,23937.021413011,23941.099590326,5000,float64
23941.617381812,23941.617522296,23941.618542516,23941.64858548,23941.657187587,23945.201215951,5000,float64
23945.715338759,23945.715464347,23945.716399745,23945.742933754,23945.751124221,23949.296117953,5000,float64
23949.804869582,23949.805010535,23949.805931335,23949.848436668,23949.856809095,23953.947541502,5000,float64
23954.472420659,23954.472546814,23954.473468954,23954.499653882,23954.507837217,23958.085612533,5000,float64
23958.604076966,23958.604215152,23958.605162236,23958.631980385,23958.640429547,23962.192035554,5000,float64
23962.705371755,23962.705508106,23962.706455036,23962.733216615,23962.741301165,23966.826727223,5000,float64
23967.330008341,23967.330138517,23967.331085626,23967.358821698,23967.367005175,23970.899516242,5000,float64
23971.404813088,23971.404936908,23971.405867563,23971.433042988,23971.4423539,23974.968107276,5000,float64
24107.184545192,24107.184724538,24107.186049125,24107.238523218,24107.252595667,24109.609937287,5000,float32
24110.028551945,24110.028682995,24110.029585448,24110.057726026,24110.066183116,24112.034881402,5000,float32
24112.457456064,24112.457587065,24112.458524408,24112.485652671,24112.494044167,24114.470600075,5000,float32
24114.89838478,24114.898526683,24114.899496035,24114.926090611,24114.934242956,24116.918592736,5000,float32
24117.341056025,24117.341187167,24117.342045607,24117.368742336,24117.377034029,24119.523331457,5000,float32
24120.092476177,24120.092644464,24120.09398373,24120.143745876,24120.157856317,24122.487912909,5000,float32
24122.896403498,24122.896537206,24122.897385019,24122.924453988,24122.933295318,24124.892617998,5000,float32
24125.331038748,24125.331169325,24125.332068937,24125.359125787,24125.367666966,24127.342134001,5000,float32
24127.759134457,24127.759264665,24127.760113919,24127.787064008,24127.795576434,24129.777602283,5000,float32
24130.206112068,24130.206245383,24130.207294676,24130.234700709,24130.243085254,24132.385558369,5000,float32
