Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
2861.509563694,2861.509705214,2861.51033392,2861.516829046,2861.518791255,2861.767951443,1200,float64
2861.977092604,2861.977206384,2861.977692279,2861.984167985,2861.986081401,2862.235228819,1200,float64
2862.441856308,2862.4419706,2862.442466723,2862.448967244,2862.450840647,2862.69982089,1200,float64
2862.902836273,2862.902950445,2862.903451103,2862.90995071,2862.911865801,2863.161952785,1200,float64
2863.367294383,2863.367408086,2863.367898645,2863.374745468,2863.376633838,2863.62527539,1200,float64
2863.828379264,2863.828502803,2863.829047775,2863.83579106,2863.837660844,2864.086134942,1200,float64
2864.292189399,2864.292300136,2864.29279746,2864.299205215,2864.301162575,2864.549712496,1200,float64
2864.75718471,2864.757324613,2864.757810413,2864.764318948,2864.766232678,2865.01474686,1200,float64
2865.219663124,2865.219779777,2865.220336835,2865.227067283,2865.229015001,2865.478664251,1200,float64
2865.682529613,2865.682652311,2865.683166846,2865.689619096,2865.691498674,2865.940271203,1200,float64
2902.133264022,2902.133387347,2902.134114587,2902.140986078,2902.142938355,2902.275808513,1200,float32
2902.532264254,2902.532382946,2902.532860701,2902.539567339,2902.541586911,2902.672173879,1200,float32
2902.924178365,2902.924303785,2902.924790622,2902.931417269,2902.933366019,2903.065298716,1200,float32
2903.318718643,2903.318836743,2903.319329303,2903.32567143,2903.327598156,2903.456803627,1200,float32
2903.714174094,2903.714290121,2903.71475786,2903.721123948,2903.723035668,2903.852631675,1200,float32
2904.109489633,2904.109609941,2904.110117257,2904.116453288,2904.118440944,2904.24757862,1200,float32
2904.502584219,2904.502721243,2904.503239915,2904.509809559,2904.511779506,2904.643578954,1200,float32
2904.896217069,2904.896336912,2904.89683061,2904.903203584,2904.905190383,2905.036271049,1200,float32
2905.288283996,2905.288394916,2905.28886857,2905.295228604,2905.297148923,2905.427034275,1200,float32
2905.68280191,2905.682921074,2905.683415029,2905.690109774,2905.692045868,2905.821561052,1200,float32
2924.134193656,2924.134313332,2924.134953962,2924.148244194,2924.152358789,2925.21174327,2500,float64
