Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23789.365497254,23789.365635585,23789.366279153,23789.375653596,23789.377998844,23789.649554594,1200,float64
23789.884581004,23789.884710846,23789.885425063,23789.896068587,23789.898610177,23790.174847047,1200,float64
23790.410552574,23790.410702419,23790.411350685,23790.423538424,23790.427395222,23790.69714947,1200,float64
23790.932672238,23790.932807996,23790.933477549,23790.942540275,23790.944842802,23791.217010051,1200,float64
23791.450520922,23791.45065552,23791.451325976,23791.468583674,23791.47240115,23791.739915519,1200,float64
23791.98194788,23791.98209672,23791.982755244,23791.994702166,23791.997048554,23792.263655634,1200,float64
23792.504398367,23792.504583742,23792.505587981,23792.522313532,23792.526257638,23792.789594676,1200,float64
23793.026801125,23793.026932919,23793.027588972,23793.036578786,23793.0388486,23793.300796219,1200,float64
23793.537562843,23793.537731914,23793.538742591,23793.552144881,23793.555883182,23793.823948061,1200,float64
23794.061728305,23794.061864568,23794.062522171,23794.071892502,23794.074190955,23794.337194739,1200,float64
23839.536723647,23839.536853523,23839.53749055,23839.546204555,23839.548623186,23839.689097436,1200,float32
23839.982075122,23839.982211322,23839.98287315,23839.994933889,23839.997438421,23840.138267821,1200,float32
23840.432566975,23840.432702955,23840.433373926,23840.442761629,23840.445111302,23840.584531745,1200,float32
23840.876843033,23840.876994025,23840.877765241,23840.886758516,23840.889182011,23841.030898127,1200,float32
23841.325833346,23841.325977003,23841.326621225,23841.335394807,23841.337667227,23841.476939612,1200,float32
23841.766978705,23841.767154234,23841.767788449,23841.776817591,23841.780338836,23841.929606435,1200,float32
23842.230287976,23842.230419786,23842.231080873,23842.239840438,23842.242318502,23842.382312901,1200,float32
23842.67576737,23842.675903085,23842.676641698,23842.685381617,23842.688297828,23842.838242854,1200,float32
23843.136298352,23843.136430552,23843.137080823,23843.145869257,23843.148282387,23843.288846804,1200,float32
23843.58319013,23843.58332376,23843.583960577,23843.592780435,23843.595227031,23843.736931663,1200,float32
23878.823754504,23878.823894255,23878.825356519,23878.845420906,23878.850684778,23879.969646345,2500,float64
23880.332243327,23880.332372347,23880.333217254,23880.351063023,23880.355783432,23881.476674232,2500,float64
23881.847769014,23881.847901977,23881.848753099,23881.867784784,23881.872707622,23882.99889582,2500,float64
23883.357154822,23883.357286801,23883.358159548,23883.375910609,23883.380646577,23884.504162678,2500,float64
23884.864532973,23884.864673147,23884.865514867,23884.883334513,23884.888639314,23886.032347734,2500,float64
23886.395587047,23886.395728041,23886.396546885,23886.414674114,23886.419412544,23887.636062236,2500,float64
23888.140679447,23888.140851311,23888.14210241,23888.178523857,23888.186451042,23889.608475665,2500,float64
23890.237591297,23890.237762246,23890.238742135,23890.257562607,23890.262392254,23891.488960542,2500,float64
23891.896848746,23891.896983004,23891.897830522,23891.915740703,23891.920425151,23893.059449807,2500,float64
23893.430986486,23893.431132859,23893.431960126,23893.450212367,23893.45494543,23894.589085756,2500,float64
23918.184335221,23918.184471503,23918.185240822,23918.202931674,23918.207663397,23918.822767466,2500,float32
23919.158822873,23919.158962767,23919.159786585,23919.179872469,23919.184890789,23919.805837907,2500,float32
23920.132839483,23920.132976052,23920.133762432,23920.151905015,23920.156954076,23920.780060951,2500,float32
23921.109504338,23921.109641996,23921.110459616,23921.128966958,23921.134066452,23921.754191441,2500,float32
23922.082342006,23922.082480345,23922.083291876,23922.101673411,23922.106739537,23922.732686684,2500,float32
23923.062822944,23923.062960757,23923.063742117,23923.081758486,23923.086692702,23923.70843455,2500,float32
23924.038920816,23924.039117301,23924.039884412,23924.058046936,23924.06305774,23924.689495915,2500,float32
23925.015155672,23925.015325884,23925.016317801,23925.035236873,23925.04027594,23925.781105685,2500,float32
23926.195354987,23926.195530344,23926.196729118,23926.233144119,23926.241305884,23927.022962997,2500,float32
23927.458208231,23927.458387309,23927.45954657,23927.498942613,23927.507590847,23928.238588731,2500,float32
24050.84482114,24050.84495192,24050.846129603,24050.880718883,24050.890213366,24055.332465929,5000,float64
24055.956849771,24055.95703547,24055.958735046,24056.026621831,24056.042880478,24060.972360739,5000,float64
24061.562859112,24061.562992716,24061.56417365,24061.599398119,24061.608979152,24066.042973314,5000,float64
24066.619175967,24066.619304179,24066.620469455,24066.656197384,24066.66543522,24071.7200745,5000,float64
24072.315076279,24072.315217369,24072.316408993,24072.351749837,24072.361391757,24076.871335471,5000,float64
24077.469065671,24077.469208733,24077.470388844,24077.507968479,24077.517592922,24082.244687739,5000,float64
24083.151359245,24083.151530958,24083.153278807,24083.224412827,24083.240309479,24087.867249129,5000,float64
24088.468458507,24088.468600803,24088.469777863,24088.505028138,24088.514531018,24093.006155876,5000,float64
24093.592101295,24093.592235289,24093.593411542,24093.628493591,24093.63816518,24098.721384383,5000,float64
24099.347379205,24099.347518002,24099.348715394,24099.385119799,24099.39472849,24103.915243166,5000,float64
24169.568688632,24169.568824744,24169.56988042,24169.604545883,24169.614512707,24172.621345341,5000,float32
24173.074605221,24173.074738624,24173.07581519,24173.111477655,24173.120963029,24175.547281297,5000,float32
24175.981890093,24175.982034436,24175.983097843,24176.022891975,24176.03285897,24178.495845544,5000,float32
24178.929975031,24178.930127074,24178.93122031,24178.966668286,24178.976665934,24181.403309126,5000,float32
24181.853244988,24181.853383017,24181.854436347,24181.890095153,24181.900221143,24184.885259704,5000,float32
24185.394903618,24185.395053875,24185.396106353,24185.432858782,24185.442995193,24187.859496491,5000,float32
24188.293757786,24188.293896908,24188.295057223,24188.330636573,24188.34046926,24190.764158562,5000,float32
24191.214972714,24191.215120042,24191.216165204,24191.25381835,24191.263716261,24193.71981527,5000,float32
24194.169863835,24194.170021466,24194.171087966,24194.207215735,24194.217397394,24197.063795679,5000,float32
24197.713422598,24197.713590278,24197.715266038,24197.76658494,24197.776172129,24200.207670597,5000,float32
