Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
2872.540777987,2872.540897155,2872.541514567,2872.550093104,2872.552329792,2872.860691995,1200,float64
2873.070944107,2873.071083137,2873.071726817,2873.080842022,2873.083214303,2873.389592168,1200,float64
2873.601425861,2873.601544669,2873.602181978,2873.610823142,2873.613083752,2873.921495181,1200,float64
2874.133186378,2874.133318549,2874.133925617,2874.1426372,2874.144867313,2874.451905511,1200,float64
2874.664099477,2874.664226803,2874.664869039,2874.673896741,2874.676156962,2874.9903874,1200,float64
2875.201725126,2875.201868376,2875.202548275,2875.211511413,2875.213800957,2875.528683814,1200,float64
2875.741876174,2875.742023439,2875.742655065,2875.751686351,2875.753919177,2876.068982044,1200,float64
2876.283707702,2876.283835033,2876.284483552,2876.293579444,2876.295822715,2876.610046442,1200,float64
2876.81944824,2876.819584012,2876.820225604,2876.829091578,2876.83133623,2877.144579604,1200,float64
2877.355333956,2877.35544845,2877.356061227,2877.364581308,2877.366842917,2877.676634862,1200,float64
2918.255635237,2918.255762057,2918.256359687,2918.26536146,2918.267643022,2918.4288492,1200,float32
2918.697906702,2918.698050726,2918.698629453,2918.707375508,2918.709806796,2918.871907577,1200,float32
2919.142046804,2919.142177051,2919.14274971,2919.151419054,2919.153629427,2919.314021119,1200,float32
2919.583506441,2919.583633143,2919.584235062,2919.592861141,2919.595106788,2919.756229743,1200,float32
2920.025600192,2920.025744377,2920.026363292,2920.035529834,2920.037813558,2920.201748155,1200,float32
2920.476877081,2920.477025846,2920.477627735,2920.486393715,2920.488624909,2920.664246545,1200,float32
2920.937339958,2920.937467975,2920.938107783,2920.947211112,2920.949558184,2921.113769768,1200,float32
2921.379702151,2921.379829711,2921.380417209,2921.388977611,2921.391346068,2921.552572077,1200,float32
2921.821162173,2921.821285458,2921.821877634,2921.830475259,2921.832749189,2921.997193372,1200,float32
2922.267879322,2922.268017119,2922.268592639,2922.277559156,2922.279828676,2922.442550897,1200,float32
2958.219393404,2958.219536029,2958.220328401,2958.237716305,2958.24232065,2959.563284613,2500,float64
2959.911339905,2959.911468009,2959.912282987,2959.929829546,2959.93433455,2961.262211179,2500,float64
2961.589917098,2961.590054689,2961.590828381,2961.608644127,2961.613180094,2962.928963083,2500,float64
2963.265406985,2963.265532536,2963.266341431,2963.283601698,2963.28834991,2964.615514271,2500,float64
2964.960910788,2964.961050349,2964.961820828,2964.979992304,2964.984598881,2966.294264323,2500,float64
2966.622952313,2966.623087938,2966.623858161,2966.641131668,2966.645695006,2967.963134913,2500,float64
2968.306233156,2968.306358195,2968.307153161,2968.324192745,2968.328864773,2969.645690345,2500,float64
2969.981340464,2969.981464497,2969.982246791,2969.999363719,2970.004030492,2971.343430711,2500,float64
2971.68086046,2971.680985531,2971.681793661,2971.700413825,2971.705028396,2973.024402327,2500,float64
2973.363301694,2973.363431313,2973.36422662,2973.38199354,2973.386509496,2974.712802911,2500,float64
2996.754620562,2996.754767766,2996.755474989,2996.772940259,2996.777579418,2997.481799674,2500,float32
2997.766623658,2997.766753529,2997.76769012,2997.785295491,2997.790023098,2998.495726686,2500,float32
2998.791784403,2998.791913263,2998.79265795,2998.810030896,2998.814588384,2999.51803709,2500,float32
2999.809126716,2999.80927139,2999.809979636,2999.827112055,2999.831669119,3000.553249739,2500,float32
3000.858990667,3000.859128899,3000.859857035,3000.877381926,3000.882051129,3001.583347858,2500,float32
3001.874272906,3001.87440219,3001.87512897,3001.893179151,3001.897746213,3002.599938992,2500,float32
3002.888274718,3002.888406409,3002.889132904,3002.90673043,3002.911314254,3003.614041438,2500,float32
3003.902776885,3003.902900862,3003.90361427,3003.921507678,3003.926083365,3004.63042981,2500,float32
3004.920228179,3004.920355957,3004.921108019,3004.938602012,3004.943225584,3005.647188854,2500,float32
3005.936604642,3005.936731025,3005.937450707,3005.954888748,3005.959584451,3006.658029319,2500,float32
3129.642559049,3129.642681459,3129.643776103,3129.678055602,3129.68713148,3134.926252885,5000,float64
3135.501476911,3135.50160106,3135.50270891,3135.536776137,3135.545834379,3140.777899038,5000,float64
3141.357034251,3141.357158905,3141.358282541,3141.392644236,3141.401743465,3146.668606965,5000,float64
3147.248978726,3147.249115348,3147.250243331,3147.285560165,3147.294638008,3152.518929594,5000,float64
3153.093203092,3153.093327965,3153.094421945,3153.12827197,3153.137627314,3158.373506574,5000,float64
3158.948797608,3158.948951159,3158.95011208,3158.983497616,3158.992695945,3164.23209088,5000,float64
3164.803996666,3164.804124158,3164.805198442,3164.838782573,3164.847786126,3170.054514876,5000,float64
3170.64888515,3170.64902199,3170.650114843,3170.683714459,3170.692800014,3175.899595627,5000,float64
3176.481017795,3176.481143953,3176.48223989,3176.51642241,3176.525594706,3181.763344652,5000,float64
3182.3486615,3182.348786462,3182.34990095,3182.385252015,3182.394727913,3187.629561554,5000,float64
3255.915848116,3255.915975319,3255.916990452,3255.95085648,3255.960241108,3258.719231069,5000,float32
3259.136460537,3259.136595209,3259.137601472,3259.172426403,3259.181574591,3261.952202124,5000,float32
3262.377170882,3262.377296935,3262.378277159,3262.412448033,3262.422021959,3265.200624896,5000,float32
3265.624533882,3265.624712009,3265.625950504,3265.659568168,3265.669320023,3268.442388611,5000,float32
3268.85914091,3268.859267049,3268.860264947,3268.894579911,3268.903661781,3271.701344166,5000,float32
3272.131984329,3272.132122785,3272.133110674,3272.167759127,3272.177337491,3274.9554877,5000,float32
3275.389058202,3275.38918879,3275.390185095,3275.423909937,3275.433435967,3278.208236195,5000,float32
3278.625548435,3278.625674215,3278.626653021,3278.660507426,3278.670767867,3281.445950888,5000,float32
3281.864197673,3281.864321205,3281.865296322,3281.899473634,3281.90849185,3284.682460128,5000,float32
3285.101743129,3285.101871794,3285.102860051,3285.13679809,3285.146172377,3287.90775184,5000,float32
