Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23197.983675861,23197.983829503,23197.98509825,23197.994900002,23197.997294334,23198.312724187,1200,float64
23198.597956507,23198.59810079,23198.599335175,23198.609075237,23198.61151388,23198.953262822,1200,float64
23199.243028428,23199.243242785,23199.244490484,23199.254440026,23199.256786918,23199.571562266,1200,float64
23199.870674218,23199.870808122,23199.872101307,23199.882048621,23199.884385448,23200.203828368,1200,float64
23200.495139069,23200.495259637,23200.49651404,23200.506333868,23200.508678326,23200.83266754,1200,float64
23201.121876265,23201.122032815,23201.123439334,23201.133140745,23201.135517225,23201.455858904,1200,float64
23201.75235515,23201.752491297,23201.753834394,23201.763637336,23201.766050055,23202.125038563,1200,float64
23202.414633173,23202.414764196,23202.416018986,23202.425993279,23202.428401145,23202.756892396,1200,float64
23203.15631391,23203.15649029,23203.157706438,23203.178155199,23203.181181968,23203.603911034,1200,float64
23203.964636729,23203.964812372,23203.965928853,23203.984881522,23203.990829389,23204.488694195,1200,float64
23284.675292576,23284.675435563,23284.676746411,23284.686560932,23284.688919382,23284.967690447,1200,float32
23285.376114903,23285.376248377,23285.377548232,23285.387288175,23285.389636086,23285.674270449,1200,float32
23286.087304614,23286.087432485,23286.088659929,23286.098473058,23286.100797815,23286.374894705,1200,float32
23286.784320708,23286.784450713,23286.78577491,23286.79590128,23286.798250605,23287.074368168,1200,float32
23287.470875681,23287.471014824,23287.472319797,23287.483990349,23287.486367593,23287.775300327,1200,float32
23288.180738603,23288.180862694,23288.182126382,23288.19186526,23288.19421815,23288.470196283,1200,float32
23288.876797407,23288.876926461,23288.878156316,23288.887816691,23288.890180137,23289.165777799,1200,float32
23289.571966378,23289.572107963,23289.573356521,23289.583023349,23289.585357811,23289.870945144,1200,float32
23290.274543651,23290.274673648,23290.275904461,23290.28560677,23290.287964842,23290.573313167,1200,float32
23290.990823532,23290.990955879,23290.992221071,23291.00246581,23291.004939311,23291.285189202,1200,float32
23317.589427417,23317.589593903,23317.592167878,23317.628101873,23317.637740414,23319.410062071,2500,float64
23320.052544975,23320.05267475,23320.054099132,23320.072773799,23320.077523178,23321.217529826,2500,float64
23321.700360759,23321.700500897,23321.701975096,23321.720609501,23321.725370278,23322.848399558,2500,float64
23323.313092323,23323.313215572,23323.314633106,23323.333505843,23323.338228497,23324.464416572,2500,float64
23324.945641411,23324.945773082,23324.947276449,23324.966209431,23324.971058907,23326.09486964,2500,float64
23326.561115827,23326.561245405,23326.562673138,23326.581279596,23326.585998811,23327.752107314,2500,float64
23328.226822334,23328.226988295,23328.228418562,23328.247994839,23328.252774634,23329.374934564,2500,float64
23329.850964072,23329.851172034,23329.852832568,23329.87235914,23329.877132735,23331.52730092,2500,float64
23332.17448879,23332.174656996,23332.175994578,23332.212817019,23332.218744266,23333.626175704,2500,float64
23334.113230265,23334.113360192,23334.114893931,23334.133764969,23334.138531472,23335.254510983,2500,float64
23370.568315311,23370.568488567,23370.569781513,23370.605060432,23370.613505927,23371.857845515,2500,float32
23372.312183834,23372.312313227,23372.313762954,23372.33223984,23372.336901425,23373.26873615,2500,float32
23373.701987553,23373.702126164,23373.70353321,23373.722144127,23373.726862207,23374.734059491,2500,float32
23375.168886411,23375.169081203,23375.170508779,23375.198356742,23375.203070147,23376.125108473,2500,float32
23376.55697626,23376.55711458,23376.558521783,23376.577212802,23376.58189707,23377.518271149,2500,float32
23377.948223704,23377.948351446,23377.949774423,23377.968382395,23377.973057051,23378.909160155,2500,float32
23379.341510387,23379.341697228,23379.343165541,23379.366527467,23379.371221425,23380.295745271,2500,float32
23380.732739508,23380.732867259,23380.734242796,23380.753687129,23380.758549103,23381.813428156,2500,float32
23382.366221491,23382.366390937,23382.367681352,23382.404907637,23382.413216063,23383.900961979,2500,float32
23384.427198453,23384.427328286,23384.428690021,23384.449185892,23384.453880479,23385.386810035,2500,float32
23470.021734354,23470.021859052,23470.023673761,23470.059280742,23470.068536687,23474.138644691,5000,float64
23474.827218572,23474.827351951,23474.829123959,23474.865780299,23474.875125019,23479.908546993,5000,float64
23480.691623009,23480.691750173,23480.693536175,23480.730081623,23480.739348794,23484.79165764,5000,float64
23485.482845668,23485.482974868,23485.484743111,23485.521139351,23485.530649526,23489.586791611,5000,float64
23490.3082432,23490.308411684,23490.310271553,23490.379644302,23490.396524293,23495.538192427,5000,float64
