Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
2394.929677711,2394.92982995,2394.931833621,2394.94116024,2394.942649827,2395.330116467,1200,float64
2395.589489337,2395.589606265,2395.591620298,2395.600967746,2395.602453531,2395.990289395,1200,float64
2396.254928458,2396.255058951,2396.257066743,2396.266412627,2396.267880121,2396.650450566,1200,float64
2396.911340564,2396.911457409,2396.913527738,2396.92283343,2396.924312462,2397.302327661,1200,float64
2397.562575054,2397.562687484,2397.564683813,2397.574089038,2397.575558535,2397.957534775,1200,float64
2398.21654517,2398.216659534,2398.218682819,2398.228491652,2398.229981738,2398.613834737,1200,float64
2398.873111625,2398.873235959,2398.875267723,2398.885091236,2398.886593316,2399.268498198,1200,float64
2399.526166447,2399.526282054,2399.528251961,2399.53757533,2399.539024884,2399.928705576,1200,float64
2400.192104573,2400.192220298,2400.19426157,2400.203745101,2400.205244508,2400.610394353,1200,float64
2400.865165916,2400.865282571,2400.867278872,2400.877588191,2400.879078337,2401.256084214,1200,float64
2473.713331042,2473.713471378,2473.715660627,2473.724988941,2473.726436366,2474.064641124,1200,float32
2474.430276513,2474.430397443,2474.432362504,2474.441724727,2474.443148292,2474.783148119,1200,float32
2475.149314145,2475.149447397,2475.151564382,2475.161219222,2475.162665504,2475.503652977,1200,float32
2475.868990561,2475.869124434,2475.871269567,2475.883248558,2475.884916011,2476.222983129,1200,float32
2476.592044302,2476.592166004,2476.594123665,2476.603895969,2476.605334506,2476.937569066,1200,float32
2477.30546642,2477.305592895,2477.307574738,2477.317383256,2477.318773146,2477.661999651,1200,float32
2478.02712406,2478.027244832,2478.029205298,2478.038501635,2478.039902197,2478.380488182,1200,float32
2478.748014456,2478.748133116,2478.750085574,2478.759291509,2478.760699777,2479.09696174,1200,float32
2479.462791797,2479.462914082,2479.464920917,2479.47417553,2479.47560773,2479.824218327,1200,float32
2480.197720403,2480.197851437,2480.199977098,2480.209504098,2480.210923997,2480.563130014,1200,float32
2504.056115414,2504.056240668,2504.058383424,2504.076932445,2504.079562609,2505.148718829,2500,float64
2505.586224733,2505.586370202,2505.588535304,2505.606354118,2505.609038114,2506.693322169,2500,float64
