Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23191.527375114,23191.52756379,23191.528557495,23191.54283321,23191.546545767,23191.931948939,1200,float64
23192.31764715,23192.317820886,23192.318794617,23192.331898036,23192.334795863,23192.713029395,1200,float64
23192.996734885,23192.996864284,23192.997897756,23193.007062213,23193.009287158,23193.256198838,1200,float64
23193.537748403,23193.537939046,23193.538922616,23193.548459712,23193.551215857,23193.79918294,1200,float64
23194.079319117,23194.07944683,23194.080486901,23194.088209239,23194.090290696,23194.338175785,1200,float64
23194.627542325,23194.627670516,23194.628741796,23194.636637286,23194.638778567,23194.88834357,1200,float64
23195.170645674,23195.17076527,23195.171768011,23195.179343037,23195.181436693,23195.425990691,1200,float64
23195.714638489,23195.714767072,23195.715823772,23195.723275928,23195.725346793,23195.974955151,1200,float64
23196.255397006,23196.255520851,23196.256577634,23196.264219694,23196.266315482,23196.513828806,1200,float64
23196.8144482,23196.814612607,23196.816352807,23196.824373602,23196.826487033,23197.072187596,1200,float64
23258.98345912,23258.983923943,23258.985052325,23258.99286694,23258.994921992,23259.209644901,1200,float32
23259.584260528,23259.584390788,23259.58547027,23259.592929482,23259.594985669,23259.811104898,1200,float32
23260.18249589,23260.182625816,23260.183618641,23260.191085556,23260.193120433,23260.408568699,1200,float32
23260.801597843,23260.801725235,23260.802721411,23260.810507336,23260.8125437,23261.025746883,1200,float32
23261.396368465,23261.39650646,23261.397511855,23261.405077893,23261.407111229,23261.649298119,1200,float32
23262.026518206,23262.026645257,23262.027666006,23262.035108404,23262.037151629,23262.263034755,1200,float32
23262.6456688,23262.645793365,23262.646839775,23262.654462467,23262.656607949,23262.871871565,1200,float32
23263.239911867,23263.2400522,23263.241054937,23263.248456275,23263.250579035,23263.468780701,1200,float32
23263.851416456,23263.851553742,23263.85255976,23263.860225981,23263.862311834,23264.07685986,1200,float32
23264.458068058,23264.45819015,23264.459229575,23264.466703296,23264.468744301,23264.694908352,1200,float32
23301.313914571,23301.314110935,23301.315209669,23301.340426355,23301.344645585,23302.229184627,2500,float64
23302.697498198,23302.697621675,23302.69882279,23302.713175376,23302.717336016,23303.605772647,2500,float64
23304.065039151,23304.065163547,23304.06639705,23304.080669483,23304.085102497,23305.17573857,2500,float64
23305.774250752,23305.774414855,23305.775528053,23305.804068702,23305.811703892,23307.227270243,2500,float64
23307.68899376,23307.689171024,23307.690344394,23307.708636728,23307.712825358,23308.582061774,2500,float64
23309.053652531,23309.053776447,23309.054984648,23309.069651341,23309.073841952,23309.956315608,2500,float64
23310.411867163,23310.411993023,23310.413178617,23310.427460839,23310.431668754,23311.321174321,2500,float64
23311.777576998,23311.777708309,23311.778859915,23311.79341014,23311.797541706,23312.686749098,2500,float64
23313.162290008,23313.162413583,23313.163697854,23313.178080173,23313.182283836,23314.062196505,2500,float64
23314.51033289,23314.51047222,23314.511661973,23314.525962442,23314.530122655,23315.416471489,2500,float64
23355.557921821,23355.558061211,23355.559209244,23355.573287727,23355.577359555,23356.615886299,2500,float32
23357.15454134,23357.154708799,23357.155764341,23357.182953021,23357.190210293,23358.419314833,2500,float32
23358.885659045,23358.885785756,23358.886918475,23358.901150277,23358.905200693,23359.669127002,2500,float32
23360.097862691,23360.097989843,23360.099121365,23360.113433591,23360.117525154,23360.895151137,2500,float32
23361.318429222,23361.318562564,23361.319689029,23361.334128662,23361.33816785,23362.108731199,2500,float32
23362.528466452,23362.528624234,23362.529712233,23362.555784848,23362.559881794,23363.307398141,2500,float32
23363.729491177,23363.729618384,23363.73074911,23363.745272168,23363.749342954,23364.494384451,2500,float32
23364.931507357,23364.931634397,23364.932756796,23364.947189061,23364.951280513,23365.714360054,2500,float32
