Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
23205.671897049,23205.672054932,23205.673341866,23205.683484856,23205.685858402,23205.99130134,1200,float64
23206.281417571,23206.281557388,23206.282837106,23206.292904183,23206.295295958,23206.596751613,1200,float64
23206.889338157,23206.889488023,23206.890836605,23206.903725486,23206.906423089,23207.262296522,1200,float64
23207.553717126,23207.553847554,23207.555184433,23207.564851879,23207.567281434,23207.871103054,1200,float64
23208.155192386,23208.155334439,23208.156613752,23208.166392221,23208.168790301,23208.495179202,1200,float64
23208.778497426,23208.778630035,23208.779898764,23208.789730596,23208.792139393,23209.098446642,1200,float64
23209.396828027,23209.396963093,23209.398204808,23209.408097311,23209.410474797,23209.71818941,1200,float64
23210.006484927,23210.006623763,23210.007979478,23210.017781457,23210.020185138,23210.326180492,1200,float64
23210.624589704,23210.624722609,23210.626034598,23210.636354472,23210.638754695,23210.944556696,1200,float64
23211.225580285,23211.225718412,23211.226963436,23211.2406486,23211.244025585,23211.563683455,1200,float64
23292.556323331,23292.556507024,23292.557580683,23292.576335186,23292.580345497,23292.964081131,1200,float32
23293.459715059,23293.459887183,23293.461225733,23293.479197604,23293.483266102,23293.835282686,1200,float32
23294.375886192,23294.376077465,23294.37722693,23294.395052331,23294.399151903,23294.692140067,1200,float32
23295.098524986,23295.098702112,23295.099875116,23295.113006933,23295.115353039,23295.375361034,1200,float32
23295.786897079,23295.787041319,23295.788258679,23295.79793451,23295.800279038,23296.062437764,1200,float32
23296.465725247,23296.465857767,23296.467125649,23296.479023583,23296.481322044,23296.749549118,1200,float32
23297.159507109,23297.159693358,23297.160810521,23297.177808918,23297.180176238,23297.442400135,1200,float32
23297.853230088,23297.853360554,23297.854626111,23297.864458511,23297.866787526,23298.128303542,1200,float32
23298.535274518,23298.535408569,23298.53667165,23298.546462531,23298.548821907,23298.810735558,1200,float32
23299.207571086,23299.207702216,23299.208945288,23299.225526749,23299.229686691,23299.501472909,1200,float32
23337.327182875,23337.327311264,23337.328704132,23337.347414337,23337.35219119,23338.446824558,2500,float64
23338.91791156,23338.918053333,23338.919524664,23338.938335385,23338.943078493,23340.082095259,2500,float64
23340.558769512,23340.558895875,23340.560332131,23340.579136471,23340.583837231,23341.67638505,2500,float64
23342.151994572,23342.15213372,23342.153605682,23342.172847751,23342.177615619,23343.395218139,2500,float64
23344.025391876,23344.025572854,23344.027035892,23344.06547334,23344.074171816,23345.811178049,2500,float64
23346.286033403,23346.286161875,23346.28796948,23346.307010985,23346.31177128,23347.413053465,2500,float64
23347.886836229,23347.886967044,23347.888448229,23347.907200004,23347.912114848,23349.018299285,2500,float64
