Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Data ST,Surface ET/End Time,n2,dtype
2402.127809938,2402.127928442,2402.129975577,2402.139429898,2402.140857432,2402.490993339,1200,float64
2402.749213101,2402.749341831,2402.75152507,2402.761411369,2402.762880848,2403.114301782,1200,float64
2403.375388347,2403.375513909,2403.377735439,2403.387614784,2403.389122106,2403.737779376,1200,float64
2404.000515272,2404.000653516,2404.002816959,2404.01311153,2404.014595383,2404.357066465,1200,float64
2404.615314285,2404.615431383,2404.6173693,2404.626959603,2404.628411802,2404.983282078,1200,float64
2405.24785294,2405.247972488,2405.250027239,2405.259610762,2405.261068162,2405.603957044,1200,float64
2405.85792237,2405.858066251,2405.8602936,2405.870126796,2405.871568851,2406.219866736,1200,float64
2406.471832296,2406.471944919,2406.474267229,2406.483860511,2406.485359073,2406.833813032,1200,float64
2407.096783939,2407.096903443,2407.098924749,2407.108291504,2407.109685392,2407.454383896,1200,float64
2407.709679718,2407.709805517,2407.711845397,2407.721277793,2407.722711543,2408.067176764,1200,float64
2481.630114691,2481.630241574,2481.632235527,2481.642027249,2481.643415931,2481.95040691,1200,float32
2482.317862118,2482.317982135,2482.320035545,2482.329441103,2482.330843759,2482.639618292,1200,float32
2483.001586295,2483.001711238,2483.00361472,2483.013110649,2483.014533286,2483.322329232,1200,float32
2483.687365066,2483.687483359,2483.68953993,2483.698876613,2483.700313432,2484.007566789,1200,float32
2484.371673105,2484.371792656,2484.373764331,2484.383188078,2484.384573801,2484.690622872,1200,float32
2485.062503763,2485.062625521,2485.064614331,2485.074598105,2485.076225321,2485.39179423,1200,float32
2485.764051321,2485.764173733,2485.766110971,2485.775959861,2485.777500815,2486.089330003,1200,float32
2486.461959493,2486.462098883,2486.464115604,2486.473897314,2486.475376847,2486.783133918,1200,float32
2487.154567628,2487.154705356,2487.156880091,2487.166715274,2487.168162556,2487.483970216,1200,float32
2487.848106478,2487.848232006,2487.850242707,2487.859616906,2487.861165156,2488.166142217,1200,float32
2521.004721553,2521.004841787,2521.00704726,2521.024878253,2521.027540398,2522.037257636,2500,float64
2522.478149342,2522.478271422,2522.480397633,2522.498259508,2522.500890487,2523.516365013,2500,float64
2523.955048425,2523.955165141,2523.957323683,2523.97518113,2523.978039939,2524.99337992,2500,float64
2525.440621772,2525.440746866,2525.442909146,2525.460836828,2525.463582665,2526.479494793,2500,float64
2526.918277616,2526.9183927,2526.92052738,2526.938596646,2526.941287088,2527.953346492,2500,float64
2528.39943098,2528.399550931,2528.401736549,2528.419786008,2528.422455478,2529.450813664,2500,float64
2529.89342657,2529.893554806,2529.895908625,2529.914738697,2529.917415011,2530.969786402,2500,float64
2531.405194832,2531.405324972,2531.407636419,2531.426419022,2531.429158266,2532.432938814,2500,float64
2532.869499407,2532.869615465,2532.871695432,2532.889715115,2532.892354309,2533.901440445,2500,float64
2534.347779413,2534.347906571,2534.35006331,2534.367891687,2534.370767097,2535.384061832,2500,float64
2564.219821547,2564.219943,2564.222012788,2564.240660894,2564.243773248,2565.111286413,2500,float32
2565.511356518,2565.51148734,2565.513729816,2565.532753723,2565.535319414,2566.402460569,2500,float32
2566.800109512,2566.800226491,2566.802331975,2566.820123066,2566.822704529,2567.684307649,2500,float32
2568.082701991,2568.082821532,2568.084891847,2568.102904676,2568.105439763,2568.965472509,2500,float32
2569.36548502,2569.36561436,2569.367688078,2569.385778736,2569.388415041,2570.243436758,2500,float32
2570.653266693,2570.65338615,2570.655459636,2570.673332506,2570.675894943,2571.540514499,2500,float32
2571.939909479,2571.94005558,2571.942304267,2571.960617872,2571.963207388,2572.83342928,2500,float32
2573.233036659,2573.233154815,2573.235214075,2573.253113544,2573.25563105,2574.117021737,2500,float32
2574.514566048,2574.514691405,2574.516766446,2574.534551869,2574.537134181,2575.391289533,2500,float32
2575.774754418,2575.774868771,2575.776895289,2575.794630133,2575.797225082,2576.666537546,2500,float32
2661.973764191,2661.973883251,2661.97626025,2662.010867624,2662.016387635,2665.271154434,5000,float64
2665.963797226,2665.963911493,2665.96630194,2666.001152941,2666.006311352,2669.289706619,5000,float64
2669.974274915,2669.97439972,2669.97695162,2670.012043918,2670.01708463,2673.31670295,5000,float64
2673.999547813,2673.999674582,2674.002147317,2674.037410631,2674.042355354,2677.376578408,5000,float64
2678.057838986,2678.057955134,2678.060437048,2678.094718759,2678.099816712,2681.435978082,5000,float64
2682.117955274,2682.118101363,2682.12069757,2682.155906213,2682.160967549,2685.437578591,5000,float64
2686.119863308,2686.119979582,2686.122442853,2686.156782272,2686.161917783,2689.442085365,5000,float64
2690.126193503,2690.126312237,2690.128770195,2690.163209835,2690.168116773,2693.482202267,5000,float64
2694.16256698,2694.162694783,2694.165239447,2694.200054813,2694.205186706,2697.459599532,5000,float64
2698.133091991,2698.133208975,2698.135643867,2698.170139676,2698.175162102,2701.477122875,5000,float64
2771.54792442,2771.548075322,2771.55051771,2771.585523532,2771.590874606,2774.230371787,5000,float32
2774.748537929,2774.748661481,2774.750864614,2774.785364044,2774.790129876,2777.444698219,5000,float32
2777.975913361,2777.976065304,2777.978677882,2778.013431766,2778.018468976,2780.722886174,5000,float32
2781.237688264,2781.237819931,2781.24018053,2781.274339416,2781.279347754,2783.947172373,5000,float32
2784.479596077,2784.479724983,2784.482062606,2784.516369922,2784.521282217,2787.180118476,5000,float32
2787.701978287,2787.702111106,2787.704335795,2787.738478935,2787.743774648,2790.408838631,5000,float32
2790.973514965,2790.9736394,2790.976043088,2791.010735078,2791.015566275,2793.699997558,5000,float32
2794.23210204,2794.232275849,2794.234687155,2794.26877979,2794.273626533,2796.965491891,5000,float32
2797.494226025,2797.494348006,2797.496634733,2797.530889813,2797.535885134,2800.221835352,5000,float32
2800.78663106,2800.786764177,2800.789096786,2800.823479567,2800.828323091,2803.497400176,5000,float32
