run_idx,object,n1,n2,dtype,t_curves,t_h2d_transfer,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_gpu_mem_mb
0,vase,300,1200,float64,0.001176483999984157,0.003905945999974847,0.01986439400002382,0.06451005000002397,0.08945687400000679,168.0
1,vase,300,1200,float64,0.001412965999975313,0.008942321000006359,0.019883980000031443,0.06390682500000366,0.09414609200001678,0.0
2,vase,300,1200,float64,0.0013967419999971753,0.003893586999993204,0.019900466000024153,0.06440616500003671,0.08959696000005124,168.0
3,vase,300,1200,float64,0.0013124070000003485,0.008526573999972697,0.01986121900000626,0.06349735999998529,0.0931975599999646,0.0
4,vase,300,1200,float64,0.0013568349999673046,0.004280025999946702,0.019963458999995964,0.06642533899997716,0.09202565899988713,168.0
5,vase,300,1200,float64,0.0012830160000021351,0.004176169999993817,0.019894337000039286,0.06966441299999815,0.09501793600003339,168.0
6,vase,300,1200,float64,0.001201299999991079,0.00417220899998938,0.019909745999996176,0.06618286399998397,0.0914661189999606,168.0
7,vase,300,1200,float64,0.0013017449999779274,0.004065206999996462,0.01988897299997916,0.06260738999998239,0.08786331499993594,168.0
8,vase,300,1200,float64,0.0012299610000354733,0.004045523000002049,0.020230048999962946,0.0673302860000149,0.09283581900001536,168.0
9,vase,300,1200,float64,0.0012609520000523844,0.004237404999969385,0.020410798999989765,0.06976926599998023,0.09567842199999177,168.0
0,vase,300,1200,float32,0.001444476999949984,0.005389584999988983,0.010321538000084729,0.06707788799997161,0.0842334879999953,168.0
1,vase,300,1200,float32,0.001331768000000011,0.007933311999977377,0.01022867500000757,0.06496121700001822,0.08445497200000318,0.0
2,vase,300,1200,float32,0.001471446999971704,0.0041126580000536705,0.01019170999995822,0.062405581999996684,0.07818139699998028,168.0
3,vase,300,1200,float32,0.001474938999990627,0.008870419000004404,0.010212879000050634,0.062062698999966415,0.08262093600001208,0.0
4,vase,300,1200,float32,0.0013333739999552563,0.0036883620000480732,0.010215539000000717,0.06497151399992163,0.08020878899992567,168.0
5,vase,300,1200,float32,0.001433669999983067,0.0036999839999225514,0.010290832999999111,0.06168938600001184,0.07711387299991657,168.0
6,vase,300,1200,float32,0.001360690999945291,0.0035239840000258482,0.010168593999992481,0.06287204600005225,0.07792531500001587,168.0
7,vase,300,1200,float32,0.0014823069999465588,0.0038749020000068413,0.01025142000003143,0.06134160099998098,0.07695022999996581,168.0
8,vase,300,1200,float32,0.0012699569999767846,0.0037816870000142444,0.01016640400007418,0.06262336600002527,0.07784141400009048,168.0
9,vase,300,1200,float32,0.001301053000020147,0.003578970000035042,0.010186096000097677,0.06099791499991625,0.07606403400006911,168.0
0,vase,625,2500,float64,0.001372897000010198,0.004361331000040991,0.03689277199998742,0.2687393850000035,0.3113663850000421,718.0
1,vase,625,2500,float64,0.0014489789999743152,0.00845956099999512,0.037735206999968796,0.2788102299999764,0.32645397699991463,0.0
2,vase,625,2500,float64,0.0013854630000196266,0.004609478000020317,0.03638630300008572,0.2787430769999446,0.32112432100007027,718.0
3,vase,625,2500,float64,0.0013433889999987514,0.008365397000034136,0.037538409000035244,0.26723068199999034,0.31447787700005847,0.0
4,vase,625,2500,float64,0.0013524869999628208,0.004597278999995069,0.03621443299994098,0.27492905700000847,0.31709325599990734,718.0
5,vase,625,2500,float64,0.0014214379999657467,0.006340479999948911,0.037185697999916556,0.28105211600006896,0.3259997319999002,718.0
6,vase,625,2500,float64,0.001416097999936028,0.004083257999923262,0.036867084000050454,0.26724348300001566,0.3096099229999254,718.0
7,vase,625,2500,float64,0.0013694179999674816,0.0048864420000427344,0.037087350999968294,0.27027719199998046,0.31362040299995897,718.0
8,vase,625,2500,float64,0.001381503000061457,0.004133986000056211,0.0367852890000222,0.26932480900006794,0.3116255870002078,718.0
9,vase,625,2500,float64,0.0013233440000703922,0.004124563000004855,0.03587501599997722,0.26662290399997346,0.30794582700002593,718.0
0,vase,625,2500,float32,0.001703945999906864,0.004730932000029497,0.031213640000032683,0.27496227500000714,0.3126107929999762,718.0
1,vase,625,2500,float32,0.001761627999940174,0.008548156999950152,0.0327814600000238,0.2762794870000107,0.31937073199992483,0.0
2,vase,625,2500,float32,0.0016735090000565833,0.004550666000000092,0.03126415600002019,0.26389717000006385,0.3013855010001407,718.0
3,vase,625,2500,float32,0.0016846459999442231,0.008305697999958284,0.03267324599994481,0.2716996049999807,0.314363194999828,0.0
4,vase,625,2500,float32,0.0014410630000156743,0.0043294630000900725,0.031195040999932644,0.27551523499994346,0.31248080199998185,718.0
5,vase,625,2500,float32,0.0017145250000112355,0.006262361000040073,0.03128580800000691,0.2705409840000357,0.3098036780000939,718.0
6,vase,625,2500,float32,0.001486209999939092,0.003908991999992395,0.031029644999989614,0.2646434060000047,0.3010682529999258,718.0
7,vase,625,2500,float32,0.001457003000041368,0.004645818000085455,0.031220612999959485,0.2748261660000253,0.3121496000001116,718.0
8,vase,625,2500,float32,0.0015870810000251367,0.00395726499993998,0.03106198599994059,0.27003645100000995,0.30664278299991565,718.0
9,vase,625,2500,float32,0.0016205530000661383,0.004059544000028836,0.03117887400003383,0.26724901900001896,0.30410799000014777,718.0
0,vase,1250,5000,float64,0.001714078999953017,0.004601758000035261,0.171142078999992,1.078169308999918,1.2556272249998983,2868.0
1,vase,1250,5000,float64,0.001788104999945972,0.012522304999947664,0.17697463800004698,1.169716636999965,1.3610016849999056,0.0
2,vase,1250,5000,float64,0.0018904040000506939,0.00749613400000726,0.17137807200003863,1.2027609960000518,1.3835256060001484,2866.0
3,vase,1250,5000,float64,0.0017113459999791303,0.015141144000040185,0.17432204500005355,1.088583930000027,1.2797584650001,0.0
4,vase,1250,5000,float64,0.0016797800000176721,0.005982067999980245,0.171590159999937,1.0780572940000184,1.2573093019999533,2866.0
5,vase,1250,5000,float64,0.0018350500000678949,0.008427947000086533,0.17439910500002043,1.0676390209999909,1.2523011230001657,2868.0
6,vase,1250,5000,float64,0.0017232269999567507,0.0048383829999920636,0.17198652299998685,1.0724976250000964,1.251045758000032,2868.0
7,vase,1250,5000,float64,0.001636851999933242,0.009108806999961416,0.17355460800001765,1.068188487000043,1.2524887539999554,2868.0
8,vase,1250,5000,float64,0.0017238379999753306,0.005180826000014349,0.17191896700001053,1.0767900240000472,1.2556136550000474,2868.0
9,vase,1250,5000,float64,0.0016348159999779455,0.009020021000083034,0.17370203500001935,1.0521343079999497,1.23649118000003,2868.0
0,vase,1250,5000,float32,0.0018357409999225638,0.007448512999985724,0.1296386410000423,1.233703715000047,1.3726266099999975,2866.0
1,vase,1250,5000,float32,0.001947961000041687,0.016537371000026724,0.13744643000006818,1.0821016319999899,1.2380333940001265,0.0
2,vase,1250,5000,float32,0.0018703279999954248,0.005536699000003864,0.12948635099996864,1.1179984760000252,1.2548918539999931,2866.0
3,vase,1250,5000,float32,0.0018809330000522095,0.012479084999995393,0.13909663100002945,1.079776896999988,1.233233546000065,0.0
4,vase,1250,5000,float32,0.0017021549999753915,0.005283392000023923,0.12962673800006996,1.0799327339999536,1.2165450190000229,2866.0
5,vase,1250,5000,float32,0.0018640150000237554,0.007899156999997103,0.1394785249999586,1.0779262349999499,1.2271679319999294,2866.0
6,vase,1250,5000,float32,0.0016952729999957228,0.005245401000024685,0.1297366769999826,1.0653625840000132,1.2020399350000162,2866.0
7,vase,1250,5000,float32,0.0019259089999650314,0.007873433999975532,0.13734734499996648,1.046301592000077,1.1934482799999842,2866.0
8,vase,1250,5000,float32,0.0017298559999971985,0.004623715999969136,0.12981017300000985,1.05299537399992,1.1891591189998962,2866.0
9,vase,1250,5000,float32,0.001885699000013119,0.007223765000048843,0.12998701099991194,1.1581403000000137,1.2972367749999876,2866.0
