run_idx,object,n1,n2,dtype,t_curves,t_h2d_transfer,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_gpu_mem_mb
0,vase,300,1200,float64,0.0024834649998410896,0.004382073000215314,0.003785644999879878,0.06619803400008095,0.07684921700001723,168.0
1,vase,300,1200,float64,0.0024453159999211493,0.009854497000105766,0.0038057910001043638,0.0666681040002004,0.08277370800033168,0.0
2,vase,300,1200,float64,0.0024446249999527936,0.004104664999886154,0.0038454129999081488,0.06812564299980295,0.07852034599955005,168.0
3,vase,300,1200,float64,0.002620323999963148,0.009598118000212708,0.003827929999715707,0.06687856500002454,0.0829249369999161,0.0
4,vase,300,1200,float64,0.002335330999812868,0.004028209000352945,0.00378020900006959,0.06629746299995531,0.07644121200019072,168.0
5,vase,300,1200,float64,0.002376289000039833,0.004355534999831434,0.0038093150001259346,0.06658941399973628,0.07713055299973348,168.0
6,vase,300,1200,float64,0.002444316000037361,0.004316284999731579,0.003915355000117415,0.06781361299999844,0.0784895689998848,168.0
7,vase,300,1200,float64,0.002416533000086929,0.004337343000315741,0.0038164769998729753,0.06570321800018064,0.07627357100045629,168.0
8,vase,300,1200,float64,0.0022953709999455896,0.004272760000276321,0.0037603979999403236,0.0685353080002642,0.07886383700042643,168.0
9,vase,300,1200,float64,0.0025216099998033314,0.004138930999943113,0.0037798989997099852,0.0669122869999228,0.07735272699937923,168.0
0,vase,300,1200,float32,0.002679491999970196,0.0042174370000793715,0.0038012439999874914,0.0652867249996234,0.07598489799966046,168.0
1,vase,300,1200,float32,0.002540228000270872,0.010104804999627959,0.003868735000196466,0.06542414200021085,0.08193791000030615,0.0
2,vase,300,1200,float32,0.002435405999676732,0.004142878000038763,0.003807096000400634,0.06504662299994379,0.07543200300005992,168.0
3,vase,300,1200,float32,0.0029441599999699974,0.009755378999670938,0.003841027999897051,0.06470181699978639,0.08124238399932437,0.0
4,vase,300,1200,float32,0.0026928839997708565,0.0041830889999801,0.0038357399998858455,0.06507951999992656,0.07579123299956336,168.0
5,vase,300,1200,float32,0.0027458240001578815,0.004460302999632404,0.0038804139999228937,0.06792507499994827,0.07901161599966144,168.0
6,vase,300,1200,float32,0.00289084800033379,0.005241789000137942,0.003827337000075204,0.0664610819999325,0.07842105600047944,168.0
7,vase,300,1200,float32,0.0026169060001848266,0.005377398999826255,0.0039506660000370175,0.06779107000011209,0.07973604100016018,168.0
8,vase,300,1200,float32,0.0027579720003814145,0.004444523000074696,0.0038331300002028,0.06635462800022651,0.07739025300088542,168.0
9,vase,300,1200,float32,0.002617682000163768,0.004533909000201675,0.0038371470000129193,0.06647490399973321,0.07746364200011158,168.0
0,vase,625,2500,float64,0.0028589479998117895,0.004936934999932419,0.01583652899989829,0.2878099790000306,0.3114423909996731,718.0
1,vase,625,2500,float64,0.0024104469998746936,0.023363750000044092,0.01597186100025283,0.2810257910000473,0.32277184900021894,0.0
2,vase,625,2500,float64,0.0025039359998118016,0.004806883000128437,0.015763315999720362,0.2812128840000696,0.3042870189997302,718.0
3,vase,625,2500,float64,0.0024317180000252847,0.023012492999896494,0.016031055999974342,0.2811171349999313,0.3225924019998274,0.0
4,vase,625,2500,float64,0.0033119709996753954,0.004347511000105442,0.01575590300035401,0.28124180499980866,0.3046571899999435,718.0
5,vase,625,2500,float64,0.0025893719998748566,0.011854321000100754,0.015645587000108208,0.28067296600011105,0.31076224600019486,718.0
6,vase,625,2500,float64,0.0023920170001474617,0.004053945000123349,0.01563773099996979,0.28107853800020166,0.30316223100044226,718.0
7,vase,625,2500,float64,0.0026381409998066374,0.009853977000148006,0.015649175999897125,0.28153158099985376,0.3096728749997055,718.0
8,vase,625,2500,float64,0.002629929000249831,0.0049300079999738955,0.01567988199985848,0.2822928860000502,0.3055327050001324,718.0
9,vase,625,2500,float64,0.0026909340003840043,0.004370536999886099,0.015622924000126659,0.28111430099988866,0.3037986960002854,718.0
0,vase,625,2500,float32,0.00266626200027531,0.0046094949998405355,0.01662195100016106,0.28574141699982647,0.3096391250001034,718.0
1,vase,625,2500,float32,0.0028304090001256554,0.023341957999946317,0.01689464399987628,0.28120459700039646,0.3242716080003447,0.0
2,vase,625,2500,float32,0.0025694930000099703,0.004412656000113202,0.016614088000096672,0.279075654999815,0.30267189200003486,718.0
3,vase,625,2500,float32,0.0028091230001336953,0.023088673000074778,0.016887409999981173,0.2805899969998791,0.3233752030000687,0.0
4,vase,625,2500,float32,0.0026624019997143478,0.004415770000377961,0.016590357000040967,0.2812696070000129,0.3049381360001462,718.0
5,vase,625,2500,float32,0.0028060179997737578,0.010685540999929799,0.016538175999812665,0.2810071260000768,0.31103686099959305,718.0
6,vase,625,2500,float32,0.002721113999996305,0.0052012369997100905,0.016520193999895127,0.27945283899998685,0.3038953839995884,718.0
7,vase,625,2500,float32,0.002723454000260972,0.009561626000049728,0.016641367999909562,0.27920103099995686,0.3081274790001771,718.0
8,vase,625,2500,float32,0.00280210899973099,0.004972747000010713,0.016559868000058486,0.29260352800019973,0.3169382519999999,718.0
9,vase,625,2500,float32,0.0029103090000717202,0.005148586999894178,0.016662754000208224,0.2834942700001193,0.3082159200002934,718.0
0,vase,1250,5000,float64,0.002853598999990936,0.005037515999902098,0.06325749200004793,1.1106985960000202,1.1818472029999612,2868.0
