Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
20839.324217925,20839.324425912,20839.511870582,20839.521146852,20840.001149112,20840.848165492,1200,float64
20840.983020656,20840.983144805,20841.165971942,20841.175039117,20841.782142609,20842.64024348,1200,float64
20842.761107649,20842.761285079,20842.938730451,20842.947720333,20843.424728068,20844.264697232,1200,float64
20844.382456609,20844.38259187,20844.554945312,20844.564220774,20845.214260906,20846.507884382,1200,float64
20846.650296939,20846.650495525,20846.976668838,20846.996576007,20847.823711724,20848.785077216,1200,float64
20848.952312386,20848.952485832,20849.1676086,20849.176974608,20849.64980788,20850.540475646,1200,float64
20850.707375766,20850.707551682,20850.896600078,20850.9054798,20851.417137968,20852.279583983,1200,float64
20852.410203965,20852.410331803,20852.582643492,20852.59158791,20853.060934879,20853.94409241,1200,float64
20854.113906492,20854.114075508,20854.286092938,20854.296123783,20854.784723495,20855.61897847,1200,float64
20855.751064571,20855.751195971,20855.926533566,20855.93777993,20856.414567941,20857.234239943,1200,float64
20895.807187722,20895.807367464,20895.990964989,20895.999804677,20896.511555124,20897.18469637,1200,float32
20897.353508667,20897.353674504,20897.54856079,20897.557796488,20898.187493316,20899.205096333,1200,float32
20899.367707995,20899.367884153,20899.709852233,20899.727985801,20900.570984506,20901.403955681,1200,float32
20901.516126387,20901.516254072,20901.691810685,20901.701294299,20902.226901448,20902.890650997,1200,float32
20902.999985952,20903.000231436,20903.179751662,20903.188903446,20903.658461163,20904.323800373,1200,float32
20904.434213455,20904.434343408,20904.609801419,20904.618685065,20905.108990579,20905.766753354,1200,float32
20905.938391979,20905.938553346,20906.120468797,20906.129487207,20906.657839181,20907.316825757,1200,float32
20907.447169263,20907.447301096,20907.624053391,20907.633141317,20908.151144031,20908.806176328,1200,float32
20908.972799679,20908.972972959,20909.182493857,20909.192112436,20909.684145971,20910.386494264,1200,float32
20910.553367939,20910.553545788,20910.739608065,20910.749463674,20911.455193551,20912.491602348,1200,float32
20985.766188129,20985.766351353,20986.124785171,20986.143464991,20987.112898061,20989.772829658,2500,float64
20990.010482195,20990.010693005,20990.389508282,20990.407734771,20991.438102982,20994.942773131,2500,float64
20995.304863993,20995.305103778,20996.006753365,20996.041951345,20997.029351532,20999.654871446,2500,float64
20999.885257964,20999.885423235,21000.249618484,21000.268480997,21001.324816578,21004.119907779,2500,float64
21004.360373604,21004.360545792,21004.763244538,21004.781895427,21005.825145717,21009.801998367,2500,float64
21010.034483596,21010.034647779,21010.405234209,21010.423266543,21011.396980182,21013.91812292,2500,float64
21014.10222857,21014.102358745,21014.481927015,21014.501864389,21015.484418987,21017.96163839,2500,float64
21018.123652416,21018.123777788,21018.492107156,21018.509914977,21019.461988676,21023.076791367,2500,float64
21023.241827264,21023.241968394,21023.613656991,21023.633801011,21024.630706212,21027.398608189,2500,float64
21027.629993557,21027.630166757,21028.010239925,21028.03131146,21028.972460398,21031.506493847,2500,float64
21123.215075055,21123.215203001,21123.569656809,21123.58760688,21124.588751283,21126.756524786,2500,float32
21127.061426834,21127.06164184,21127.818545422,21127.853998105,21129.355343609,21131.251404134,2500,float32
21131.477883211,21131.478057765,21131.846476182,21131.86482537,21132.991252472,21134.885558445,2500,float32
21135.070157445,21135.070290634,21135.454067554,21135.472134152,21136.467680467,21138.532822842,2500,float32
21138.763287722,21138.763457852,21139.338069083,21139.376828032,21141.144715643,21143.551854627,2500,float32
21143.793495987,21143.793711744,21144.163644503,21144.183218581,21145.19167136,21147.174906245,2500,float32
21147.415303906,21147.415486603,21147.809872276,21147.829059967,21148.879824479,21150.804995964,2500,float32
21151.037912332,21151.038113636,21151.445686102,21151.463610447,21152.721467643,21155.485765412,2500,float32
21155.704326571,21155.704568446,21156.105229614,21156.124769578,21157.199282887,21159.209690739,2500,float32
21159.449335791,21159.44949226,21159.835669008,21159.853690948,21160.914868744,21162.882314649,2500,float32
21330.748374097,21330.748514911,21331.442670918,21331.478050864,21333.453917639,21341.759774932,5000,float64
21342.202248561,21342.202419349,21343.068331074,21343.107605513,21345.0254201,21352.641727882,5000,float64
21353.074884865,21353.075071494,21354.455557291,21354.529145777,21357.005500455,21364.523989212,5000,float64
21364.803495022,21364.803650268,21365.520093564,21365.555434349,21368.693311037,21376.50130188,5000,float64
21376.776203912,21376.776336703,21377.532980218,21377.568461347,21379.851223774,21388.171646791,5000,float64
21388.457610331,21388.457748772,21389.151274236,21389.186867064,21391.116642017,21399.844778945,5000,float64
21400.202465024,21400.202621283,21400.894404413,21400.93031339,21402.830522476,21411.223921632,5000,float64
21411.516248878,21411.516378976,21412.241633686,21412.277615717,21414.214927035,21422.839106465,5000,float64
21423.117301077,21423.117427759,21423.825487717,21423.860919625,21425.830403745,21433.908343642,5000,float64
21434.359000729,21434.359191632,21435.587538412,21435.624290759,21437.634079281,21445.988160131,5000,float64
21688.029673957,21688.029806827,21688.757518001,21688.792794725,21690.810308019,21696.411064005,5000,float32
21696.691162102,21696.691340972,21697.851028999,21697.922269289,21700.720260502,21706.218375049,5000,float32
21706.494056437,21706.494184946,21707.224805152,21707.259701106,21709.234776818,21715.391642177,5000,float32
21715.675696884,21715.675826178,21716.46687449,21716.501776815,21718.491896173,21724.619802468,5000,float32
21725.0695134,21725.069696502,21725.903349073,21725.937739481,21727.999536386,21733.592276919,5000,float32
21733.869945064,21733.870085019,21734.602047684,21734.636336401,21737.60927325,21743.299279455,5000,float32
21743.574806606,21743.574936655,21744.338131371,21744.372603027,21746.369488792,21752.574761292,5000,float32
21752.856914103,21752.857062444,21753.590213675,21753.624565692,21755.685439462,21761.368160518,5000,float32
21761.788240879,21761.788410857,21763.274318572,21763.338216416,21765.492642622,21771.080385826,5000,float32
21771.374788166,21771.374917308,21772.090673489,21772.142449944,21774.55376033,21780.599943005,5000,float32
