Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
384.110655266,384.110793073,384.276599453,384.285726334,384.73361106,385.478225611,1200,float64
385.590783561,385.590903023,385.7556762,385.764821908,386.214451724,386.956233877,1200,float64
387.06541804,387.065531012,387.230922769,387.239991676,387.679020858,388.434419853,1200,float64
388.540762963,388.540881801,388.703783694,388.712425663,389.187672277,390.04051752,1200,float64
390.148027513,390.148146003,390.319032397,390.327660958,390.802899375,391.541778651,1200,float64
391.65056249,391.650681847,391.817983637,391.827129599,392.285810807,393.023093747,1200,float64
393.131279952,393.131394277,393.294953533,393.303596998,393.746250105,394.477741791,1200,float64
394.585891253,394.586023216,394.750903764,394.759570603,395.207354158,395.945078584,1200,float64
396.052960063,396.053090398,396.218255158,396.226850212,396.674142815,397.412768754,1200,float64
397.524015802,397.52413973,397.7112592,397.720251194,398.196223279,398.933831213,1200,float64
429.376296731,429.376433713,429.546572635,429.55506061,430.035496597,430.641600406,1200,float32
430.752321302,430.752439588,430.924431679,430.933399611,431.412708338,432.00545963,1200,float32
432.114497321,432.114611377,432.286322415,432.294950831,432.766768744,433.357274061,1200,float32
433.469305075,433.469423506,433.640570053,433.649180982,434.15386643,434.77417197,1200,float32
434.884738759,434.88485665,435.05731185,435.065925764,435.6188216,436.211779679,1200,float32
436.324436515,436.324553471,436.500368148,436.509572438,436.982740976,437.574473912,1200,float32
437.686138597,437.686266042,437.85875095,437.867409189,438.351349305,438.943650678,1200,float32
439.055466679,439.055580658,439.228061713,439.236704914,439.709334529,440.376137696,1200,float32
440.485100417,440.485217559,440.680506886,440.689232695,441.172360818,441.882888261,1200,float32
441.992655745,441.992779009,442.16830608,442.176851219,442.651589282,443.261861627,1200,float32
496.328538136,496.328651798,496.667101626,496.684650027,497.608853369,499.833279388,2500,float64
499.979345094,499.979508077,500.356315574,500.373997384,501.406258855,503.632192119,2500,float64
503.776915473,503.777042514,504.118218652,504.135495047,505.058412089,507.290786396,2500,float64
507.435693219,507.435819331,507.773035503,507.790338116,508.844226633,511.287889065,2500,float64
511.440772503,511.440892904,511.82710072,511.845426982,512.781369468,515.025184802,2500,float64
515.178408762,515.178533846,515.515920421,515.532976245,516.451407815,518.76106036,2500,float64
518.912346077,518.912464055,519.288788824,519.30632323,520.315778139,522.584308922,2500,float64
522.734466878,522.734584036,523.073352497,523.091377431,524.014585507,526.258100506,2500,float64
526.411861425,526.411975642,526.750291503,526.767475232,527.686215928,529.912675161,2500,float64
530.06680461,530.066923686,530.413040748,530.430098336,531.378047787,533.648531523,2500,float64
608.089231935,608.089350743,608.453422857,608.470732097,609.466123647,611.276129086,2500,float32
611.436796107,611.436915981,611.795385559,611.812753467,612.834287315,614.604242007,2500,float32
614.758132267,614.758257742,615.116474343,615.134201139,616.133362662,617.906614294,2500,float32
618.058649724,618.058779255,618.431769824,618.449953266,619.455295369,621.242230825,2500,float32
621.398063484,621.398219314,621.76050527,621.777993382,622.801410857,624.615909765,2500,float32
624.780905124,624.781040903,625.141042638,625.158813087,626.153325709,627.897306513,2500,float32
628.05163369,628.051786849,628.403316462,628.420488544,629.404017092,631.192983234,2500,float32
631.346733687,631.34685141,631.699027066,631.71620671,632.706150834,634.440335565,2500,float32
634.601495899,634.601611508,634.958806729,634.976790844,635.97192489,637.735952332,2500,float32
637.887084719,637.887228113,638.238644084,638.255855131,639.239132288,641.005245096,2500,float32
776.311848045,776.311962959,776.979922041,777.014441974,778.842219906,785.716962414,5000,float64
786.060675722,786.06084893,786.762173156,786.797432438,788.655091737,795.623316942,5000,float64
795.964892808,795.965018264,796.632450297,796.667281431,798.511243274,805.445110227,5000,float64
805.775260589,805.77537656,806.448819533,806.483278983,808.329077668,815.330689673,5000,float64
815.675203768,815.675325867,816.374190159,816.408831105,818.246771616,825.178452241,5000,float64
825.495236573,825.495349639,826.163315932,826.199795211,828.103747051,835.088964358,5000,float64
835.425146638,835.425262604,836.093934748,836.129129028,838.06132201,844.941850174,5000,float64
845.285066674,845.285182158,845.953028362,845.989166695,847.883631653,855.014991516,5000,float64
855.351776091,855.351884694,856.02477862,856.060794232,857.915593998,864.824267287,5000,float64
865.176325422,865.176437381,865.861377765,865.896582941,867.740982124,874.785653122,5000,float64
1070.921754188,1070.921877572,1071.630500586,1071.664401079,1073.653300127,1079.062318073,5000,float32
1079.402017927,1079.402136355,1080.1409524,1080.174899536,1082.239230895,1087.52840811,5000,float32
1087.864613805,1087.864740041,1088.569249783,1088.603483223,1090.599767423,1095.866401132,5000,float32
1096.213404771,1096.213528971,1096.912381972,1096.947026238,1098.91786154,1104.338393289,5000,float32
1104.670398663,1104.670514744,1105.372748003,1105.406604114,1107.378259349,1112.810142223,5000,float32
1113.152084954,1113.15220605,1113.851946439,1113.887031869,1115.852823279,1121.184630911,5000,float32
1121.520051986,1121.520176545,1122.225599075,1122.260240597,1124.268941107,1129.523237903,5000,float32
1129.828948364,1129.829074478,1130.543509456,1130.587545547,1132.624932731,1137.948863487,5000,float32
1138.279571642,1138.279696768,1138.972184924,1139.0055156,1140.994727714,1146.469052907,5000,float32
1146.812749796,1146.812876152,1147.539101321,1147.573024944,1149.59864733,1154.985608985,5000,float32
