Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
20822.253543401,20822.253726863,20822.386093684,20822.394587042,20822.811327741,20823.47463536,1200,float64
20823.599828384,20823.599953404,20823.733662745,20823.741713314,20824.127585082,20824.801833057,1200,float64
20824.934442906,20824.934570968,20825.066762643,20825.077037611,20825.437275358,20826.171448552,1200,float64
20826.335364649,20826.335540756,20826.484875747,20826.493824756,20826.886871004,20827.660123096,1200,float64
20827.830942105,20827.831130814,20827.990376916,20828.006060269,20828.378212579,20829.099261294,1200,float64
20829.26649647,20829.26666096,20829.402865362,20829.411217438,20829.782938247,20830.505038979,1200,float64
20830.681356316,20830.681516162,20830.82404889,20830.835425366,20831.239045255,20832.222755649,1200,float64
20832.43263373,20832.432820008,20832.71824683,20832.737320094,20833.390440658,20834.534605818,1200,float64
20834.707197162,20834.707361088,20834.898168709,20834.906311756,20835.280405073,20835.966157852,1200,float64
20836.0999317,20836.100101388,20836.242256469,20836.251143339,20836.651853442,20837.3755598,1200,float64
20880.25390309,20880.254069573,20880.389395398,20880.397535002,20880.788765157,20881.341139787,1200,float32
20881.502851256,20881.503021316,20881.640365613,20881.648745551,20882.076568416,20882.66080798,1200,float32
20882.855699276,20882.855859197,20882.999691932,20883.011296176,20883.42275451,20884.014275817,1200,float32
20884.185493287,20884.185631452,20884.322870202,20884.331114675,20884.735389472,20885.621643696,1200,float32
20885.775734081,20885.775896593,20886.043615306,20886.059565733,20886.7169806,20887.63108767,1200,float32
20887.777079608,20887.777253935,20887.980942786,20887.989182538,20888.398648812,20889.01423601,1200,float32
20889.189676073,20889.189845263,20889.329562247,20889.337984,20889.722278852,20890.309160596,1200,float32
20890.442246141,20890.442373809,20890.577529736,20890.585792133,20890.970467031,20891.518722216,1200,float32
20891.628545962,20891.62867144,20891.76387543,20891.772025311,20892.155812897,20892.746465683,1200,float32
20892.91003464,20892.910190455,20893.056045081,20893.064635674,20893.487817954,20894.058102566,1200,float32
20934.789331475,20934.789466975,20935.065623542,20935.08037811,20935.858341485,20938.20715882,2500,float64
20938.392040785,20938.392197603,20938.921565272,20938.95147813,20940.36591846,20942.450268746,2500,float64
20942.587117408,20942.587249466,20942.885157929,20942.900029314,20943.652982943,20945.668239596,2500,float64
20945.812788215,20945.812912612,20946.090151315,20946.105165884,20946.866511314,20948.876869102,2500,float64
20949.089356102,20949.089515902,20949.38240949,20949.397470334,20950.23276191,20953.157289905,2500,float64
20953.371207978,20953.371381874,20953.887543345,20953.902292274,20954.674443452,20956.736600093,2500,float64
20956.926966383,20956.927139509,20957.206393827,20957.22149286,20957.988747517,20960.138084224,2500,float64
20960.337654005,20960.337832078,20960.642532147,20960.658823776,20961.443933256,20965.86348902,2500,float64
20966.444726099,20966.444956659,20967.32269508,20967.357275726,20969.297346291,20974.58370986,2500,float64
20974.867897291,20974.868318531,20975.61279063,20975.627763879,20976.397838709,20979.625703369,2500,float64
21087.046290436,21087.046496268,21087.665126049,21087.695761065,21089.20117767,21090.757756183,2500,float32
21090.922800824,21090.922928326,21091.225240337,21091.240119523,21092.051297708,21093.61691522,2500,float32
21093.768504832,21093.768660051,21094.0605818,21094.076980485,21094.8846545,21096.457393697,2500,float32
21096.613994108,21096.614131533,21096.897208521,21096.912094216,21097.711181078,21099.302567489,2500,float32
21099.510249235,21099.510432867,21100.057267028,21100.088729082,21101.466568805,21103.382465858,2500,float32
21103.533864016,21103.533990645,21103.815605184,21103.844290304,21104.635219605,21106.319447958,2500,float32
21106.541425733,21106.541600071,21106.845071172,21106.860145801,21107.697114057,21109.375227139,2500,float32
21109.552520483,21109.552666207,21109.836770614,21109.851942958,21110.661900669,21112.244901936,2500,float32
21112.398337223,21112.398459661,21112.869579053,21112.899915071,21114.316601677,21116.399140389,2500,float32
21116.557786428,21116.557910902,21116.839887398,21116.854931309,21117.713111408,21119.462152929,2500,float32
21221.904263625,21221.904436265,21222.581280487,21222.609420069,21224.164705609,21230.653233653,5000,float64
21230.912477029,21230.912618261,21231.483228092,21231.511091018,21233.687543172,21240.820211688,5000,float64
21241.160091075,21241.160253891,21241.70338663,21241.733133294,21243.26000729,21250.704457006,5000,float64
21250.979638945,21250.979761982,21251.538460415,21251.566621571,21253.207121116,21260.199155254,5000,float64
21260.57521291,21260.575376232,21261.620080148,21261.681599194,21263.458927041,21269.535665171,5000,float64
21269.780710466,21269.780869434,21270.328766181,21270.356939257,21271.927509065,21279.073803764,5000,float64
21279.318301193,21279.318429067,21279.870636771,21279.901110219,21281.480015899,21288.846715927,5000,float64
21289.098740209,21289.098875129,21289.657845322,21289.685866713,21291.200691309,21297.574953885,5000,float64
21297.905735858,21297.905916185,21298.491131347,21298.520349373,21301.038165693,21307.676151521,5000,float64
21307.999240815,21307.999653186,21308.57547731,21308.603577515,21310.127407754,21317.577619683,5000,float64
21596.869729292,21596.86990748,21597.569545906,21597.596890777,21599.219196228,21606.406694254,5000,float32
21606.664744808,21606.664873712,21607.319094116,21607.369062517,21610.304964874,21615.55280149,5000,float32
21615.802327653,21615.802453254,21616.380743774,21616.408281807,21617.996243052,21623.610062552,5000,float32
21623.855397053,21623.855522659,21624.417298008,21624.444634016,21626.069238415,21630.878157837,5000,float32
21631.131628582,21631.131748381,21631.680923656,21631.708337622,21633.654100018,21638.99474509,5000,float32
21639.272317286,21639.272443941,21639.824538272,21639.852309581,21641.453685377,21646.366590363,5000,float32
21646.738733003,21646.738897653,21647.849164944,21647.899561191,21649.752374715,21654.440703785,5000,float32
21654.68913325,21654.689275543,21655.266523444,21655.296612141,21656.933385196,21662.447458167,5000,float32
21662.704534819,21662.704661203,21663.272728009,21663.300460315,21664.89745564,21669.600762815,5000,float32
21669.852802403,21669.852935148,21670.424153922,21670.451799219,21672.819179668,21677.8361998,5000,float32
