Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
370.316350018,370.316525964,370.459920848,370.46785217,370.847725609,371.45837114,1200,float64
371.564619335,371.564738519,371.692785886,371.700640356,372.058685669,372.678047055,1200,float64
372.791599175,372.791759927,372.926187621,372.934648578,373.292746711,373.898093157,1200,float64
374.004823356,374.004953335,374.135290617,374.143189008,374.50749023,375.121505453,1200,float64
375.229275478,375.229384998,375.357097727,375.365043179,375.717432399,376.32731395,1200,float64
376.436434269,376.436546607,376.564586765,376.572486321,376.929416399,377.579535772,1200,float64
377.688370719,377.688479896,377.816624274,377.824563015,378.189709585,378.806378634,1200,float64
378.914263194,378.914375337,379.043466253,379.05152051,379.404532223,380.020533124,1200,float64
380.129112632,380.129227135,380.281590421,380.289855997,380.725382253,381.331615611,1200,float64
381.43772745,381.437837376,381.565148158,381.572897552,381.923881414,382.525776424,1200,float64
416.729226685,416.729335786,416.862355741,416.870380551,417.283774925,417.808263391,1200,float32
417.914364116,417.914478078,418.050434561,418.058335494,418.434278444,418.924135362,1200,float32
419.033135386,419.033246004,419.16637525,419.174400451,419.550269226,420.040820557,1200,float32
420.146950913,420.147085125,420.285346374,420.293256162,420.69189439,421.185635957,1200,float32
421.292882973,421.292991536,421.426172568,421.434111497,421.810093774,422.30164975,1200,float32
422.408711519,422.408821592,422.54165542,422.54959818,422.92531873,423.417338969,1200,float32
423.523115528,423.523223823,423.656845695,423.664820869,424.047183779,424.540601292,1200,float32
424.648831992,424.648939704,424.783465514,424.791430775,425.174246179,425.673115649,1200,float32
425.780465996,425.780579161,425.915796494,425.92388083,426.305610524,426.8036427,1200,float32
426.909973012,426.910099704,427.046216306,427.054107009,427.432537172,427.927532992,1200,float32
462.081065279,462.081180633,462.343604217,462.357926348,463.091266653,464.916606247,2500,float64
465.050043818,465.050167297,465.347381218,465.362129267,466.228135691,468.060074953,2500,float64
468.200405717,468.200517483,468.46308205,468.477640472,469.213193449,471.074436401,2500,float64
471.214836931,471.214953187,471.498952021,471.513402893,472.256253891,474.178997154,2500,float64
474.319791098,474.319901706,474.582492773,474.596730805,475.335522237,477.161754348,2500,float64
477.302209833,477.302321709,477.563689382,477.578085995,478.318190754,480.264578264,2500,float64
480.393158556,480.393275013,480.67705778,480.69155156,481.426316818,483.257466189,2500,float64
483.395976602,483.39610053,483.658912735,483.673121369,484.426404232,486.362248982,2500,float64
486.501714808,486.501843761,486.763829512,486.778643234,487.512745566,489.417342318,2500,float64
489.547594477,489.547719161,489.810231251,489.824803438,490.608279187,492.452404406,2500,float64
577.682297944,577.682406534,577.958056226,577.972322678,578.776905282,580.223710604,2500,float32
580.360531775,580.360643846,580.657798632,580.672162126,581.568766249,583.07679674,2500,float32
583.216819233,583.216929748,583.493254376,583.507651768,584.298216087,585.763183275,2500,float32
585.903754271,585.903879145,586.179401898,586.194233439,586.981066168,588.42565881,2500,float32
588.564251512,588.564365623,588.846100173,588.860881636,589.682962867,591.156256411,2500,float32
591.295936936,591.296063031,591.574435051,591.588832566,592.377792093,593.823205437,2500,float32
593.964483264,593.964594225,594.243261838,594.258296617,595.048644126,596.502697727,2500,float32
596.641817821,596.641929761,596.914495939,596.928925605,597.71579404,599.18186651,2500,float32
599.328534635,599.328664097,599.606437991,599.620691472,600.42997722,601.910815358,2500,float32
602.05712586,602.057238265,602.332246586,602.347168969,603.17143706,604.636888329,2500,float32
686.150378339,686.150492546,686.669519356,686.697271721,688.170604059,693.869387771,5000,float64
694.150849024,694.150962371,694.697036099,694.724352929,696.212959026,701.978968361,5000,float64
702.244823124,702.244933249,702.768981224,702.796872372,704.292411359,709.909902286,5000,float64
710.200927575,710.201048177,710.761165604,710.78967011,712.274032413,717.951612163,5000,float64
718.244050668,718.244172276,718.765264602,718.792676562,720.309081409,726.053446781,5000,float64
726.343639414,726.343752929,726.865348172,726.893984415,728.378965821,734.055961831,5000,float64
734.347440793,734.347552008,734.865627392,734.893148965,736.377524215,742.038735212,5000,float64
742.337537367,742.337647468,742.856153409,742.883676363,744.371476982,750.065463807,5000,float64
750.349893966,750.350074714,750.900096802,750.92819763,752.432324177,758.066552065,5000,float64
758.353307465,758.35341801,758.885464624,758.912952105,760.381424419,766.111295519,5000,float64
992.432947967,992.433081889,992.978700658,993.005469899,994.575461828,999.109567053,5000,float32
999.396829529,999.396938386,999.944131793,999.971572605,1001.586208869,1006.13494731,5000,float32
1006.400395684,1006.400514892,1006.955078441,1006.982267672,1008.583806113,1013.144711074,5000,float32
1013.429362145,1013.429476127,1013.974848566,1014.001746936,1015.580608362,1020.037414,5000,float32
1020.327096012,1020.327220543,1020.988698473,1021.015796449,1022.573068605,1027.092752316,5000,float32
1027.385400999,1027.385512625,1027.930686169,1027.957189459,1029.531925953,1034.097486658,5000,float32
1034.398808444,1034.398920818,1034.941547791,1034.967930725,1036.540533161,1041.05978254,5000,float32
1041.349926558,1041.350050006,1041.895494954,1041.92235646,1043.503834824,1048.075692196,5000,float32
1048.358400202,1048.358516609,1048.906969206,1048.93422478,1050.658969347,1055.141500904,5000,float32
1055.426907558,1055.427037628,1055.96912625,1055.996189954,1057.568964969,1062.118720021,5000,float32
