Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
20859.496485969,20859.496657256,20859.83668352,20859.857488861,20860.663202028,20861.759349288,1200,float64
20861.8716317,20861.871762114,20862.062064027,20862.07256776,20862.529735557,20863.380205377,1200,float64
20863.494246006,20863.494378864,20863.664391244,20863.677077116,20864.163633427,20865.089944255,1200,float64
20865.259683504,20865.259866526,20865.444119145,20865.455135334,20865.96146894,20866.840225477,1200,float64
20867.029712361,20867.029878135,20867.210806236,20867.221903161,20867.717052817,20868.635843988,1200,float64
20868.807392113,20868.807569148,20868.992582947,20869.008145459,20869.487656448,20870.417364108,1200,float64
20870.585104459,20870.585270967,20870.758868169,20870.769223769,20871.300345736,20872.757687429,1200,float64
20872.918753978,20872.918924528,20873.301365632,20873.323846608,20874.176831148,20875.249351766,1200,float64
20875.415361714,20875.41557575,20875.626457271,20875.638150388,20876.110884338,20877.023036646,1200,float64
20877.19736641,20877.197534425,20877.378879884,20877.391701103,20877.888832948,20878.795824122,1200,float64
20914.771038219,20914.771165983,20914.945866094,20914.956489818,20915.462902247,20916.182728883,1200,float32
20916.348615064,20916.348782575,20916.543405166,20916.554205109,20917.039749306,20917.797013928,1200,float32
20917.969125389,20917.969275629,20918.17157076,20918.189757757,20918.701507167,20919.39811136,1200,float32
20919.533111122,20919.533282258,20919.721417016,20919.73179949,20920.19926946,20920.875287974,1200,float32
20920.987025789,20920.987155032,20921.1673872,20921.178407869,20921.670133385,20922.365621483,1200,float32
20922.530349129,20922.530528096,20922.724856852,20922.735363767,20923.225808681,20923.964018098,1200,float32
20924.139633986,20924.139775826,20924.472098363,20924.492713537,20925.33088575,20926.381315758,1200,float32
20926.538085471,20926.538256421,20926.872206818,20926.89153309,20927.546928205,20928.221393088,1200,float32
20928.332922907,20928.333062238,20928.509424976,20928.520077068,20928.99548935,20929.700711245,1200,float32
20929.818502818,20929.818639816,20929.993243455,20930.004725472,20930.507739771,20931.193607314,1200,float32
21037.093359896,21037.09349128,21037.442503833,21037.463987614,21038.438977664,21041.120898046,2500,float64
21041.353284287,21041.353464829,21041.765388384,21041.785516972,21042.813814825,21045.610607949,2500,float64
21045.841882394,21045.84213237,21046.248225288,21046.287797603,21048.125987035,21051.109829394,2500,float64
21051.358743268,21051.358908414,21051.718661272,21051.738248942,21052.7204113,21055.553825243,2500,float64
21055.790707309,21055.790880418,21056.161948264,21056.182778813,21057.168686667,21060.059716639,2500,float64
21060.30955734,21060.309739091,21061.010068554,21061.048244394,21062.739145679,21065.413840782,2500,float64
21065.578726413,21065.578859555,21065.950169697,21065.976652982,21066.950436902,21069.549994926,2500,float64
21069.719316169,21069.719454344,21070.100319911,21070.119678511,21071.151846611,21074.267510685,2500,float64
21074.491485694,21074.491677106,21075.178931002,21075.217603473,21076.520373007,21079.163485061,2500,float64
21079.406504003,21079.406714271,21079.791021837,21079.810216647,21080.777094159,21083.427802264,2500,float64
21167.480664711,21167.480843365,21168.184071168,21168.222481533,21169.425806119,21171.500470481,2500,float32
21171.726527674,21171.726690991,21172.089793422,21172.109115633,21173.153913028,21175.277159413,2500,float32
21175.516529589,21175.516698125,21175.887755551,21175.907121418,21176.993107829,21179.397577801,2500,float32
21179.726478392,21179.726697868,21180.46347087,21180.503402484,21182.227571102,21184.448669172,2500,float32
21184.694064513,21184.694225052,21185.095964153,21185.11585312,21186.20272427,21188.17636034,2500,float32
21188.391200535,21188.391374104,21188.767491028,21188.787625048,21189.807070589,21191.821710288,2500,float32
21192.027205358,21192.027378998,21192.718956487,21192.758274584,21194.640618478,21196.900785777,2500,float32
21197.131328349,21197.131511211,21197.493678277,21197.514745531,21198.520116031,21200.65172427,2500,float32
21200.892156734,21200.892318377,21201.259555494,21201.287432984,21202.29897396,21204.353836439,2500,float32
21204.538475528,21204.538607832,21204.931165152,21204.953792107,21206.743401664,21209.508226311,2500,float32
21458.145107933,21458.14529114,21459.039616796,21459.114681341,21462.211262374,21469.821045931,5000,float64
21470.110458379,21470.110623197,21470.827169362,21470.864311376,21473.602032548,21481.688434136,5000,float64
21481.969470667,21481.969605208,21482.678182478,21482.716292067,21484.630856408,21493.522538999,5000,float64
21493.804867151,21493.80507915,21494.532029129,21494.568717783,21496.497063947,21504.978317659,5000,float64
21505.281701831,21505.281833389,21505.991862731,21506.029152623,21507.940990569,21516.483531817,5000,float64
21516.761735152,21516.761870249,21517.474076267,21517.510837347,21519.488097396,21527.879647725,5000,float64
21528.167423544,21528.167554769,21528.87465908,21528.91274824,21530.828034086,21539.047195627,5000,float64
21539.464844914,21539.465027334,21540.609277735,21540.646689484,21542.551035142,21549.989177941,5000,float64
21550.286084644,21550.286217514,21551.551583961,21551.626649494,21554.196751127,21562.019632211,5000,float64
21562.400331576,21562.400500535,21563.149660045,21563.188497745,21566.358384428,21574.110521709,5000,float64
21790.484136902,21790.484266414,21791.215430626,21791.251889142,21793.262303939,21799.066830329,5000,float32
21799.383544454,21799.383710691,21800.760118289,21800.833609248,21803.386081233,21809.220221777,5000,float32
21809.496506677,21809.496636236,21810.232995306,21810.268905674,21812.586594709,21819.09825198,5000,float32
21819.392231567,21819.392408039,21820.116279001,21820.152268248,21822.169850711,21828.603810243,5000,float32
21828.885861637,21828.885995409,21829.602126251,21829.638136835,21831.687575653,21837.458898494,5000,float32
21837.73780381,21837.737962376,21839.043648636,21839.117158213,21841.756430996,21847.550842636,5000,float32
21847.842250781,21847.842381023,21848.555710271,21848.594766464,21850.635355695,21857.134061386,5000,float32
21857.427187843,21857.427670696,21858.13631785,21858.172124802,21860.191745213,21866.710753616,5000,float32
21866.986466995,21866.986607506,21867.739561675,21867.775754531,21869.779069979,21875.54559576,5000,float32
21875.826793495,21875.826922126,21876.93471745,21877.009876908,21879.84163827,21885.656090457,5000,float32
