Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
400.532673383,400.532797276,400.717651583,400.728073978,401.173828489,401.928313942,1200,float64
402.038759262,402.038886309,402.204288486,402.214370332,402.657946062,403.41285253,1200,float64
403.523805677,403.523919096,403.687631118,403.697586943,404.146985703,404.904894161,1200,float64
405.01854201,405.018679467,405.185628802,405.195592394,405.641225388,406.409882732,1200,float64
406.520529577,406.520651225,406.686685762,406.696618527,407.150558525,407.903699142,1200,float64
408.01538258,408.015503968,408.180112735,408.19004724,408.64020996,409.411336834,1200,float64
409.527357043,409.527468707,409.690430975,409.700606126,410.149374649,410.959431067,1200,float64
411.070130251,411.07024862,411.234930011,411.244916133,411.691439556,412.494990179,1200,float64
412.605587779,412.605702258,412.77126909,412.781659412,413.231556854,413.993119629,1200,float64
414.103648091,414.10376577,414.269489654,414.279473083,414.732176745,415.490169466,1200,float64
444.739796482,444.739915126,444.910737702,444.920910606,445.392834551,445.994119467,1200,float32
446.10621076,446.106332057,446.276125321,446.286237365,446.753787801,447.448115525,1200,float32
447.557793293,447.557915278,447.754512179,447.765390358,448.260699448,448.864634328,1200,float32
448.975268175,448.975381492,449.147661172,449.15764224,449.627356145,450.237703559,1200,float32
450.351062588,450.351176806,450.530967861,450.54634747,451.040972206,451.647960667,1200,float32
451.755204464,451.755321635,451.927045171,451.937229924,452.408086295,453.011656772,1200,float32
453.125683911,453.125799763,453.298278324,453.308724512,453.780823998,454.453542493,1200,float32
454.561973855,454.562107538,454.762143722,454.772668492,455.334675315,456.014112064,1200,float32
456.121935579,456.122070824,456.293493445,456.30375678,456.77282505,457.385333255,1200,float32
457.491273473,457.491383832,457.661957466,457.671852276,458.17998021,458.928266984,1200,float32
537.559035651,537.559151697,537.894793119,537.914036261,538.84080036,541.149259372,2500,float64
541.317343174,541.317462067,541.656482513,541.674847252,542.621406595,544.930359239,2500,float64
545.080375397,545.080502478,545.421541742,545.440123632,546.366435478,548.642018911,2500,float64
548.793078964,548.793225887,549.131041555,549.149619973,550.072686074,552.383632463,2500,float64
552.544816166,552.544929269,552.882829086,552.9017722,553.829204821,556.119506485,2500,float64
556.269785111,556.269902126,556.608446393,556.627444344,557.558241295,559.832493852,2500,float64
559.984020847,559.984137599,560.326546846,560.345513037,561.3119442,563.593128949,2500,float64
563.740774031,563.740891482,564.077206532,564.0957984,565.021648889,567.332342253,2500,float64
567.486529086,567.486648478,567.823751632,567.842182266,568.767653824,571.075563811,2500,float64
571.230854549,571.230972346,571.572479224,571.591411811,572.528494527,574.828062118,2500,float64
644.512392207,644.512511268,644.86739813,644.88653759,645.871358598,647.670093741,2500,float32
647.823272149,647.823393479,648.180558934,648.199481705,649.176774989,651.039977557,2500,float32
651.196446879,651.196562418,651.552425643,651.570832635,652.554017894,654.374116502,2500,float32
654.525692686,654.525828963,654.87712962,654.895981225,655.879072032,657.691368857,2500,float32
657.843309839,657.843422568,658.194687445,658.213444165,659.191982225,661.013341016,2500,float32
661.168795446,661.168918287,661.523453812,661.542059999,662.53328802,664.375857128,2500,float32
664.535857114,664.535980328,664.903613468,664.923710534,665.920613807,667.723798711,2500,float32
667.878890662,667.879032812,668.248135019,668.266907951,669.255246716,671.108051968,2500,float32
671.261279163,671.261391907,671.614740218,671.633931844,672.619044348,674.425964206,2500,float32
674.573471747,674.573585526,674.927601106,674.946308763,675.932468742,677.781020994,2500,float32
885.185398702,885.185512253,885.925165577,885.961765426,887.895204251,895.060181411,5000,float64
895.401837074,895.401949769,896.073081434,896.109429431,898.045234589,905.058760335,5000,float64
905.396764768,905.3968794,906.070771096,906.107292343,908.03013612,915.184166627,5000,float64
915.518177301,915.518286739,916.185456168,916.221483883,918.072241764,925.038310327,5000,float64
925.395923575,925.396056442,926.071589368,926.107971438,928.002485706,935.157575577,5000,float64
935.475040042,935.475152368,936.141681195,936.177583761,938.033633878,945.012919544,5000,float64
945.342859545,945.342972889,946.018334452,946.054589924,947.916340031,955.071446822,5000,float64
955.383557825,955.383666329,956.075177726,956.111705911,958.035076121,965.07356437,5000,float64
965.408087132,965.408196808,966.104674889,966.140904689,968.037160468,975.172515263,5000,float64
975.487051731,975.487170965,976.164162221,976.200462059,978.073896532,985.098496472,5000,float64
1163.910714578,1163.910845152,1164.619208783,1164.654580893,1166.656096262,1172.203220004,5000,float32
1172.552362363,1172.552482565,1173.278765412,1173.315729532,1175.301333952,1180.933895872,5000,float32
1181.280940147,1181.281075178,1182.001357101,1182.036758299,1184.028855349,1189.598450819,5000,float32
1189.908224665,1189.908342389,1190.64361197,1190.67920797,1192.663769492,1198.110411963,5000,float32
1198.442853944,1198.442974968,1199.143606869,1199.178268127,1201.206798192,1206.773099036,5000,float32
1207.121388117,1207.121509169,1207.826096441,1207.861129736,1209.865314084,1215.552704922,5000,float32
1215.895569103,1215.895685252,1216.604478763,1216.639944412,1218.705267809,1224.27435462,5000,float32
1224.616073891,1224.616188442,1225.320143918,1225.356177219,1227.356119323,1232.820029783,5000,float32
1233.161773422,1233.161884346,1233.918839627,1233.955488173,1235.95707925,1241.642550155,5000,float32
1241.961381324,1241.961494726,1242.668034039,1242.70360292,1244.699362384,1250.439866847,5000,float32
