Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
21933.553743252,21933.553893856,21933.740100863,21933.749183892,21933.75279157,21934.579129075,1200,float64
21934.715148682,21934.715276168,21934.883573461,21934.903281923,21934.908506627,21935.745049697,1200,float64
21935.870915315,21935.871049668,21936.046392428,21936.055470038,21936.059053144,21936.892301507,1200,float64
21937.01786786,21937.017998704,21937.207178932,21937.217224455,21937.220618598,21938.066085531,1200,float64
21938.192774379,21938.192900257,21938.361839452,21938.370866322,21938.374294026,21939.223237023,1200,float64
21939.350166836,21939.350290775,21939.520661758,21939.533893145,21939.538388785,21940.431750429,1200,float64
21940.599318115,21940.599477941,21940.939379149,21940.957418084,21940.962443873,21941.922848567,1200,float64
21942.095096839,21942.095265059,21942.427727559,21942.445448329,21942.450468481,21943.355151288,1200,float64
21943.479861963,21943.479985698,21943.650732059,21943.659639845,21943.663091619,21944.500775274,1200,float64
21944.627255198,21944.627389568,21944.803445894,21944.812366608,21944.81588848,21945.644737642,1200,float64
21968.591206606,21968.591348232,21968.779659855,21968.789609424,21968.792863975,21969.272222369,1200,float32
21969.401084766,21969.401210955,21969.57671644,21969.585590335,21969.588755973,21970.047437866,1200,float32
21970.173049389,21970.17317822,21970.368614445,21970.3776528,21970.380846364,21970.846224438,1200,float32
21970.969512274,21970.969645248,21971.145128421,21971.154227675,21971.157787555,21971.633271265,1200,float32
21971.758877855,21971.758998549,21971.934596597,21971.94403023,21971.947567776,21972.425280556,1200,float32
21972.554226804,21972.554355666,21972.729386599,21972.738274673,21972.741428869,21973.198147509,1200,float32
21973.324111564,21973.324237002,21973.519337782,21973.528283145,21973.531456786,21974.001546888,1200,float32
21974.131233806,21974.13136537,21974.313311862,21974.322246513,21974.325439387,21974.802677198,1200,float32
21974.927492791,21974.92762984,21975.101896125,21975.110863162,21975.114209361,21975.589687607,1200,float32
21975.713540837,21975.713664871,21975.890606167,21975.899409285,21975.902666868,21976.364070355,1200,float32
22030.245959549,22030.246148513,22030.922093415,22030.955609461,22030.964444915,22034.67293035,2500,float64
22034.83246765,22034.832603573,22035.194036703,22035.224714105,22035.233784462,22038.91165658,2500,float64
22039.078180163,22039.078307955,22039.441378916,22039.459189835,22039.46552144,22043.35770349,2500,float64
22043.569683276,22043.569853972,22044.101368108,22044.119477098,22044.125989314,22047.770128195,2500,float64
22047.938139863,22047.938267676,22048.317407954,22048.335792367,22048.342647408,22051.998580191,2500,float64
22052.166775912,22052.166899542,22052.512127957,22052.52997425,22052.536395093,22056.549530041,2500,float64
22056.723142097,22056.723270382,22057.074613862,22057.093021172,22057.099419057,22060.77280906,2500,float64
22060.928421357,22060.928553818,22061.293651087,22061.311286225,22061.317576152,22064.936739859,2500,float64
22065.102985508,22065.103134374,22065.471362736,22065.489491506,22065.495870644,22069.507909888,2500,float64
22069.663828896,22069.663957479,22070.029323714,22070.047269575,22070.054190306,22073.658309021,2500,float64
22151.585241603,22151.585365463,22151.964683659,22151.98239321,22151.988117343,22154.02194659,2500,float32
22154.178711875,22154.178837684,22154.537074657,22154.554703483,22154.5612506,22156.849525205,2500,float32
22157.106081161,22157.106266152,22157.751948969,22157.770113771,22157.775804634,22159.784436972,2500,float32
22159.938920133,22159.93905984,22160.325567321,22160.343466516,22160.349064755,22162.383918653,2500,float32
22162.542255059,22162.542390528,22162.920842311,22162.938736777,22162.944472209,22164.960914381,2500,float32
22165.123890712,22165.124039316,22165.49495825,22165.513037375,22165.518797271,22167.535841184,2500,float32
22167.694243811,22167.694371165,22168.371924557,22168.408260192,22168.416071464,22170.761566101,2500,float32
22170.919379427,22170.919506619,22171.28413164,22171.30183391,22171.307713151,22173.322350636,2500,float32
22173.482598102,22173.482723732,22173.874153369,22173.891924623,22173.897650336,22175.924708672,2500,float32
22176.087065506,22176.087199956,22176.488878108,22176.509341193,22176.515289134,22178.527729716,2500,float32
22400.221687368,22400.221824517,22401.498138765,22401.570855082,22401.587790849,22417.46568244,5000,float64
22417.73225929,22417.73243436,22418.45328907,22418.488621148,22418.501204666,22433.962136845,5000,float64
22434.230155533,22434.230282806,22434.93955027,22434.974495301,22434.986361867,22452.423859602,5000,float64
22452.845801009,22452.845995422,22454.060779812,22454.097837728,22454.111634284,22469.578554849,5000,float64
22469.842488237,22469.842613838,22470.544987479,22470.580138648,22470.592342231,22486.056994168,5000,float64
22486.330212342,22486.330335152,22487.016890135,22487.053263848,22487.065727963,22502.194571705,5000,float64
22502.58472282,22502.58489083,22503.915800702,22503.988578734,22504.004893589,22520.015997275,5000,float64
22520.291607075,22520.291734293,22520.992151212,22521.027170493,22521.038762434,22536.272396735,5000,float64
22536.541142832,22536.541271846,22537.262750483,22537.299165833,22537.310767876,22553.555659214,5000,float64
22553.966984758,22553.967172385,22555.220271776,22555.257696604,22555.269410727,22572.120617812,5000,float64
22891.83377694,22891.833952697,22892.563732718,22892.600163417,22892.611253665,22901.330192492,5000,float32
22901.75748125,22901.757609999,22902.479313559,22902.513881479,22902.524160728,22910.716076823,5000,float32
22910.982706453,22910.982829499,22911.693110438,22911.759625823,22911.776720018,22920.358123046,5000,float32
22920.621986389,22920.622123257,22921.352577689,22921.387223942,22921.397727999,22929.960773725,5000,float32
22930.224673091,22930.224803203,22930.989835695,22931.03153945,22931.042296233,22939.673363721,5000,float32
22939.935620428,22939.935749161,22940.662848393,22940.697645458,22940.708422328,22948.951385135,5000,float32
22949.220411315,22949.220539959,22950.299082268,22950.370575381,22950.385437879,22958.773766173,5000,float32
22959.053911202,22959.054107895,22959.765902183,22959.800765745,22959.811363346,22968.437187669,5000,float32
22968.705168044,22968.70529423,22969.425260332,22969.476987205,22969.488125453,22977.980557743,5000,float32
22978.245234627,22978.245362229,22978.968506214,22979.003503089,22979.014165333,22987.118758959,5000,float32
