Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
1292.889953002,1292.890099409,1293.052370009,1293.061088106,1293.064097466,1293.893570707,1200,float64
1294.006773096,1294.006909642,1294.170743301,1294.179684202,1294.182685793,1295.013363602,1200,float64
1295.127087989,1295.127200603,1295.289618403,1295.298216157,1295.301244659,1296.12864629,1200,float64
1296.242990804,1296.243124754,1296.40422387,1296.412889108,1296.415907576,1297.244254017,1200,float64
1297.355193414,1297.355304411,1297.515687096,1297.524872587,1297.527879965,1298.356593355,1200,float64
1298.470433254,1298.470550095,1298.636790064,1298.645932303,1298.648957077,1299.47982528,1200,float64
1299.592111385,1299.59222802,1299.751196176,1299.759794328,1299.762772571,1300.600780913,1200,float64
1300.713101273,1300.713214556,1300.874736021,1300.88390143,1300.887192451,1301.714794274,1200,float64
1301.826909819,1301.827043454,1301.990628349,1301.999751906,1302.003822307,1302.825050271,1200,float64
1302.93636809,1302.936485343,1303.095847418,1303.104472608,1303.107542446,1303.929884082,1200,float64
1324.703743094,1324.703884458,1324.870952002,1324.880389708,1324.883150788,1325.35642866,1200,float32
1325.468281877,1325.468395883,1325.634587178,1325.644730747,1325.647497462,1326.12063749,1200,float32
1326.232809387,1326.232923281,1326.398853753,1326.407832015,1326.410651484,1326.878400246,1200,float32
1326.987165704,1326.987281434,1327.165013349,1327.174372395,1327.177348014,1327.645600176,1200,float32
1327.756145091,1327.756257018,1327.92311618,1327.932140667,1327.934838224,1328.40251986,1200,float32
1328.511956779,1328.512084592,1328.679611395,1328.688180717,1328.690924771,1329.150375993,1200,float32
1329.258520996,1329.258629504,1329.424896844,1329.433575789,1329.43631766,1329.898708615,1200,float32
1330.005410084,1330.005527901,1330.180706244,1330.189341872,1330.192082498,1330.677462024,1200,float32
1330.78653156,1330.786641779,1330.951976142,1330.960938707,1330.963688216,1331.424427728,1200,float32
1331.532143492,1331.532256831,1331.697577648,1331.706252922,1331.709047729,1332.172276992,1200,float32
1381.324353389,1381.324465425,1381.652150388,1381.669372111,1381.674876193,1385.148846416,2500,float64
1385.298241978,1385.298349277,1385.624254251,1385.641343145,1385.646870005,1389.145302293,2500,float64
1389.297555917,1389.297667584,1389.627426359,1389.644565382,1389.650225591,1393.173220197,2500,float64
1393.322149927,1393.322260229,1393.650482376,1393.66757101,1393.673224007,1397.175252954,2500,float64
1397.324574083,1397.324691237,1397.65289239,1397.670383851,1397.675880179,1401.166984558,2500,float64
1401.316957667,1401.317109802,1401.656108336,1401.673752121,1401.679259152,1405.168846304,2500,float64
1405.318867786,1405.318987678,1405.656043894,1405.673361908,1405.679084419,1409.222138872,2500,float64
1409.376040922,1409.376153068,1409.704370344,1409.722088684,1409.727826343,1413.269423482,2500,float64
1413.418039249,1413.418152221,1413.747190426,1413.764534849,1413.76999855,1417.289374114,2500,float64
1417.438926102,1417.439050191,1417.77025663,1417.78804294,1417.793486785,1421.338799096,2500,float64
1493.550802307,1493.550912562,1493.891894158,1493.909263972,1493.914162367,1495.914040047,2500,float32
1496.06129569,1496.061410951,1496.401886446,1496.418927002,1496.423850635,1498.432928734,2500,float32
1498.581775812,1498.581888962,1498.95135094,1498.968713682,1498.973703327,1500.990428176,2500,float32
1501.139406504,1501.139524649,1501.522084571,1501.539474988,1501.544453134,1503.557541803,2500,float32
1503.703998976,1503.704117359,1504.041932061,1504.059193219,1504.064131596,1506.070249447,2500,float32
1506.214446464,1506.214558699,1506.553187911,1506.570683413,1506.575629144,1508.576296281,2500,float32
1508.721240461,1508.721356038,1509.067482958,1509.084765571,1509.089675021,1511.090821669,2500,float32
1511.236978162,1511.237101402,1511.577640533,1511.594692606,1511.59961602,1513.61579415,2500,float32
1513.762706399,1513.762822734,1514.112559301,1514.130036625,1514.13502356,1516.135504685,2500,float32
1516.280703605,1516.280817188,1516.620232773,1516.637319764,1516.642233104,1518.645261358,2500,float32
1696.898096169,1696.898205873,1697.559773556,1697.594117633,1697.604996024,1711.655316165,5000,float64
1711.926812946,1711.92692505,1712.578298614,1712.611675546,1712.622349115,1726.592517457,5000,float64
1726.866167186,1726.866276568,1727.517792842,1727.551814004,1727.565780194,1741.591467683,5000,float64
1741.86471303,1741.864826131,1742.524143515,1742.55848853,1742.5690153,1756.563458977,5000,float64
1756.850038385,1756.85015243,1757.520183771,1757.553648662,1757.563958637,1771.52125021,5000,float64
1771.806746639,1771.806863841,1772.471115673,1772.508212594,1772.520871152,1786.547937804,5000,float64
1786.830485806,1786.830603068,1787.481596231,1787.515856067,1787.526263194,1801.601623593,5000,float64
1801.876160264,1801.87628136,1802.543675973,1802.578426149,1802.589444762,1816.581447904,5000,float64
1816.855580283,1816.85569581,1817.51387436,1817.548191416,1817.558799077,1831.638676137,5000,float64
1831.913415853,1831.913533568,1832.570698896,1832.605284172,1832.61605944,1846.582294358,5000,float64
2111.078893759,2111.079017146,2111.755260695,2111.788785779,2111.798235419,2119.877308474,5000,float32
2120.158811735,2120.158935518,2120.872909614,2120.906928092,2120.916588248,2129.047493623,5000,float32
2129.318725894,2129.318846969,2130.028956176,2130.063915378,2130.073481978,2138.186417317,5000,float32
2138.465845126,2138.465954622,2139.140939774,2139.174464168,2139.183646055,2147.340122222,5000,float32
2147.610715755,2147.610834657,2148.302783837,2148.336343704,2148.345367148,2156.427325453,5000,float32
2156.702443342,2156.70256672,2157.394077765,2157.427671633,2157.437096214,2165.55713735,5000,float32
2165.827072073,2165.827183954,2166.504030017,2166.537471788,2166.546723327,2174.667665,5000,float32
2174.939857808,2174.93997017,2175.615323174,2175.648569334,2175.65755105,2183.817652601,5000,float32
2184.103803133,2184.103925839,2184.783503585,2184.817086187,2184.826256237,2192.979864071,5000,float32
2193.250249392,2193.250361353,2193.928222354,2193.96211085,2193.971345179,2202.136429562,5000,float32
