Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
21922.21245079,21922.212599164,21922.343161043,21922.351522666,21922.354508672,21923.030344486,1200,float64
21923.161050303,21923.161170803,21923.29028206,21923.298476183,21923.301431714,21923.97274387,1200,float64
21924.096830169,21924.09695011,21924.247759589,21924.255992311,21924.258977692,21924.929192997,1200,float64
21925.05427144,21925.054397691,21925.203872812,21925.212354693,21925.215339875,21925.892824385,1200,float64
21926.015597374,21926.015717831,21926.156571013,21926.164745926,21926.167699888,21926.846357717,1200,float64
21926.968400123,21926.96851954,21927.103706377,21927.112046994,21927.115025134,21927.886213507,1200,float64
21928.038792221,21928.038947946,21928.295088687,21928.317167975,21928.322971069,21929.098418755,1200,float64
21929.258304783,21929.258468059,21929.544231899,21929.561033301,21929.565801488,21930.344773286,1200,float64
21930.468229254,21930.468343774,21930.61731913,21930.6269899,21930.630224689,21931.304662916,1200,float64
21931.429112408,21931.4292328,21931.580705105,21931.588777865,21931.591927599,21932.278659114,1200,float64
21959.899413563,21959.899539041,21960.049147785,21960.058264722,21960.061025099,21960.488433395,1200,float32
21960.6100897,21960.610209969,21960.747279724,21960.755590792,21960.758338767,21961.196188341,1200,float32
21961.321897166,21961.322041249,21961.458551904,21961.467040131,21961.469872231,21961.901145698,1200,float32
21962.024436069,21962.024569317,21962.178683707,21962.187807537,21962.190602547,21962.623540988,1200,float32
21962.749269393,21962.749395729,21962.908142123,21962.918631357,21962.921541019,21963.346691119,1200,float32
21963.469999463,21963.4701281,21963.602901285,21963.611284168,21963.61462918,21964.04464625,1200,float32
21964.166382026,21964.166503238,21964.300740809,21964.310841922,21964.313851445,21964.740870046,1200,float32
21964.865576622,21964.865698564,21965.017172738,21965.028523926,21965.031387776,21965.481136139,1200,float32
21965.643746044,21965.643901612,21965.909437066,21965.925385543,21965.929554562,21966.438568752,1200,float32
21966.590877084,21966.591057537,21966.857956781,21966.873911425,21966.877891136,21967.404628339,1200,float32
21990.181463496,21990.181588381,21990.460060056,21990.477240433,21990.48296165,21993.826801979,2500,float64
21993.973840073,21993.973959965,21994.243164637,21994.257929165,21994.26328524,21997.176886829,2500,float64
21997.322601611,21997.322721612,21997.60938157,21997.624173025,21997.629667898,22000.538554814,2500,float64
22000.703693357,22000.703809322,22000.973922455,22000.988630784,22000.993883562,22004.052679297,2500,float64
22004.243382644,22004.243531998,22004.768344773,22004.797625923,22004.805485588,22007.935294044,2500,float64
22008.103510261,22008.103631045,22008.372313236,22008.386970555,22008.392314655,22011.353550766,2500,float64
22011.504125158,22011.50424541,22011.77402021,22011.788939573,22011.794311589,22014.748904737,2500,float64
22014.902068264,22014.902198598,22015.181572664,22015.196464134,22015.202092923,22018.539622476,2500,float64
22018.725865569,22018.725993687,22018.999389947,22019.016546559,22019.021836153,22021.988783095,2500,float64
22022.143815758,22022.143938249,22022.410875603,22022.425640547,22022.430952924,22025.40224875,2500,float64
22125.331336085,22125.331456959,22125.624973165,22125.639938276,22125.645133855,22127.404729636,2500,float32
22127.555582404,22127.555710661,22127.850896294,22127.865776324,22127.870575539,22129.634221299,2500,float32
22129.803569679,22129.803728868,22130.362248742,22130.392370363,22130.399079383,22132.51428488,2500,float32
22132.66175184,22132.661872831,22132.96618788,22132.981049612,22132.985971829,22134.780242024,2500,float32
22134.931234495,22134.931398059,22135.233231798,22135.248062656,22135.253215635,22137.04152665,2500,float32
22137.192601808,22137.192725643,22137.474949191,22137.489771062,22137.494819479,22139.256301092,2500,float32
22139.406155297,22139.406284862,22139.715436898,22139.73026717,22139.735127316,22141.506204697,2500,float32
