Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
1282.520464682,1282.520619173,1282.648275781,1282.656254942,1282.658943904,1283.332539718,1200,float64
1283.443431762,1283.443542044,1283.572763038,1283.581177174,1283.583861529,1284.259140191,1200,float64
1284.372077481,1284.372189409,1284.496530574,1284.50585452,1284.508458249,1285.190953801,1200,float64
1285.306627207,1285.306743396,1285.434385489,1285.442875556,1285.445598358,1286.138586091,1200,float64
1286.251033576,1286.251144187,1286.379736929,1286.38765074,1286.390362741,1287.058922004,1200,float64
1287.168557115,1287.168665622,1287.294424781,1287.302272315,1287.304912685,1287.976518349,1200,float64
1288.086120465,1288.086225553,1288.211671517,1288.219532718,1288.222164286,1288.895171523,1200,float64
1289.004646403,1289.004763672,1289.130077204,1289.137922228,1289.140576324,1289.809644823,1200,float64
1289.917465,1289.917575411,1290.042971218,1290.05085504,1290.053500688,1290.736073988,1200,float64
1290.846590713,1290.846695873,1290.972291784,1290.980297071,1290.982910123,1291.658426604,1200,float64
1317.085751156,1317.08586004,1317.231099698,1317.239519449,1317.242040341,1317.672638847,1200,float32
1317.777255705,1317.777362581,1317.906661595,1317.914503679,1317.916885875,1318.343221246,1200,float32
1318.45027334,1318.450382241,1318.579573824,1318.587468358,1318.589872942,1319.023329524,1200,float32
1319.130536187,1319.130646602,1319.26038,1319.268462335,1319.27118958,1319.700818638,1200,float32
1319.806700507,1319.806817324,1319.936204803,1319.944189801,1319.946878202,1320.38305739,1200,float32
1320.488521183,1320.488632801,1320.636900876,1320.644815816,1320.647238356,1321.080905637,1200,float32
1321.188122948,1321.188229875,1321.316240572,1321.3241112,1321.326507118,1321.756382913,1200,float32
1321.862141993,1321.862247887,1321.991045806,1321.999243422,1322.001732048,1322.432652805,1200,float32
1322.540360407,1322.540469978,1322.670966101,1322.679233257,1322.681938336,1323.114068821,1200,float32
1323.226897462,1323.227046591,1323.375299884,1323.383632109,1323.386087112,1323.827338546,1200,float32
1344.562096371,1344.562204276,1344.819035316,1344.83360568,1344.838342649,1347.689286428,2500,float64
1347.830640378,1347.830747203,1348.088712731,1348.103202226,1348.108253249,1351.00162066,2500,float64
1351.144195623,1351.144306081,1351.400863059,1351.415419773,1351.420185969,1354.277716501,2500,float64
1354.420596492,1354.420705339,1354.676867129,1354.691093257,1354.695786543,1357.574550839,2500,float64
1357.708437089,1357.708541265,1357.96678962,1357.981464487,1357.986072879,1360.853915609,2500,float64
1360.995119801,1360.995226973,1361.251256432,1361.265367858,1361.270105357,1364.136393341,2500,float64
1364.275601941,1364.275706337,1364.532868058,1364.547516644,1364.552209747,1367.403440388,2500,float64
1367.541471507,1367.541579809,1367.798354108,1367.81305272,1367.817675343,1370.676791586,2500,float64
1370.815016573,1370.815125669,1371.073794656,1371.088550472,1371.093319971,1373.94033439,2500,float64
1374.081485868,1374.081594825,1374.338244603,1374.352507281,1374.357181067,1377.195681493,2500,float64
1469.039086543,1469.039198904,1469.305999662,1469.32033299,1469.324580695,1471.110037359,2500,float32
1471.253608249,1471.25372615,1471.519174479,1471.534090534,1471.538550207,1473.331480506,2500,float32
1473.472325777,1473.472433767,1473.736472147,1473.750701129,1473.754942696,1475.53238611,2500,float32
1475.675458831,1475.675567502,1475.963212239,1475.978224549,1475.982625348,1477.739418938,2500,float32
1477.876655322,1477.876765719,1478.14492124,1478.159578551,1478.163762478,1479.923924243,2500,float32
1480.06346067,1480.063575915,1480.335741893,1480.350416097,1480.354686326,1482.121060039,2500,float32
1482.264773037,1482.264889422,1482.529331833,1482.543833355,1482.548052883,1484.302119829,2500,float32
1484.447948657,1484.448074592,1484.713557147,1484.728193455,1484.732433649,1486.503551658,2500,float32
1486.64649142,1486.646601211,1486.911483602,1486.925789591,1486.930280494,1488.694531617,2500,float32
1488.833421982,1488.833525503,1489.10080773,1489.115644515,1489.12025027,1490.89986635,2500,float32
1560.721727624,1560.721839219,1561.23074797,1561.257498284,1561.266134658,1572.453226292,5000,float64
1572.696376106,1572.696481038,1573.204980043,1573.231614661,1573.24029753,1584.460600669,5000,float64
1584.703772851,1584.703889748,1585.247422823,1585.274280238,1585.283032383,1596.549044124,5000,float64
1596.800436959,1596.800557911,1597.32743655,1597.354220189,1597.363333365,1608.536667409,5000,float64
1608.781221687,1608.78132988,1609.289155021,1609.316684024,1609.325441803,1620.596719546,5000,float64
1620.84950324,1620.849644247,1621.3728453,1621.399749818,1621.408871896,1632.742320919,5000,float64
1632.985873283,1632.985987942,1633.503078238,1633.530164551,1633.53948701,1644.933147825,5000,float64
1645.177410505,1645.177519994,1645.687589855,1645.714503417,1645.723358145,1657.124862503,5000,float64
1657.372178773,1657.372285711,1657.878350352,1657.904884107,1657.913540126,1669.357098492,5000,float64
1669.611935241,1669.612075138,1670.161737855,1670.189495924,1670.198417638,1681.641423592,5000,float64
2023.040477103,2023.0406069,2023.573294115,2023.60097122,2023.608832117,2030.733061347,5000,float32
2030.981284144,2030.98140129,2031.535749117,2031.56292653,2031.571093411,2038.608590153,5000,float32
2038.847336944,2038.847446386,2039.368694157,2039.395175938,2039.402953481,2046.45880286,5000,float32
2046.700053974,2046.700169645,2047.269098849,2047.296684281,2047.30476725,2054.397399657,5000,float32
2054.641032272,2054.641140285,2055.174328346,2055.201049459,2055.208790225,2062.246956169,5000,float32
2062.49733805,2062.49744917,2063.027635342,2063.054467362,2063.062228791,2070.146557463,5000,float32
2070.399242355,2070.399358738,2070.949744308,2070.977067108,2070.984871356,2078.086595911,5000,float32
2078.332769271,2078.332872454,2078.856464838,2078.883292707,2078.891089901,2085.976074045,5000,float32
2086.226661122,2086.226802754,2086.74706904,2086.774162115,2086.782227245,2093.895147706,5000,float32
2094.13219525,2094.132306375,2094.656130106,2094.682906577,2094.690604052,2101.709775724,5000,float32
