Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
21946.925505699,21946.925639523,21947.093441808,21947.10388935,21947.107422684,21947.955588167,1200,float64
21948.08702555,21948.08715035,21948.277120402,21948.287423997,21948.290804436,21949.142221427,1200,float64
21949.270121871,21949.270289857,21949.450677777,21949.461297349,21949.464730288,21950.326554424,1200,float64
21950.455835572,21950.455966231,21950.628790856,21950.639216346,21950.642668117,21951.496818109,1200,float64
21951.621234545,21951.621360691,21951.795243635,21951.805778646,21951.809234972,21952.657654429,1200,float64
21952.783804446,21952.783929403,21953.081261062,21953.101553667,21953.106543082,21954.087350539,1200,float64
21954.242321316,21954.242491743,21954.577320239,21954.597184904,21954.60292962,21955.577513909,1200,float64
21955.708832511,21955.708960656,21955.881911044,21955.892366926,21955.895862068,21956.750102887,1200,float64
21956.873889278,21956.874029447,21957.049432564,21957.059743905,21957.063227864,21957.92164543,1200,float64
21958.046050643,21958.046174266,21958.215025785,21958.225409879,21958.228881005,21959.072559924,1200,float64
21977.340915491,21977.341058062,21977.531352338,21977.541637868,21977.544774826,21978.071590839,1200,float32
21978.236502635,21978.236674765,21978.585196734,21978.605452629,21978.610481941,21979.235679622,1200,float32
21979.392688521,21979.392875255,21979.767984511,21979.788346207,21979.793012436,21980.455515939,1200,float32
21980.625358761,21980.625539073,21980.852840324,21980.863126133,21980.86642511,21981.403378689,1200,float32
21981.529982212,21981.530120833,21981.704502849,21981.715108497,21981.718264976,21982.261814568,1200,float32
21982.386555791,21982.386714138,21982.581772792,21982.593438549,21982.596636054,21983.127534352,1200,float32
21983.251629606,21983.251758105,21983.426115215,21983.436509511,21983.439619056,21983.972417284,1200,float32
21984.097784477,21984.097909607,21984.273256676,21984.28371874,21984.286873409,21984.810822636,1200,float32
21984.947938076,21984.948077855,21985.124086195,21985.134626851,21985.137842608,21985.666064863,1200,float32
21985.789295225,21985.789420208,21986.007203176,21986.021508374,21986.024961626,21986.56388123,1200,float32
22078.089402855,22078.089539375,22078.470133926,22078.489732963,22078.496012312,22082.578965493,2500,float64
22082.736527811,22082.736660555,22083.084284042,22083.10370039,22083.110205666,22086.832928002,2500,float64
22086.986660127,22086.986786427,22087.340755228,22087.359840216,22087.366181277,22091.177113498,2500,float64
22091.336993372,22091.337127093,22091.682270039,22091.701457293,22091.707843102,22095.829291594,2500,float64
22095.986594577,22095.986722031,22096.357089885,22096.376741401,22096.383234987,22100.106984878,2500,float64
22100.27283284,22100.273021403,22100.642995703,22100.662405143,22100.668731976,22104.419909306,2500,float64
22104.646746551,22104.646912672,22105.335846098,22105.37444426,22105.383384829,22109.373250058,2500,float64
22109.527910041,22109.528041513,22109.888752807,22109.907901498,22109.91428296,22113.629495347,2500,float64
22113.78369989,22113.783825068,22114.150665205,22114.169988082,22114.176452445,22118.083948776,2500,float64
22118.307646771,22118.307811298,22118.977870663,22119.016360818,22119.025324662,22122.918269266,2500,float64
22181.725147346,22181.725330075,22182.42942709,22182.467872445,22182.476039137,22184.824153687,2500,float32
22184.984618593,22184.984748978,22185.360440687,22185.381365261,22185.387161296,22187.596531093,2500,float32
22187.752923869,22187.75306276,22188.115055081,22188.134218481,22188.139836402,22191.199672747,2500,float32
22191.731817915,22191.732020589,22194.429573375,22194.501279981,22194.511521452,22203.687596131,2500,float32
22203.839398417,22203.839529327,22204.204290878,22204.223476053,22204.229300357,22208.045711757,2500,float32
22208.202961701,22208.203109993,22208.573023605,22208.592260845,22208.598110131,22211.188019387,2500,float32
22211.406043478,22211.4062183,22212.091356256,22212.124096275,22212.129780108,22214.409136612,2500,float32
22214.627166152,22214.627336909,22214.990719194,22215.013366014,22215.021036274,22217.399105856,2500,float32
22217.581547311,22217.581684625,22217.945441977,22217.964882021,22217.971109211,22220.237487525,2500,float32
22220.396980434,22220.397173923,22220.777492871,22220.796580409,22220.802569249,22223.229942919,2500,float32
22589.961251738,22589.961385974,22590.75329248,22590.822342687,22590.839314836,22606.613139273,5000,float64
22606.880621495,22606.880748777,22607.583539353,22607.62177401,22607.633916833,22622.915929378,5000,float64
22623.183356093,22623.183483906,22623.893035819,22623.933935961,22623.945792191,22640.182581407,5000,float64
22640.459897447,22640.46003961,22641.208368918,22641.281055322,22641.298392953,22658.285630899,5000,float64
22658.550264049,22658.550388815,22659.277905654,22659.315209697,22659.327067033,22676.09462495,5000,float64
22676.353276479,22676.353406407,22677.070172675,22677.106759454,22677.118468388,22694.861805644,5000,float64
22695.196590589,22695.196758804,22695.914907124,22695.951671213,22695.964222166,22713.225227198,5000,float64
22713.520173041,22713.520346501,22714.203200873,22714.239715196,22714.251474035,22729.684321278,5000,float64
22729.945034948,22729.945163055,22731.329184314,22731.405074378,22731.423150791,22747.485077462,5000,float64
22747.825292031,22747.82545211,22748.52664003,22748.563746466,22748.576608497,22767.306883579,5000,float64
22998.240785394,22998.240917253,22998.958123391,22998.994378481,22999.006041545,23008.348937346,5000,float32
23008.612794397,23008.612923052,23009.335706744,23009.372884472,23009.383199862,23018.647546698,5000,float32
23018.926603114,23018.926730817,23019.655668568,23019.694247621,23019.70472916,23028.882343396,5000,float32
23029.141843193,23029.141967323,23029.875064899,23029.916054654,23029.926674885,23039.060708722,5000,float32
23039.462374466,23039.462540449,23040.717270227,23040.771158169,23040.782490714,23049.624663421,5000,float32
23049.893848238,23049.893977612,23050.636264522,23050.708133713,23050.723649044,23059.979590077,5000,float32
23060.246043589,23060.246176619,23060.97510869,23061.012544347,23061.024014504,23070.50336613,5000,float32
23070.762921235,23070.763060629,23071.490230713,23071.52638674,23071.536939193,23080.745726636,5000,float32
23081.008027729,23081.008181511,23081.73884182,23081.775535294,23081.786215609,23090.997311341,5000,float32
23091.296656206,23091.296789661,23092.053015839,23092.089206183,23092.099468698,23100.983757625,5000,float32
