Start time,Curves ST,Curves ET,Tangents ST,Tangents ET/Surface ST,Surface ET/End Time,n2,dtype
1305.170148263,1305.170273581,1305.329991332,1305.340071766,1305.343101291,1306.186097577,1200,float64
1306.299515872,1306.299629608,1306.462369001,1306.472923341,1306.476086367,1307.326842425,1200,float64
1307.439792877,1307.439912005,1307.602507035,1307.612998174,1307.616076836,1308.4512418,1200,float64
1308.56270269,1308.56282022,1308.725081972,1308.73539553,1308.738399277,1309.571922954,1200,float64
1309.68084701,1309.680979062,1309.839816607,1309.849741937,1309.852763748,1310.696621546,1200,float64
1310.805430995,1310.805543599,1310.965888968,1310.976300519,1310.979435543,1311.820309499,1200,float64
1311.926907268,1311.927035037,1312.088221588,1312.09865318,1312.101713236,1312.936974996,1200,float64
1313.045959614,1313.046085653,1313.205605538,1313.215568588,1313.218604765,1314.053915365,1200,float64
1314.164704918,1314.164821826,1314.324308094,1314.334962033,1314.338045581,1315.174973756,1200,float64
1315.283868886,1315.283987163,1315.444023834,1315.454567707,1315.457622533,1316.29672566,1200,float64
1333.082015277,1333.082134919,1333.24691842,1333.256857966,1333.259599208,1333.782939987,1200,float32
1333.890936743,1333.891059054,1334.057882613,1334.067811284,1334.07078264,1334.6022589,1200,float32
1334.713034456,1334.713150013,1334.879656751,1334.889687409,1334.892863724,1335.4135711,1200,float32
1335.522210378,1335.522323067,1335.690159352,1335.700147387,1335.702862545,1336.227837038,1200,float32
1336.336823495,1336.336936005,1336.502683596,1336.512619024,1336.515470556,1337.042064956,1200,float32
1337.151613445,1337.151731282,1337.31641905,1337.326301746,1337.329490815,1337.850225863,1200,float32
1337.957980467,1337.95810084,1338.125112922,1338.135031631,1338.137723536,1338.663240902,1200,float32
1338.77289905,1338.773036271,1338.957205043,1338.967132633,1338.969939896,1339.500481367,1200,float32
1339.606978721,1339.607102008,1339.774747799,1339.784699574,1339.788145263,1340.307376475,1200,float32
1340.412509133,1340.412619345,1340.601328881,1340.611293478,1340.613991382,1341.142038985,1200,float32
1425.620097073,1425.62021144,1425.952988219,1425.971978717,1425.977600149,1429.598805422,2500,float64
1429.750249424,1429.75036189,1430.081719301,1430.100868535,1430.106700503,1433.733742848,2500,float64
1433.885325174,1433.885438061,1434.219941171,1434.23835397,1434.243982498,1437.855657183,2500,float64
1438.006248109,1438.006358642,1438.335770236,1438.354475886,1438.360041093,1441.977805514,2500,float64
1442.130886775,1442.131019866,1442.458153281,1442.47703487,1442.482590816,1446.046167172,2500,float64
1446.196802164,1446.196913123,1446.524985615,1446.543486923,1446.548935156,1450.14397119,2500,float64
1450.298983272,1450.299107063,1450.658291155,1450.67683744,1450.682632941,1454.273055323,2500,float64
1454.428223392,1454.428337729,1454.757663132,1454.776298719,1454.781836685,1458.393190439,2500,float64
1458.548207837,1458.54832506,1458.879226407,1458.899399989,1458.904958801,1462.546223177,2500,float64
1462.698105821,1462.698219114,1463.02720244,1463.04683513,1463.052374679,1466.66437434,2500,float64
1521.495166515,1521.495280284,1521.835788547,1521.85446951,1521.859458886,1524.052740477,2500,float32
1524.197723274,1524.197835764,1524.539414345,1524.558063082,1524.562955805,1526.742898159,2500,float32
1526.888189891,1526.888305912,1527.229136203,1527.249623113,1527.254562625,1529.413935999,2500,float32
