run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total
0,apple,300,1200,float64,cpu,0.0002414640002825763,1.320004230365157e-07,0.0248409529995115,0.0020163980007055216,0.0039323159980995115,0.16527382099957322,0.5915083120016789,2.3399843485094607e-07,0.7878136299987091
1,apple,300,1200,float64,cpu,0.0002228049997938797,1.7100319382734597e-07,0.019091930997092277,0.0018530169982113875,0.0035339649984962307,0.1713630109989026,0.5766906789976929,7.220005500130355e-07,0.7727563009939331
2,apple,300,1200,float64,cpu,0.00024312899768119678,1.3899989426136017e-07,0.019400017998123076,0.001967688000149792,0.003640293998614652,0.1656883010000456,0.5778753699996741,2.2499807528220117e-07,0.768815163992258
3,apple,300,1200,float64,cpu,0.00022339199858834036,9.400173439644277e-08,0.024118819997966057,0.001992965000681579,0.005876880000869278,0.17255525899963686,0.570496333999472,2.0899824448861182e-07,0.775263952997193
4,apple,300,1200,float64,cpu,0.0002970710011140909,1.2899909052066505e-07,0.02203781199932564,0.001886813002784038,0.003677859000163153,0.16889063300186535,0.5788818399996671,1.9399885786697268e-07,0.7756723510028678
5,apple,300,1200,float64,cpu,0.000231104000704363,1.9100116332992911e-07,0.03303675899951486,0.003240614001697395,0.004476722002436873,0.16792922799868393,0.6263315659998625,2.3400207282975316e-07,0.8352464180061361
6,apple,300,1200,float64,cpu,0.00025898300009430386,1.5600016922689974e-07,0.03196440000101575,0.0026646160004020203,0.007686835000640713,0.21992367100028787,0.6701378940015275,2.2500171326100826e-07,0.9326367800058506
7,apple,300,1200,float64,cpu,0.0002929260008386336,1.7300044419243932e-07,0.04020227099681506,0.00253251300091506,0.007497389000491239,0.2407922710008279,0.702185878999444,2.4299879441969097e-07,0.9935036649985705
8,apple,300,1200,float64,cpu,0.00028243500128155574,1.629996404517442e-07,0.032630401001370046,0.002130619999661576,0.006706043001031503,0.16887164199943072,0.5965882150012476,2.310007403139025e-07,0.8072097500044038
9,apple,300,1200,float64,cpu,0.0004304959984438028,9.500217856839299e-08,0.020226789001753787,0.0019050119990424719,0.0036671220004791394,0.17460107199804042,0.584505843999068,2.4600012693554163e-07,0.7853366759991331
