run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total
0,apple,300,1200,float64,cpu,0.00019148000001223409,1.1700012692017481e-07,0.01806869399979405,0.001797923999674822,0.0035448980002001917,0.12426280099998621,0.3386037810000744,1.8199989426648244e-07,0.4864698769997631
1,apple,300,1200,float64,cpu,0.0002120159997502924,1.7299998944508843e-07,0.018181450000156474,0.002120512999681523,0.0036258730001463846,0.12387822799973947,0.33664734400008456,4.900002750218846e-07,0.48466608699982316
2,apple,300,1200,float64,cpu,0.0002015230002143653,1.2999998943996616e-07,0.019514275999881647,0.0017763459995876474,0.0033693349996610777,0.12317586799963465,0.32854211200037753,1.6800004232209176e-07,0.4765797579993887
3,apple,300,1200,float64,cpu,0.00020274500002415152,1.0500025382498279e-07,0.020547680000163382,0.0017660429998613836,0.003814795999915077,0.12284120899994377,0.34878466999998636,1.7299998944508843e-07,0.4979574210001374
4,apple,300,1200,float64,cpu,0.00020199600021442166,9.800032785278745e-08,0.018220951000330388,0.0016894000000320375,0.0033109999999396678,0.1250416679999944,0.3184255349997329,1.5099976735655218e-07,0.46689079900033903
5,apple,300,1200,float64,cpu,0.0001906710003822809,1.0299982022843324e-07,0.022739705000276444,0.0017637000000831904,0.003222107000055985,0.1233514139998988,0.3285542989997339,1.8199989426648244e-07,0.47982218100014506
6,apple,300,1200,float64,cpu,0.00018766800030789454,1.0100029612658545e-07,0.018313928000225133,0.0016911050001908734,0.003290237999863166,0.12336633399991115,0.3089237280000816,1.520002115285024e-07,0.4557732540010875
7,apple,300,1200,float64,cpu,0.00019476399984341697,1.0300027497578412e-07,0.021951341000203684,0.0017857339998954558,0.0039672769999015145,0.12255054500019469,0.32805316699977993,1.0899975677602924e-07,0.47850303999985044
8,apple,300,1200,float64,cpu,0.00019687599979079096,9.499990483163856e-08,0.018864897999719688,0.0019078790001003654,0.003372151000348822,0.1230521120000958,0.3384004389999973,2.9100010578986257e-07,0.48579474100006337
9,apple,300,1200,float64,cpu,0.00021252899978208006,1.2700002116616815e-07,0.025365462000081607,0.002401622999968822,0.004256114999861893,0.12331007400007366,0.3099232290001055,2.1500000002561137e-07,0.46546937399989474
