run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total
0,vase,300,1200,float64,cpu,0.00022623299810220487,1.1600059224292636e-07,0.019221060996642336,0.0042741450015455484,0.0036324969987617806,0.1670608069980517,0.5856578769999032,2.3400207282975316e-07,0.7800729699956719
1,vase,300,1200,float64,cpu,0.000240633002249524,1.2499731383286417e-07,0.020608266000635922,0.004374757998448331,0.004396529999212362,0.16753755200261367,0.5859347710029397,6.080008461140096e-07,0.7830932430042594
2,vase,300,1200,float64,cpu,0.0002465659999870695,9.999712347052991e-08,0.02077045499754604,0.004914690001896815,0.003836887000943534,0.16705687600187957,0.5950745659974928,2.630004019010812e-07,0.7919004029972712
3,vase,300,1200,float64,cpu,0.00022867200095788576,1.1700103641487658e-07,0.019765804001508513,0.004465611000341596,0.0038664599996991456,0.16643800200108672,0.5903015379990393,2.66998540610075e-07,0.7850664710022102
4,vase,300,1200,float64,cpu,0.00023887300267233513,1.0300209396518767e-07,0.022013993002474308,0.005253312996501336,0.004297842999221757,0.173988503000146,0.5814485179980693,2.0600054995156825e-07,0.787241352001729
5,vase,300,1200,float64,cpu,0.00023603500085300766,9.100040188059211e-08,0.019414975999097805,0.0042290370001865085,0.003659931000584038,0.16459980299987365,0.5775802379976085,2.1600135369226336e-07,0.7697203269999591
6,vase,300,1200,float64,cpu,0.00024620600015623495,1.0100120562128723e-07,0.019174192002537893,0.004296352999517694,0.003795747998083243,0.17024082499847282,0.5779628439995577,2.679989847820252e-07,0.775716536998516
7,vase,300,1200,float64,cpu,0.00023081399922375567,1.180014805868268e-07,0.01977316000193241,0.004486802001338219,0.0040342159991269,0.17315883899937035,0.6191317670018179,2.2400126908905804e-07,0.8208159400055592
8,vase,300,1200,float64,cpu,0.0003269260014349129,1.9999788491986692e-07,0.031055657000251813,0.006863106998935109,0.005997050997393671,0.22274807700159727,0.6851394020013686,2.66998540610075e-07,0.9521306869974069
9,vase,300,1200,float64,cpu,0.000281702999927802,1.9200160750187933e-07,0.03227818700179341,0.00641566500053159,0.005544116000237409,0.22491010500016273,0.7298286089971953,2.4299879441969097e-07,0.9992588200002501
0,vase,300,1200,float32,cpu,0.0002742969991231803,1.990010787267238e-07,0.0280895040014002,0.009197608997055795,0.005303293000906706,0.1071106730014435,0.4365673530010099,2.710003172978759e-07,0.5865431990023353
1,vase,300,1200,float32,cpu,0.00022281899873632938,1.2300006346777081e-07,0.019891792002454167,0.004391790000227047,0.0035681670015037525,0.08253102999879047,0.323975221002911,3.300010575912893e-07,0.4345812720057438
2,vase,300,1200,float32,cpu,0.00023181200231192634,9.699942893348634e-08,0.021995814000547398,0.004358202000730671,0.0033821379984146915,0.08279215500078863,0.3318617559998529,2.0899824448861182e-07,0.44462218300031964
3,vase,300,1200,float32,cpu,0.00022677200104226358,9.100040188059211e-08,0.019170899999153335,0.004319730000133859,0.0036066059983568266,0.08872274000168545,0.3115661599986197,1.9200160750187933e-07,0.4276131910010008
4,vase,300,1200,float32,cpu,0.00024409099933109246,3.9700171328149736e-07,0.019429222000326263,0.007506206999096321,0.00381294699764112,0.09121789400160196,0.3200550719993771,2.2299718693830073e-07,0.4422660529962741
5,vase,300,1200,float32,cpu,0.00022645699937129393,9.49985405895859e-08,0.01911668100001407,0.0042664440006774385,0.0033819929994933773,0.0821472610005003,0.3199606229973142,2.079978003166616e-07,0.4290997619937116
6,vase,300,1200,float32,cpu,0.00022560800061910413,1.039989001583308e-07,0.019321616000524955,0.004306897997594206,0.0033871269988594577,0.0844026960003248,0.3066815059974033,2.0999868866056204e-07,0.41832576499291463
7,vase,300,1200,float32,cpu,0.0002292480021424126,4.6800050768069923e-07,0.01942305200282135,0.004418995999003528,0.003585233000194421,0.08313163699858706,0.3117778800005908,2.0299921743571758e-07,0.4225667170030647
8,vase,300,1200,float32,cpu,0.00024746199778746814,1.6500052879564464e-07,0.025825196000369033,0.007523863001551945,0.003618975002609659,0.08347220600262517,0.318425526998908,4.6899731387384236e-07,0.43911386300169397
9,vase,300,1200,float32,cpu,0.00023575799787067808,1.2899909052066505e-07,0.020099540997762233,0.004908261998934904,0.003387644999747863,0.09022888799881912,0.32620005500211846,1.8900027498602867e-07,0.44506046699461876
0,vase,625,2500,float64,cpu,0.0003066749995923601,2.2999665816314518e-07,0.022909915998752695,0.00563518600029056,0.005837797001731815,0.8095624679990578,3.11462961199868,1.900007191579789e-07,3.9588820739954826
1,vase,625,2500,float64,cpu,0.00020086900258320384,1.0299845598638058e-07,0.019729668001673417,0.004868194999289699,0.010277758003212512,0.7150894750011503,2.6637092140008463,2.1600135369226336e-07,3.413875498008565
2,vase,625,2500,float64,cpu,0.00023312100165640004,1.1700103641487658e-07,0.01973289500165265,0.007369276998360874,0.007514216998970369,0.710374974001752,2.6711132540003746,2.3800021153874695e-07,3.416338093004015
3,vase,625,2500,float64,cpu,0.000208917997952085,1.0699659469537437e-07,0.024504725999577204,0.004871141998592066,0.005303745001583593,0.7310804050030129,3.0868107689966564,2.359993231948465e-07,3.852780047993292
4,vase,625,2500,float64,cpu,0.00028108200058341026,1.629996404517442e-07,0.033612667000852525,0.0077509410002676304,0.008662513002491323,0.7893082129994582,2.70387244900121,2.2400126908905804e-07,3.5434882520057727
5,vase,625,2500,float64,cpu,0.00022295600138022564,1.1899828677996993e-07,0.020535949999612058,0.004743724999570986,0.005330322997906478,0.7192886239972722,2.7098062219993153,2.2899985197000206e-07,3.459928147993196
6,vase,625,2500,float64,cpu,0.00023546000011265278,1.1600059224292636e-07,0.023824587999115465,0.004754792000312591,0.0057267789998149965,0.7668776610007626,2.8351480979981716,2.5700137484818697e-07,3.636567751000257
7,vase,625,2500,float64,cpu,0.0002623670006869361,1.949993020389229e-07,0.037163091998081654,0.006953045001864666,0.010443953997310018,0.9469137339983718,2.8655614199997217,2.3200118448585272e-07,3.8672980389965232
8,vase,625,2500,float64,cpu,0.00023916700229165144,1.0700023267418146e-07,0.019890446001227247,0.004685296000388917,0.005395322001277236,0.728530211999896,2.675307987999986,2.399974619038403e-07,3.4340487780027615
9,vase,625,2500,float64,cpu,0.00022847500076750293,1.1399970389902592e-07,0.01998881800318486,0.004962114999216283,0.01011989799735602,0.7375681689991325,2.663549000000785,2.1199957700446248e-07,3.436416800999723
0,vase,625,2500,float32,cpu,0.00022871499822940677,1.1600059224292636e-07,0.023607338000147138,0.004493550000916002,0.004875129998254124,0.35823406300187344,1.347153561997402,2.630004019010812e-07,1.7385927369978162
1,vase,625,2500,float32,cpu,0.0002295099984621629,1.9400249584577978e-07,0.022920460000023013,0.005677380999259185,0.004856601997744292,0.368544049000775,1.3410205079999287,2.4700057110749185e-07,1.7432489509992593
2,vase,625,2500,float32,cpu,0.000235448002058547,9.599898476153612e-08,0.023016408002149547,0.004728711999632651,0.005024935002438724,0.3700621460011462,1.3460497749983915,2.1199957700446248e-07,1.749117732004379
3,vase,625,2500,float32,cpu,0.00023189599960460328,1.0700023267418146e-07,0.024890225002309307,0.005271606998576317,0.005297003001032863,0.3597414559990284,1.3640635930023564,3.2399839255958796e-07,1.759496211001533
4,vase,625,2500,float32,cpu,0.00023138299729907885,9.49985405895859e-08,0.023969558998942375,0.004766789999848697,0.005096201999549521,0.35616189599750214,1.6196583160017326,2.5700137484818697e-07,2.00988449799479
5,vase,625,2500,float32,cpu,0.0003001730001415126,1.7500133253633976e-07,0.03446306600017124,0.006531600000016624,0.007702647999394685,0.45989763799661887,1.5810412190003262,1.8799983081407845e-07,2.0899367069978325
6,vase,625,2500,float32,cpu,0.0002395979972789064,1.0299845598638058e-07,0.023729830998490797,0.004655797998566413,0.004913126002065837,0.3651761369983433,1.3473685249991831,2.130000211764127e-07,1.7460833309924055
7,vase,625,2500,float32,cpu,0.00022771599833504297,1.9100116332992911e-07,0.02310058500006562,0.0046470989982481115,0.004741361997730564,0.3587795079984062,1.3406576730012603,2.0699735614471138e-07,1.7321543409925653
8,vase,625,2500,float32,cpu,0.00023893600155133754,1.0700023267418146e-07,0.02512289399965084,0.004865470000368077,0.004981463000149233,0.3573690989978786,1.3393897860005382,3.1099989428184927e-07,1.7319680660002632
9,vase,625,2500,float32,cpu,0.00022193699987838045,1.1500014807097614e-07,0.022858491000079084,0.004547577002085745,0.0046995230004540645,0.35448498600089806,1.3398765149977407,1.9999788491986692e-07,1.726689343999169
0,vase,1250,5000,float64,cpu,0.00022587999774259515,1.0700023267418146e-07,0.02086234600210446,0.005285725001158426,0.008213726003305055,2.8486364950003917,10.966715471997304,2.0500010577961802e-07,13.849939956002345
1,vase,1250,5000,float64,cpu,0.00023284200142370537,1.1300289770588279e-07,0.02181586899678223,0.005363273001421476,0.011255894001806155,2.814734004001366,11.038657533998048,4.249995981808752e-07,13.892059954003344
2,vase,1250,5000,float64,cpu,0.00022663200070383027,1.0499934433028102e-07,0.02098363299955963,0.005577937998168636,0.008602268997492502,2.807634116998088,11.133257803998276,1.849984982982278e-07,13.976282682990131
3,vase,1250,5000,float64,cpu,0.0002492239982530009,1.2499731383286417e-07,0.022077513000112958,0.005355479999707313,0.008007972999621416,2.916405980999116,11.065294608997647,2.6000270736403763e-07,14.017391164994478
