run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total
0,vase,300,1200,float64,cpu,0.0002103710003211745,1.1200017979717813e-07,0.018428241000037815,0.004271600999800285,0.003444342999955552,0.12325725399978182,0.31697965600005773,2.070000846288167e-07,0.4665917850002188
1,vase,300,1200,float64,cpu,0.00021013500008848496,1.5300020095310174e-07,0.018311213000288262,0.0041636700002527505,0.0032085870002447336,0.12471675599999799,0.3293058909998763,4.599996827892028e-07,0.47991686500063224
2,vase,300,1200,float64,cpu,0.00020234400017216103,8.799997885944322e-08,0.019840263999867602,0.004250980000051641,0.003445495000050869,0.12472778499977721,0.33049044900008084,1.520002115285024e-07,0.4829575570001907
3,vase,300,1200,float64,cpu,0.00020543799973893329,1.049997990776319e-07,0.018225221999728092,0.004246702000273217,0.003251682999689365,0.12997343400002137,0.34958490600001824,4.64000095234951e-07,0.5054879539993635
4,vase,300,1200,float64,cpu,0.00020056099992871168,1.049997990776319e-07,0.02337952799962295,0.005186921000131406,0.0036890540000058536,0.12429091999956654,0.3324590229999558,1.919997885124758e-07,0.48920630399879883
5,vase,300,1200,float64,cpu,0.0002103770002577221,1.1000020094797947e-07,0.02076476799993543,0.004188718000023073,0.0032838320003065746,0.12358130999973582,0.33190596200029177,2.0600009520421736e-07,0.48393528300084654
6,vase,300,1200,float64,cpu,0.0001965639999070845,1.0399980965303257e-07,0.018493232999844622,0.0041849019999062875,0.003261906999796338,0.12225570199962021,0.3257794749997629,1.7700040189083666e-07,0.474172063999049
7,vase,300,1200,float64,cpu,0.00019626299990704865,8.699998943484388e-08,0.022518784000112646,0.004207073000088712,0.003695017000154621,0.12255714799994166,0.33535316799998327,1.7100001059588976e-07,0.488527711000188
8,vase,300,1200,float64,cpu,0.0001978330001293216,9.199993655784056e-08,0.018739142999947944,0.00431127199999537,0.003332881999995152,0.12406232399962391,0.3179638960000375,1.5799969332874753e-07,0.4686075999993591
9,vase,300,1200,float64,cpu,0.00020222600005581626,9.59998942562379e-08,0.022936042999845085,0.004226404999826627,0.0036132290001660294,0.12481192799987184,0.3374084860001858,1.8300033843843266e-07,0.4931985960001839
0,vase,300,1200,float32,cpu,0.0001801379999051278,1.1299971447442658e-07,0.018667222000203765,0.004173672999968403,0.0030034000001251115,0.06182599199973993,0.16795170800014603,1.6800004232209176e-07,0.25580241399984516
1,vase,300,1200,float32,cpu,0.00022212699968804372,1.0699977792683057e-07,0.018556740999883914,0.004691063999871403,0.0031001749998722516,0.06192346300031204,0.1704176949997418,2.0200013750582002e-07,0.2589115739992849
2,vase,300,1200,float32,cpu,0.00019352499975866522,1.049997990776319e-07,0.018258081000112725,0.004188742999758688,0.0035044339997511997,0.06109473500009699,0.1688997839996773,1.84000327863032e-07,0.2561395909992825
3,vase,300,1200,float32,cpu,0.00020092499971724465,8.999995770864189e-08,0.019061768000028678,0.004188469000382611,0.0030643929999314423,0.06213969999998881,0.17485382999984722,1.2099962987122126e-07,0.2635092959994836
4,vase,300,1200,float32,cpu,0.00021537399970839033,1.1000020094797947e-07,0.019478153000363818,0.004150444000060816,0.0030271119999270013,0.06335370399983731,0.1726242340000681,1.8699984138947912e-07,0.26284931800000777
