run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_mem_mb
0,apple,300,1200,float64,cuda,0.00016005999998469633,0.0001791690000345625,0.04468477399996118,0.003311703999997917,0.005028633000051741,0.0022569649999013564,0.026753967999979977,0.23537932900001124,0.31775460199992267,515.02392578125
1,apple,300,1200,float64,cuda,0.00014399700000922167,0.0001954570000179956,0.047426167000026,0.0033071909999762283,0.004687276000026941,0.0019660789999988992,0.02673822300005213,0.24347985600002175,0.32794424600012917,515.02392578125
2,apple,300,1200,float64,cuda,0.0001556800000344083,0.00018430000000080327,0.04995973999996295,0.00339266100002078,0.004767028000060236,0.0023893100000123013,0.026839999000003445,0.24622023899996748,0.3339089570000624,515.02392578125
3,apple,300,1200,float64,cuda,0.00018102000001363194,0.00018583500002478104,0.04483361299992339,0.0038452960000086023,0.0046613389999947685,0.0023131000000375934,0.026785498999970514,0.2329959040000631,0.3158016060000364,515.02392578125
4,apple,300,1200,float64,cuda,0.00016425199999048345,0.00020036399996570253,0.04470207300005313,0.0032650269999976445,0.004483508000021175,0.0022211990000187143,0.026746223000031932,0.23155795899992881,0.3133406050000076,515.02392578125
5,apple,300,1200,float64,cuda,0.00016169099990293034,0.00023580799995670532,0.04684237200001462,0.003228427000067313,0.00465010400000665,0.0023273390000895233,0.026793981999958305,0.24333122199993795,0.327570944999934,515.02392578125
6,apple,300,1200,float64,cuda,0.00017614399996546126,0.00019588899999689602,0.04514855700006137,0.0031917030000840896,0.004656015000023217,0.0021817099999452694,0.0267357999999831,0.23859955800003263,0.32088537600009204,515.02392578125
7,apple,300,1200,float64,cuda,0.0001498750000337168,0.00018492399999558984,0.04576146900001277,0.003303261000041857,0.004575364999936937,0.002308590999973603,0.026744691000089915,0.23020810399998481,0.3132362800000692,515.02392578125
8,apple,300,1200,float64,cuda,0.0001482999999780077,0.0002034859999184846,0.04495616199994856,0.0030351239998935853,0.004401183000027231,0.002116182999998273,0.026718806999951994,0.23861405399998148,0.3201932989996976,515.02392578125
9,apple,300,1200,float64,cuda,0.00014033500008281408,0.00021692999996503204,0.04466859399997247,0.0031529359999922235,0.004510041999992609,0.0018701140000985106,0.026698242000065875,0.2302096050000273,0.31146679800019683,515.02392578125
0,apple,300,1200,float32,cuda,0.00014315699991129804,0.00014571299993804132,0.04863995100004104,0.0059440139999651365,0.005815214999984164,0.0010301819999085637,0.013358157999959985,0.12229740399993716,0.19737379399964539,262.55517578125
1,apple,300,1200,float32,cuda,0.00012250999998286716,0.00015525300000263087,0.0463868919999868,0.003643690999979299,0.004925401999912538,0.0012870030000158295,0.013354375999938384,0.12392204100001436,0.1937971679998327,262.55517578125
2,apple,300,1200,float32,cuda,0.00010863700003937993,0.00015303800000765477,0.049639955000088776,0.0033193340000252647,0.004763877999948818,0.001262335999967945,0.01328147199990326,0.12124459199992543,0.19377324199990653,262.55517578125
3,apple,300,1200,float32,cuda,0.0001022600000624152,0.00019522200000210432,0.054548920000002,0.005673784999999043,0.008087694999971973,0.0016813120000733761,0.013728353000033167,0.12118461899990507,0.20520216600004915,262.55517578125
4,apple,300,1200,float32,cuda,0.00010802200006310159,0.0001676020000331846,0.05234598799995638,0.0033490439999468435,0.004688992000069447,0.0013787259999844537,0.013337352999997165,0.12300408800001605,0.19837981500006663,262.55517578125
5,apple,300,1200,float32,cuda,0.0001063899999280693,0.00015483399999993708,0.05114427900002738,0.003468885999950544,0.004869873999950869,0.0013159800000721589,0.013416232999929889,0.12082332900001802,0.19529980499987687,262.55517578125
6,apple,300,1200,float32,cuda,0.0001241400000253634,0.00015388299993901455,0.05414048099999036,0.003470107999987704,0.004695417999982965,0.0014028969999344554,0.013435503999971843,0.13152138800001012,0.20894381899984182,262.55517578125
7,apple,300,1200,float32,cuda,0.00013930500006154034,0.00016742999991947727,0.048741081999992275,0.0037220369999886316,0.004875066000067818,0.0013412099999641214,0.01338480200001868,0.12094486600005894,0.19331579800007148,262.55517578125
8,apple,300,1200,float32,cuda,0.00010202199996456329,0.0001530490000050122,0.051096812999958274,0.005874858999959542,0.008067730999982814,0.0016906070000004547,0.01389950400005091,0.11720411999999669,0.19808870499991826,262.55517578125
9,apple,300,1200,float32,cuda,0.00010109199990893103,0.00014067400002204522,0.04516145700006291,0.003425086999982341,0.004359267999916483,0.0013650319999669591,0.013403899999957503,0.11664705499993033,0.1846035649997475,262.55517578125
0,apple,625,2500,float64,cuda,0.00021278899998833367,0.0001959200000101191,0.044847562999962065,0.0031368370000564028,0.005820687999971597,0.006743905000007544,0.10711606799998208,1.0129320590000361,1.1810058290000143,2205.9833984375
1,apple,625,2500,float64,cuda,0.00017023800000970368,0.00017688000002635818,0.045493684000007306,0.003114814000014121,0.005623573000093529,0.006739306000099532,0.10703970700001264,1.0197615680000354,1.1881197700002986,2205.9833984375
2,apple,625,2500,float64,cuda,0.0001618750000034197,0.00018626500002483226,0.04842605499993624,0.0031970350000847247,0.006056564999994407,0.006719447000023138,0.10710425799993573,1.240112894000049,1.4119643940000515,2205.9833984375
3,apple,625,2500,float64,cuda,0.00024107400008688273,0.00023026899998512818,0.06614681600001404,0.005453487999943718,0.009378174999937983,0.006786450000049626,0.10728543300001547,1.2611444069999607,1.4566661119999935,2205.9833984375
4,apple,625,2500,float64,cuda,0.00024068199991233996,0.0002184639999995852,0.04831752999996297,0.003438936000065951,0.0062461200000143435,0.006824537000056807,0.10723213699998269,1.075317072999951,1.2478354789999457,2205.9833984375
5,apple,625,2500,float64,cuda,0.00019329300005210825,0.00018904700004895858,0.048883735999993405,0.0036149589999467935,0.006062720000045374,0.00675558499995077,0.10725768200006769,1.0643642520000185,1.2373212740001236,2205.9833984375
6,apple,625,2500,float64,cuda,0.00016465700002754602,0.0001876450000963814,0.04463139400002092,0.003418698999894332,0.005687867999995433,0.006702743999994709,0.10692161599990868,1.016088792000005,1.183803414999943,2205.9833984375
7,apple,625,2500,float64,cuda,0.00017494899998382607,0.0002153679999992164,0.04411022100009632,0.0031506190000527567,0.0050869850000481165,0.0067698249999921245,0.10704009599999154,1.004963588999999,1.171511652000163,2205.9833984375
8,apple,625,2500,float64,cuda,0.0001965110000128334,0.0002508169999373422,0.04982936299995799,0.003023399000085192,0.005486817000019073,0.006701719000034245,0.10696850500005439,1.0059555840000485,1.1784127150001495,2205.9833984375
9,apple,625,2500,float64,cuda,0.0001500289999967208,0.0002513690000114366,0.04503930499993203,0.003545603000020492,0.005628198000067641,0.006776588000093398,0.10694262599997728,1.0329995240000471,1.2013332420001461,2205.9833984375
0,apple,625,2500,float32,cuda,0.00016763199994329625,0.00017464500001551642,0.04655648599998585,0.003271478999977262,0.004746564000015496,0.00432642400005534,0.05361565500004417,0.5159057859999621,0.628764670999999,1107.22216796875
1,apple,625,2500,float32,cuda,0.00015518499992595025,0.00018683999996937928,0.04557276999992155,0.0038307439999698545,0.004620188999979291,0.00421011899993573,0.05406466499994167,0.5119152439999652,0.6245557559996087,1107.22216796875
2,apple,625,2500,float32,cuda,0.00016272499999558931,0.00018514699991101224,0.04607095500000469,0.003094687999919188,0.004584801999953925,0.0042411529999526465,0.0536993910000092,0.5049863159999859,0.6170251769997321,1107.22216796875
3,apple,625,2500,float32,cuda,0.0001554600000872597,0.00017962499998702697,0.06358396899997842,0.0031382759999587506,0.004790910999986409,0.0043388269999695694,0.053768431999969835,0.5159563199999866,0.6459118199999239,1107.22216796875
4,apple,625,2500,float32,cuda,0.00016063199996096955,0.000204389000032279,0.04436744500003442,0.0030560559999912584,0.00484713500009093,0.0038458720000562607,0.05376979699997264,0.5195600060000061,0.6298113320001448,1107.22216796875
5,apple,625,2500,float32,cuda,0.00014780699996208568,0.00017732699996031442,0.04727104000005511,0.00313605999997435,0.004597592999971312,0.004211781000094561,0.05322840700000597,0.5110398960000566,0.6238099110000803,1107.22216796875
6,apple,625,2500,float32,cuda,0.00015632600002390973,0.00018229300007988058,0.04477617499992448,0.0031419030000279236,0.004715533999956278,0.0042162419999840495,0.05353331399999206,0.5169404800000166,0.6276622670000052,1107.22216796875
7,apple,625,2500,float32,cuda,0.00014762000000700937,0.00020393099998727848,0.04398374299989882,0.004406398000014633,0.005430154000009679,0.0041701119999970615,0.05374992600002315,0.5086315769999601,0.6207234609998977,1107.22216796875
8,apple,625,2500,float32,cuda,0.0001455200000464174,0.00017073799995159789,0.044598151999935,0.0030540379999592915,0.005894480000051772,0.004079843999988952,0.053733496999939234,0.5183638450000672,0.6300401139999394,1107.22216796875
9,apple,625,2500,float32,cuda,0.00016196199999285454,0.00019030300006761536,0.04540751199999704,0.0032049520000327902,0.004595655000002807,0.004291588999990381,0.05392815899995185,0.5233119739999665,0.6350921060000019,1107.22216796875
0,apple,1250,5000,float64,cuda,0.00023711599999387545,0.00022963100002471037,0.051634846000069956,0.003924212000015359,0.0054066879999936646,0.030864975999975286,0.5432894220000435,4.115738542000031,4.751325433000147,8788.27197265625
