run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_mem_mb
0,apple,300,1200,float64,cuda,0.00020402199970703805,0.0002718960004131077,0.04415616599999339,0.0030521839998982614,0.005808369000078528,0.0011097560000052908,0.012169532000370964,0.29822685299950535,0.36499877799997194,515.02392578125
1,apple,300,1200,float64,cuda,0.0001713860001473222,0.0002408700001979014,0.04534709500057943,0.003104109000560129,0.004872618999797851,0.0010987369996655616,0.012118801999349671,0.30389755299984245,0.3708511710001403,515.02392578125
2,apple,300,1200,float64,cuda,0.00019042199983232422,0.00023354099994321587,0.04632724700059043,0.0030393240003832034,0.004653455000152462,0.001109884000470629,0.012163420000433689,0.30159470299986424,0.3693119960016702,515.02392578125
3,apple,300,1200,float64,cuda,0.0001650869999139104,0.00022818300021754112,0.04481199000019842,0.0038259309994828072,0.004768258000694914,0.0012361589997453848,0.012298988999646099,0.29915254499974253,0.3664871419996416,515.02392578125
4,apple,300,1200,float64,cuda,0.0002205259997936082,0.00021208199996181065,0.046638712999993004,0.0031206419998852652,0.004797172999133181,0.001156727999841678,0.01234946300064621,0.3023263439999937,0.37082167099924845,515.02392578125
5,apple,300,1200,float64,cuda,0.00016596800014667679,0.00021026000013080193,0.044475788000454486,0.0032893269999476615,0.004800521000106528,0.0011295200001768535,0.01220826099961414,0.29770873300003586,0.363988378000613,515.02392578125
6,apple,300,1200,float64,cuda,0.0001655549995120964,0.00020906300051137805,0.04582650199972704,0.003264504999606288,0.004681026000071142,0.001055173000167997,0.01207432799947128,0.29864539699974557,0.3659215489988128,515.02392578125
7,apple,300,1200,float64,cuda,0.00015809399974386906,0.00019638499998109182,0.04565633299989713,0.003542679999554821,0.004752821000693075,0.0011055730001316988,0.012215890999868861,0.29794947099981073,0.3655772479996813,515.02392578125
8,apple,300,1200,float64,cuda,0.0001879110004665563,0.00020700000004580943,0.04754601399963576,0.0030686800000694348,0.004938005999974848,0.0010574280004220782,0.01203346700003749,0.3025593230004233,0.3715978290010753,515.02392578125
9,apple,300,1200,float64,cuda,0.00015985600020940183,0.00023648800015507732,0.04449251300047763,0.0035222079995946842,0.00462284599962004,0.0010973950002153288,0.011986311000327987,0.30035658399992826,0.3664742010005284,515.02392578125
0,apple,300,1200,float32,cuda,0.00013442999988910742,0.0001617719999558176,0.043655684999976074,0.0030072899999140645,0.004558760000691109,0.0007517329995607724,0.007215824999548204,0.14965175999986968,0.20913725499940483,262.55517578125
1,apple,300,1200,float32,cuda,0.00017405499966116622,0.00015956300012476277,0.04516007099937269,0.0030042429998502485,0.004456743999980972,0.000738376999834145,0.00723662600012176,0.1598743659997126,0.22080404499865836,262.55517578125
2,apple,300,1200,float32,cuda,0.00015165300010266947,0.00019683500067912973,0.048001765000663,0.0030114949995549978,0.004642644000341534,0.0007158400003390852,0.008097087999885844,0.14899559300010878,0.21381291300167504,262.55517578125
3,apple,300,1200,float32,cuda,0.0001285560001633712,0.00018856400038202992,0.044513210999866715,0.0030576419994758908,0.004745840000396129,0.0008084580003924202,0.007243740999911097,0.1506419970000934,0.21132800900068105,262.55517578125
4,apple,300,1200,float32,cuda,0.00011587600056373049,0.00015314899974328,0.04434319199935999,0.003027033000762458,0.0046391249998123385,0.0009041690000231029,0.007231327999761561,0.1481522429994584,0.20856611499948485,262.55517578125
5,apple,300,1200,float32,cuda,0.00015061799967952538,0.000154139999722247,0.044072048000089126,0.003016415000274719,0.004503287999796157,0.000701892000506632,0.00720009700035007,0.14872052200007602,0.2085190200004945,262.55517578125
6,apple,300,1200,float32,cuda,0.00012291999973967904,0.0001793669998733094,0.044548697999744036,0.0030918029997337726,0.004762323999784712,0.00076322600034473,0.007193614000243542,0.15037787599976582,0.2110398279992296,262.55517578125
