run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_mem_mb
0,banana,300,1200,float64,cuda,0.00011997100000371574,0.00017828700003974518,0.03439899600004992,0.008254775999944286,0.004634724000084134,0.001651129000038054,0.021995992999904956,0.18496051800002533,0.25619439400009014,404.85009765625
1,banana,300,1200,float64,cuda,0.00010585600000467821,0.00014432000000397238,0.034774543000025915,0.00815348499997981,0.004474565999998958,0.0015329850000398437,0.022046100000011393,0.18939493300001686,0.26062678800008143,404.85009765625
2,banana,300,1200,float64,cuda,0.00012772200000199518,0.00016473899995617103,0.03677227900004709,0.00823354199997084,0.004468520999921566,0.0015903769999567885,0.022029800000041178,0.19701264599996193,0.27039962599985756,404.85009765625
3,banana,300,1200,float64,cuda,0.0001391900000271562,0.0001583900000241556,0.03445174399996631,0.008157077999953799,0.005052720999970006,0.0015723429999070504,0.021977473999982067,0.19107797200001642,0.26258691199984696,404.85009765625
4,banana,300,1200,float64,cuda,0.00011946500001158711,0.00015197300001545955,0.03442231600001833,0.008141559999899073,0.004679457999941405,0.0015570839999554664,0.02201670700003433,0.18517251100001886,0.2562610739998945,404.85009765625
5,banana,300,1200,float64,cuda,0.00014511500000935484,0.0001691299999038165,0.038501742999983435,0.008508764999987761,0.004518059000020003,0.0015975250000792585,0.021985887000028015,0.18481436499996562,0.26024058899997726,404.85009765625
6,banana,300,1200,float64,cuda,0.00011550299996088143,0.00016003000007458468,0.03469277600004261,0.008066164999945613,0.004586290000020199,0.0015870940000013434,0.022085625000045184,0.19299434700008078,0.2642878300001712,404.85009765625
7,banana,300,1200,float64,cuda,0.00013245000002370944,0.00016345900007763703,0.035227750999979435,0.008325302000002921,0.004843816999937189,0.0015283959999123908,0.02216260299996975,0.18716602200004218,0.2595497999999452,404.85009765625
8,banana,300,1200,float64,cuda,0.0001101459999972576,0.00014420699994843744,0.036088992000031794,0.008214611999960653,0.004554595000058725,0.0015483209999729297,0.02207397500001207,0.18334027999992486,0.2560751279999067,404.85009765625
9,banana,300,1200,float64,cuda,0.0001138029999765422,0.0001441120000436058,0.03623458699996718,0.008383933000004617,0.004474415999993653,0.001631962000033127,0.02222687199991924,0.1874830709999742,0.26069275599991215,404.85009765625
0,banana,300,1200,float32,cuda,0.00010147499995127873,0.00013300900002377603,0.035140931999990244,0.010084303999974509,0.004923185000052399,0.0009417779999694176,0.011221485999953984,0.09438157199997477,0.15692774099989037,208.46435546875
1,banana,300,1200,float32,cuda,0.00012377600000945677,0.0001447859999643697,0.03786794200004806,0.00846813500004373,0.004557169999998223,0.0011812569999847256,0.011174092000032942,0.09506286099997396,0.15858001900005547,208.46435546875
2,banana,300,1200,float32,cuda,9.585999998762418e-05,0.000158389000034731,0.035504048999996485,0.01075101700007508,0.006906523999987257,0.0008740290001014728,0.011420214999930067,0.09354897700006859,0.1592590600001813,208.46435546875
3,banana,300,1200,float32,cuda,0.0001770739999074067,0.00024030200006563973,0.05879391700000269,0.013959186999954909,0.0073695279999128616,0.0009834239999690908,0.011401510999917264,0.10127774600005068,0.19420268899978055,208.46435546875
4,banana,300,1200,float32,cuda,0.00011406800001623196,0.000152412000034019,0.035958396000069115,0.008145517000002656,0.0043614310000066325,0.000882488000002013,0.011208747000068797,0.09781968000004326,0.15864273900024273,208.46435546875
5,banana,300,1200,float32,cuda,9.939899996425083e-05,0.00014156400004594616,0.03767307200007508,0.008782397999993918,0.004465067999944949,0.0008391860000074303,0.011199567999938154,0.0991558419999592,0.16235609699992892,208.46435546875
6,banana,300,1200,float32,cuda,0.00011907900000096561,0.00015496000003167865,0.04061367100007374,0.009859171000016431,0.004688140000098429,0.0008742689999508002,0.01121554099995592,0.0996550050000451,0.16717983600017305,208.46435546875
7,banana,300,1200,float32,cuda,0.0001162860000931687,0.00015671000005568203,0.039737432999913835,0.009330360000035398,0.00497654599996622,0.0011956879999388548,0.011163657999986754,0.10169126000005235,0.16836794100004226,208.46435546875
8,banana,300,1200,float32,cuda,0.00011292300007426093,0.00017728800003169454,0.03922751499999322,0.009004786999980752,0.004857506000007561,0.0011975580000580521,0.011169250999955693,0.09684001799996622,0.16258684600006745,208.46435546875
9,banana,300,1200,float32,cuda,0.00011905799999567535,0.0001857800000379939,0.05403830300008394,0.00907453299998906,0.00489156899993759,0.0012651680000317356,0.011183496000057858,0.09727215899999919,0.17803006600013305,208.46435546875
0,banana,625,2500,float64,cuda,0.00018229399995561835,0.0002162750000707092,0.03482309600008193,0.008254223999983878,0.005416421000063565,0.006819819000043026,0.08911062300001049,0.8287926379999817,0.9736153900001909,1727.9423828125
1,banana,625,2500,float64,cuda,0.00015721499994469923,0.00018851900006211508,0.034574064999901566,0.007920988000023499,0.005127950000087367,0.006790341999931115,0.08670168399999056,0.9903817179999805,1.1318424809999215,1727.9423828125
2,banana,625,2500,float64,cuda,0.0001917990000492864,0.000259447000075852,0.05026218299997254,0.01149724000003971,0.007328048999966086,0.005463505999955487,0.08859379000000445,1.027372463000006,1.1909684770000695,1727.9423828125
3,banana,625,2500,float64,cuda,0.00018431700004839513,0.00022280300004240416,0.05275452400007907,0.011139648000039415,0.006861308999987159,0.005548867000015889,0.08846806499991544,0.9069826900000635,1.0721622230001913,1727.9423828125
4,banana,625,2500,float64,cuda,0.0001564860000371482,0.0002787109999644599,0.035460932999967554,0.008118743999943945,0.005446757999948204,0.005443135999939841,0.08820220000006884,0.8186726220000082,0.9617795899998782,1727.9423828125
5,banana,625,2500,float64,cuda,0.00015295000002879533,0.00017064300004676625,0.03509162000000288,0.00837808699998277,0.005375426999989941,0.005485098000008293,0.08824877999995806,0.8163008719999425,0.95920347699996,1727.9423828125
6,banana,625,2500,float64,cuda,0.00015483499998936168,0.00017557699993631104,0.034421124000004966,0.008675692999986495,0.005457000999967931,0.005490868000038063,0.08815921399991566,0.8172527839999475,0.9597870959997863,1727.9423828125
7,banana,625,2500,float64,cuda,0.0001491479999913281,0.0001718560000654179,0.03519100799996977,0.008069224999985636,0.005466924000074869,0.005419169999981932,0.08810554199999387,0.8117440659999602,0.954316939000023,1727.9423828125
8,banana,625,2500,float64,cuda,0.00014703500005452952,0.00016931599998315505,0.0362190199999759,0.00837648700007776,0.005623423999963961,0.005456044999959886,0.08824059500000203,0.8153802839999571,0.9596122059999743,1727.9423828125
9,banana,625,2500,float64,cuda,0.00014977899991208687,0.0001854350000485283,0.03471979400001146,0.008108289000006152,0.005717450000020108,0.00543711299997085,0.08821642599991719,0.818477967999911,0.9610122539997974,1727.9423828125
0,banana,625,2500,float32,cuda,0.00015951000000313797,0.00017044200001237186,0.042120918000023266,0.00818521899998359,0.0047222250000231725,0.0034019419999822276,0.044297021000033965,0.4102765549999958,0.5133338320000576,869.5927734375
1,banana,625,2500,float32,cuda,0.00014424100004362117,0.00016778600001998711,0.05641479000007621,0.01445127500005583,0.007592789999989691,0.0033301910000318458,0.044793669999990016,0.529269662000047,0.6561644050002542,869.5927734375
2,banana,625,2500,float32,cuda,0.0001817080000137139,0.00024746199994751805,0.05205847000001995,0.012628963999986809,0.006635062999976071,0.003985370000009425,0.044570788999976685,0.5297477450000088,0.6500555709999389,869.5927734375
3,banana,625,2500,float32,cuda,0.00024233699991782487,0.00023603799991178676,0.050779992000002494,0.011927872000001116,0.006356930000038119,0.004092255000045952,0.04374960400002692,0.5307265760000064,0.6481116039999506,869.5927734375
4,banana,625,2500,float32,cuda,0.00020922799990330532,0.00023037999994812708,0.049918248000039966,0.015223028999912458,0.0058494090000067445,0.003420403000063743,0.04361863099995844,0.5063904050000474,0.6248597329998802,869.5927734375
5,banana,625,2500,float32,cuda,0.00016821100007291534,0.00019699899996794557,0.03516234300002452,0.008466658999964238,0.005038518000105796,0.003459394000060456,0.04359293099992101,0.4044653280000148,0.5005503830001317,869.5927734375
6,banana,625,2500,float32,cuda,0.0001427909999165422,0.0001762319999443207,0.035085209000044415,0.008977981000043656,0.008586205000028713,0.0036764060000678,0.04405286400003661,0.4147064539999974,0.5154041420000794,869.5927734375
7,banana,625,2500,float32,cuda,0.00014069600001676008,0.0002756819999376603,0.034890653999923416,0.008891063999953985,0.0043328570000085165,0.0033749670000133847,0.04380787800005237,0.40212234399996305,0.49783614199986914,869.5927734375
8,banana,625,2500,float32,cuda,0.00013698700001896214,0.00016189600000870996,0.034981215000016164,0.00832364799998686,0.004520944999967469,0.003506972999957725,0.043941033000010066,0.4199382289999676,0.5155109259999335,869.5927734375
9,banana,625,2500,float32,cuda,0.00021561000005476672,0.00018813799999861658,0.03470168899991677,0.008357957999919563,0.004589964000047075,0.003302912999970431,0.04390393399989989,0.4041630039999973,0.4994232099998044,869.5927734375
0,banana,1250,5000,float64,cuda,0.00021076799998809292,0.0002079569999295927,0.050928525000017544,0.008976856999993288,0.005975523999950383,0.02338822199999413,0.3683172600000262,3.7146183239999573,4.1726234369998565,6879.62548828125
1,banana,1250,5000,float64,cuda,0.00015996299998732866,0.00019550500007881055,0.03491917300004843,0.009529378999900473,0.009247471999970003,0.02419820800002981,0.3726168339999276,3.2614799870000297,3.712346520999972,6879.62548828125
2,banana,1250,5000,float64,cuda,0.0001651410000249598,0.00019618700002865808,0.034282867000001715,0.008739011000102437,0.005752353999923798,0.02372453200007385,0.37457173600000715,3.278103396000006,3.7255352240001685,6879.62548828125
3,banana,1250,5000,float64,cuda,0.00016013800006930978,0.00022362400000019989,0.03579133899995668,0.008411991999992097,0.005731486999934532,0.02361352299999453,0.37114039599998705,3.5933428140000387,4.038415312999973,6879.62548828125
4,banana,1250,5000,float64,cuda,0.0002171229999703428,0.00025121900000613095,0.05607755300002282,0.012680708000061713,0.007533229000046049,0.0233993440000404,0.3645290430000614,3.2981975409999222,3.762885760000131,6879.62548828125
5,banana,1250,5000,float64,cuda,0.00020328499999777705,0.00021380300006512698,0.03447846799997478,0.008174656000051073,0.005918459999975312,0.023935946999927182,0.37026690100003634,3.3327029309999716,3.775894450999999,6879.62548828125
6,banana,1250,5000,float64,cuda,0.0001621279999426406,0.00020272500000828586,0.038543598000046586,0.008357491999959166,0.00611823799999911,0.023728361000053155,0.3723234329999059,3.465721206000012,3.915157180999927,6879.62548828125
7,banana,1250,5000,float64,cuda,0.00019511300001795462,0.00022944800002733245,0.04832990099998824,0.01134210999998686,0.007472620000044117,0.024089620000040668,0.37074208399997133,3.448208142999988,3.9106090390000645,6879.62548828125
8,banana,1250,5000,float64,cuda,0.00018107299990788306,0.00019766299999446346,0.035648846999947637,0.008453101999975843,0.0058366780000369545,0.02360580200002005,0.3680791729999555,3.244972098000062,3.6869744359999004,6879.62548828125
9,banana,1250,5000,float64,cuda,0.0001570289999790475,0.00025945300001239957,0.03425969699992493,0.008019099000080132,0.005478272000004836,0.023700625999936165,0.37221278000004077,3.2714935650000143,3.7155805209999926,6879.62548828125
0,banana,1250,5000,float32,cuda,0.0001679250000279353,0.00023133900003813324,0.03802935199996682,0.008466814000030354,0.00582317900000362,0.012477142999955504,0.174441115000036,1.6309717389999605,1.8706086060000189,3444.63525390625
1,banana,1250,5000,float32,cuda,0.00018493100003524887,0.00020163200008482818,0.0351078950000101,0.008056916999976238,0.005607863000022917,0.012922144000071967,0.1750995069999135,1.7826724450000029,2.0198533340001177,3444.63525390625
2,banana,1250,5000,float32,cuda,0.00019500400003380491,0.00022262899994984764,0.04760205799993855,0.011482342000022072,0.007284492000053433,0.012342774999979156,0.17825775799997245,1.9956766179999477,2.253063675999897,3444.63525390625
3,banana,1250,5000,float32,cuda,0.00016431300002750504,0.00019383699998343218,0.04314102899991212,0.008591613000021425,0.00580164899997726,0.011875247999910243,0.1798095970000304,1.641703444999962,1.8912807309998243,3444.63525390625
4,banana,1250,5000,float32,cuda,0.00016949299993029854,0.00018949299999349023,0.03614043700008551,0.008138790000089102,0.005361708999998882,0.013173748999975032,0.175597592000031,1.6590810219998957,1.897852284999999,3444.63525390625
5,banana,1250,5000,float32,cuda,0.00016468199999053468,0.00020233800000823976,0.03541891800000485,0.008137637999993785,0.005593035999936546,0.012581973000010294,0.1751130860000103,1.6435835869999664,1.880795257999921,3444.63525390625
6,banana,1250,5000,float32,cuda,0.0002187159999493815,0.00027714399993783445,0.04471746100000473,0.008421390999956202,0.0056991830000470145,0.012989217000040298,0.17309970899998461,1.6525553200000331,1.8979781409999532,3444.63525390625
7,banana,1250,5000,float32,cuda,0.00015899800007446174,0.00020145700000284705,0.036798948999944514,0.008797758000014255,0.005288295000013932,0.01294387900009042,0.17459584599998834,1.6510176420000562,1.889802824000185,3444.63525390625
8,banana,1250,5000,float32,cuda,0.0001561529999207778,0.0001993250000396074,0.03562246799992863,0.009331127999985256,0.005805559000009453,0.013052990000005593,0.17585545599990837,2.01393171899997,2.253954797999768,3444.63525390625
9,banana,1250,5000,float32,cuda,0.00020338399997399392,0.0002776070000436448,0.05970075400000496,0.012366295999981958,0.008350628000016513,0.011831293999989612,0.17845455100007257,1.662519331999988,1.9337038460000713,3444.63525390625
