run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_mem_mb
0,banana,300,1200,float64,cuda,0.00015977400016708998,0.00018660500063560903,0.03518847499981348,0.008341980000295734,0.00494302599963703,0.0009391749999849708,0.010332441999707953,0.24118737499975396,0.3012788519999958,404.85009765625
1,banana,300,1200,float64,cuda,0.00015497999993385747,0.0002053990001513739,0.035864842000592034,0.008740680000300927,0.005074077999779547,0.0008741239998926176,0.010226128000795143,0.2385205290001977,0.2996607600016432,404.85009765625
2,banana,300,1200,float64,cuda,0.00017946600019058678,0.000248616000135371,0.03776265099986631,0.008243858999776421,0.005363274999581336,0.0009690500000942848,0.010267347000080917,0.24628712899993843,0.30932139299966366,404.85009765625
3,banana,300,1200,float64,cuda,0.00015352299942605896,0.0002005480000661919,0.035267748000478605,0.008143584999743325,0.0046527380000043195,0.0009037010004249169,0.010130186999958823,0.23970930499945098,0.2991613349995532,404.85009765625
4,banana,300,1200,float64,cuda,0.00014405399997485802,0.0002690780002012616,0.03684445799990499,0.008958579999671201,0.005730161999963457,0.0008959699998740689,0.01022329700026603,0.23850646800019604,0.3015720670000519,404.85009765625
5,banana,300,1200,float64,cuda,0.00016220199995586881,0.00022783700023865094,0.035721266999644286,0.009259885000574286,0.004938777999996091,0.0009808869999687886,0.010311035999620799,0.23906496900053753,0.3006668610005363,404.85009765625
6,banana,300,1200,float64,cuda,0.00015459499991266057,0.00019960100053140195,0.034692062999965856,0.008128165999551129,0.0047389310002472484,0.0009986100003516185,0.010280140000759275,0.24078854100025637,0.29998064700157556,404.85009765625
7,banana,300,1200,float64,cuda,0.000178905000211671,0.00020670699996117037,0.03591929699996399,0.008242169000368449,0.005034355000134383,0.0009529419994578348,0.010285307999765791,0.23726732900013303,0.2980870119999963,404.85009765625
8,banana,300,1200,float64,cuda,0.00017555700014781905,0.00021159300013096072,0.0356296170002679,0.008059031000811956,0.0046227889997680904,0.0008855759997459245,0.0101196860005075,0.25154920400018455,0.3112530530015647,404.85009765625
9,banana,300,1200,float64,cuda,0.00019086100019194419,0.0002728950003074715,0.04183147200001258,0.009428361000573204,0.005230134999692382,0.0009329700005764607,0.010205669000242779,0.26760755899977084,0.33569992200136767,404.85009765625
0,banana,300,1200,float32,cuda,0.0001326970004811301,0.00015425800029333914,0.035173035000298114,0.0093005290000292,0.0045284530006028945,0.0005149050002728472,0.005980607999845233,0.11789081599999918,0.17367530100182194,208.46435546875
1,banana,300,1200,float32,cuda,0.0001342350005870685,0.00016583300021011382,0.0363894550000623,0.007983229999808827,0.004511048000495066,0.0007154469994929968,0.006032298999343766,0.11887349800053926,0.1748050450005394,208.46435546875
2,banana,300,1200,float32,cuda,0.00014542200005962513,0.00018846400053007528,0.03434542600007262,0.008602558999882604,0.004615060000105586,0.0005631210005958565,0.005926429999817628,0.11889194100058376,0.17327842300164775,208.46435546875
3,banana,300,1200,float32,cuda,0.00013597400084108813,0.00017258700063393917,0.036064144000192755,0.008220525999604433,0.0046688350003023515,0.0006748219993824023,0.005931314999543247,0.1185261040000114,0.17439430700051162,208.46435546875
4,banana,300,1200,float32,cuda,0.00014556199948856374,0.00017832599951361772,0.035624801999802,0.008155235999765864,0.0047024709992911085,0.0005799319997095154,0.005867098999260634,0.11897262999991653,0.17422605799674784,208.46435546875
5,banana,300,1200,float32,cuda,0.00013334600043890532,0.00015494299987039994,0.03406173999974271,0.01198195399956603,0.008297014000163472,0.0008222670003306121,0.00645689399971161,0.12575675000061892,0.18766490800044267,208.46435546875
6,banana,300,1200,float32,cuda,0.00014740200003870996,0.0001641669996388373,0.04280868899968482,0.012917098999423615,0.009134848000030615,0.0008604700005889754,0.0062255360007839045,0.12486732800061873,0.1971255390008082,208.46435546875
7,banana,300,1200,float32,cuda,0.0001297509998039459,0.00016034100008255336,0.035678795000421815,0.008049023999774363,0.004548582000097667,0.0006796160005251295,0.006053090999557753,0.1195744079996075,0.17487360799987073,208.46435546875
8,banana,300,1200,float32,cuda,0.0001988320000236854,0.0001632109997444786,0.035018443000808475,0.008063188000051014,0.004553953000140609,0.0006651989997408236,0.006072122999285057,0.11981072199978371,0.17454567099957785,208.46435546875
9,banana,300,1200,float32,cuda,0.00021670400019502267,0.00025258200003008824,0.04214033100015513,0.013215525999839883,0.006413074000192864,0.0009042729998327559,0.006519886999740265,0.13000168899998243,0.19966406599996844,208.46435546875
0,banana,625,2500,float64,cuda,0.00015622499995515682,0.00019017300019186223,0.034785661000569235,0.007931550000648713,0.005506946999958018,0.002896693000366213,0.040936631000477064,1.0257174070002293,1.1181212870023955,1727.9423828125
1,banana,625,2500,float64,cuda,0.00016770100046414882,0.00019256499945186079,0.03491116100030922,0.00808927600064635,0.005418103000010888,0.0025485619999017217,0.040896071000133816,1.022961464999753,1.115184904000671,1727.9423828125
2,banana,625,2500,float64,cuda,0.000151670000377635,0.00019049200000154087,0.03569510699981038,0.008034223999857204,0.005419597000582144,0.0025445289993513143,0.04103039399979025,1.0523517400006313,1.1454177530004017,1727.9423828125
3,banana,625,2500,float64,cuda,0.0001681219991951366,0.00018358199940848863,0.03677232100017136,0.007927794999886828,0.005347116999473656,0.00252197299960244,0.04081614400001854,1.0270024530000228,1.1207395069977792,1727.9423828125
4,banana,625,2500,float64,cuda,0.00015458899997611297,0.00018048200035991613,0.0351049740002054,0.008181598000192025,0.0053031090001240955,0.0025066039997909684,0.040759178999906,1.0245180550000441,1.1167085900005986,1727.9423828125
5,banana,625,2500,float64,cuda,0.00015305499982787296,0.00017816999934439082,0.034763676999318704,0.007982081999216462,0.005378639999435109,0.0024834490004650434,0.04084398000031797,1.0370762320007998,1.1288592849987253,1727.9423828125
6,banana,625,2500,float64,cuda,0.0001612109999769018,0.000211468999623321,0.03509012700033054,0.008223600999372138,0.005360946000109834,0.002496392000466585,0.04091525899912085,1.0340914500002327,1.126550454999233,1727.9423828125
7,banana,625,2500,float64,cuda,0.00016727399997762404,0.00023268200038728537,0.03475839500060829,0.00813710100010212,0.00561781400028849,0.002519296000173199,0.040894165000281646,1.0359713199995895,1.1282980470014081,1727.9423828125
8,banana,625,2500,float64,cuda,0.00016344400046364171,0.0002161010006602737,0.03416909700081305,0.00815519099978701,0.005389265999838244,0.0025026530001923675,0.040670143000170356,1.0288028040004065,1.1200686990023314,1727.9423828125
9,banana,625,2500,float64,cuda,0.00014645000010204967,0.00018043399995804066,0.034955960999468516,0.008607562000179314,0.005340599999726692,0.0023855849995015888,0.040658201999576704,1.0252796819995638,1.1175544759980767,1727.9423828125
0,banana,625,2500,float32,cuda,0.0001597219998075161,0.00026733799950307,0.04030595699987316,0.010199890999501804,0.0055625719996896805,0.001689341999735916,0.023486297999625094,0.5241595919997053,0.6058307119974415,869.5927734375
1,banana,625,2500,float32,cuda,0.00014844300039840164,0.00018831500074156793,0.034167816000262974,0.008093604999885429,0.004916667000543384,0.0015286010002455441,0.023338752000199747,0.5097566809999989,0.582138880002276,869.5927734375
2,banana,625,2500,float32,cuda,0.0002456029997119913,0.00019985000017186394,0.03459496699997544,0.008248428000115382,0.005424650999884761,0.0016716830004952499,0.02331778999996459,0.5097079990000566,0.5834109710003759,869.5927734375
3,banana,625,2500,float32,cuda,0.0001471229998060153,0.0002500319997125189,0.03484651200051303,0.00803449399973033,0.004523337000136962,0.0016040959999372717,0.02336533200013946,0.5107854309999311,0.5835563569999067,869.5927734375
4,banana,625,2500,float32,cuda,0.00014192700018611504,0.00023591700028191553,0.03478129499944771,0.008180425999853469,0.004889402999651793,0.001513162000264856,0.023398254999847268,0.5130108429993925,0.5861512279989256,869.5927734375
5,banana,625,2500,float32,cuda,0.0001286429996980587,0.0001615150003999588,0.037029758999779006,0.00835543300036079,0.004490018999604217,0.0016156510000655544,0.023258240999894042,0.5142110239994508,0.5892502849992525,869.5927734375
6,banana,625,2500,float32,cuda,0.000193298999874969,0.00018520899993745843,0.034873634000177844,0.007946504999381432,0.004596254999341909,0.0017032760006259196,0.02335446500001126,0.5137459119996493,0.586598554999,869.5927734375
7,banana,625,2500,float32,cuda,0.00016337200031557586,0.00018384800023341086,0.03559907999988354,0.008137335999890638,0.0045139330004531075,0.0015382530000351835,0.02333611900030519,0.5125152640002852,0.5859872050014019,869.5927734375
8,banana,625,2500,float32,cuda,0.00013822999972035177,0.0001655550004215911,0.035083523000139394,0.007937483000205248,0.004492253000535129,0.001575819999743544,0.023263498000233085,0.512835778000408,0.5854921400014064,869.5927734375
9,banana,625,2500,float32,cuda,0.00015030399936222238,0.00020772600055352086,0.034189711999715655,0.007904031000180112,0.004499822999605385,0.0015098410003702156,0.02327973999945243,0.515263808999407,0.5870049859986466,869.5927734375
0,banana,1250,5000,float64,cuda,0.00016762799987191102,0.0002115420002155588,0.035686246000295796,0.008343509000042104,0.014794560999689566,0.015904218000287074,0.17619143400042958,4.287647737999578,4.538946876000409,6879.62548828125
1,banana,1250,5000,float64,cuda,0.00014801400084252236,0.00019818500004475936,0.034393595999972604,0.007996596999873873,0.01439792299970577,0.014817504999882658,0.17561174499951449,4.20778569399954,4.455349258999377,6879.62548828125
2,banana,1250,5000,float64,cuda,0.00015125000027182978,0.00018832200021279277,0.03451775400026236,0.008291826999993646,0.014981786999669566,0.014848929000436328,0.17557876800037775,4.183927113000209,4.432485750001433,6879.62548828125
