run_idx,object,n1,n2,dtype,device,t_data_create_cpu,t_h2d_transfer,t_curves,t_match_and_base_crown,t_tangent,t_alloc_output,t_kernel_surf_pts,t_d2h_transfer,t_total,peak_mem_mb
0,vase,300,1200,float64,cuda,0.0001878929997474188,0.00023343999964708928,0.043831880000652745,0.008894663999853947,0.004855617000430357,0.0010512759999983246,0.01229610800055525,0.3018266279996169,0.37317750600050204,515.02490234375
1,vase,300,1200,float64,cuda,0.00015717799942649435,0.00018040700069832383,0.04638802299996314,0.009193847000460664,0.005086353000478994,0.0012219689997436944,0.012372551999760617,0.30242493900004774,0.37702526800057967,515.02490234375
2,vase,300,1200,float64,cuda,0.00015784800052642822,0.00020440699972823495,0.04529133500000171,0.008707839000635431,0.004932529999678081,0.0010576069998933235,0.01227095800004463,0.29689011099981144,0.3695126350003193,515.02490234375
3,vase,300,1200,float64,cuda,0.00021844399998371955,0.00019204999989597127,0.04376147499988292,0.008835169000121823,0.004671921000408474,0.0010312980002709082,0.012387718000354653,0.3020353829997475,0.373133458000666,515.02490234375
4,vase,300,1200,float64,cuda,0.000149288999637065,0.0002321700003449223,0.04432371500024601,0.008559124000385054,0.004815405000044848,0.001041516999976011,0.01254841599984502,0.300839587000155,0.37250922300063394,515.02490234375
5,vase,300,1200,float64,cuda,0.00014649600052507594,0.0001675649991739192,0.044806515000345826,0.00889885000015056,0.0044938850005564746,0.0010398619997431524,0.012446519000150147,0.29591947300014,0.36791916500078514,515.02490234375
6,vase,300,1200,float64,cuda,0.00016010200033633737,0.00017753199972503353,0.04792636699949071,0.008480976999635459,0.005227118000220798,0.0010142050005015335,0.012570871000207262,0.30082066399972973,0.37637783599984687,515.02490234375
7,vase,300,1200,float64,cuda,0.00015021800027170684,0.00018832200021279277,0.047306821000347554,0.008696156999576488,0.004735909000373795,0.00110970800051291,0.012419362999935402,0.2967005880000215,0.3713070860012522,515.02490234375
8,vase,300,1200,float64,cuda,0.00014727999950991943,0.00018401199940853985,0.045174095000220404,0.008898682999642915,0.004539372000181174,0.00103230800050369,0.012438830999599304,0.2972083560007377,0.36962293699980364,515.02490234375
9,vase,300,1200,float64,cuda,0.00020924599994032178,0.00018882799940911354,0.04463161300009233,0.01044016699961503,0.00450640500002919,0.001023067000460287,0.012375723000332073,0.2989344980005626,0.37230954700044094,515.02490234375
0,vase,300,1200,float32,cuda,0.00012627100022655213,0.00014472099974227604,0.044251625000470085,0.008849828000165871,0.004934730999593739,0.0009241409998139716,0.00749334100055421,0.1642220929998075,0.2309467510003742,262.55615234375
