implementation,object,n1,n2,dtype,peak_mem_mb_mean,peak_mem_mb_std,peak_mem_mb_all_reps
Serial Python,banana,300,1200,float32,351.7109375,0.2890625,"[351.421875, 352.0]"
Serial Python,apple,300,1200,float32,383.74609375,0.05859375,"[383.6875, 383.8046875]"
Serial Python,vase,300,1200,float32,384.541015625,0.177734375,"[384.36328125, 384.71875]"
Serial Python,banana,300,1200,float64,351.63671875,0.17578125,"[351.4609375, 351.8125]"
Serial Python,apple,300,1200,float64,384.0078125,0.1953125,"[383.8125, 384.203125]"
Serial Python,vase,300,1200,float64,385.2421875,0.03125,"[385.2734375, 385.2109375]"
Serial Python,banana,625,2500,float32,792.7109375,0.19921875,"[792.51171875, 792.91015625]"
Serial Python,apple,625,2500,float32,935.05078125,0.0625,"[935.11328125, 934.98828125]"
Serial Python,vase,625,2500,float32,936.0234375,0.17578125,"[935.84765625, 936.19921875]"
Serial Python,banana,625,2500,float64,792.90625,0.05859375,"[792.96484375, 792.84765625]"
Serial Python,apple,625,2500,float64,935.611328125,0.044921875,"[935.65625, 935.56640625]"
Serial Python,vase,625,2500,float64,936.462890625,0.146484375,"[936.31640625, 936.609375]"
Serial Python,banana,1250,5000,float32,2510.302734375,0.138671875,"[2510.1640625, 2510.44140625]"
Serial Python,apple,1250,5000,float32,3081.8671875,0.0,"[3081.8671875, 3081.8671875]"
Serial Python,vase,1250,5000,float32,3083.0,0.0625,"[3082.9375, 3083.0625]"
Serial Python,banana,1250,5000,float64,2511.412109375,0.224609375,"[2511.1875, 2511.63671875]"
Serial Python,apple,1250,5000,float64,3083.41796875,0.00390625,"[3083.4140625, 3083.421875]"
Serial Python,vase,1250,5000,float64,3084.341796875,0.048828125,"[3084.390625, 3084.29296875]"
NumPy-vectorized (1 thread),banana,300,1200,float32,385.9609375,0.05859375,"[385.90234375, 386.01953125]"
NumPy-vectorized (1 thread),apple,300,1200,float32,440.314453125,0.134765625,"[440.44921875, 440.1796875]"
NumPy-vectorized (1 thread),vase,300,1200,float32,441.21875,0.19921875,"[441.01953125, 441.41796875]"
NumPy-vectorized (1 thread),banana,300,1200,float64,551.515625,0.25390625,"[551.26171875, 551.76953125]"
NumPy-vectorized (1 thread),apple,300,1200,float64,660.974609375,0.025390625,"[661.0, 660.94921875]"
NumPy-vectorized (1 thread),vase,300,1200,float64,662.201171875,0.162109375,"[662.0390625, 662.36328125]"
NumPy-vectorized (1 thread),banana,625,2500,float32,937.5859375,0.12109375,"[937.70703125, 937.46484375]"
NumPy-vectorized (1 thread),apple,625,2500,float32,1175.734375,0.140625,"[1175.59375, 1175.875]"
NumPy-vectorized (1 thread),vase,625,2500,float32,1176.611328125,0.072265625,"[1176.68359375, 1176.5390625]"
NumPy-vectorized (1 thread),banana,625,2500,float64,1654.818359375,0.099609375,"[1654.91796875, 1654.71875]"
NumPy-vectorized (1 thread),apple,625,2500,float64,2132.044921875,0.017578125,"[2132.02734375, 2132.0625]"
NumPy-vectorized (1 thread),vase,625,2500,float64,2133.21875,0.03515625,"[2133.25390625, 2133.18359375]"
NumPy-vectorized (1 thread),banana,1250,5000,float32,3085.955078125,0.064453125,"[3086.01953125, 3085.890625]"
NumPy-vectorized (1 thread),apple,1250,5000,float32,4039.853515625,0.259765625,"[4039.59375, 4040.11328125]"
NumPy-vectorized (1 thread),vase,1250,5000,float32,4040.80859375,0.2734375,"[4041.08203125, 4040.53515625]"
NumPy-vectorized (1 thread),banana,1250,5000,float64,5950.849609375,0.064453125,"[5950.9140625, 5950.78515625]"
NumPy-vectorized (1 thread),apple,1250,5000,float64,7859.599609375,0.017578125,"[7859.6171875, 7859.58203125]"
NumPy-vectorized (1 thread),vase,1250,5000,float64,7860.76953125,0.0078125,"[7860.76171875, 7860.77734375]"
