implementation,object,n1,n2,dtype,peak_mem_mb_mean,peak_mem_mb_std,peak_mem_mb_all_reps
Serial Python,banana,300,1200,float32,351.755859375,0.166015625,"[351.58984375, 351.921875]"
Serial Python,apple,300,1200,float32,384.15234375,0.00390625,"[384.15625, 384.1484375]"
Serial Python,vase,300,1200,float32,385.2109375,0.07421875,"[385.13671875, 385.28515625]"
Serial Python,banana,300,1200,float64,352.20703125,0.21875,"[352.42578125, 351.98828125]"
Serial Python,apple,300,1200,float64,384.548828125,0.181640625,"[384.73046875, 384.3671875]"
Serial Python,vase,300,1200,float64,385.375,0.2265625,"[385.6015625, 385.1484375]"
Serial Python,banana,625,2500,float32,793.060546875,0.294921875,"[792.765625, 793.35546875]"
Serial Python,apple,625,2500,float32,935.10546875,0.0625,"[935.16796875, 935.04296875]"
Serial Python,vase,625,2500,float32,936.666015625,0.232421875,"[936.43359375, 936.8984375]"
Serial Python,banana,625,2500,float64,793.390625,0.11328125,"[793.27734375, 793.50390625]"
Serial Python,apple,625,2500,float64,936.2734375,0.14453125,"[936.41796875, 936.12890625]"
Serial Python,vase,625,2500,float64,937.029296875,0.001953125,"[937.03125, 937.02734375]"
Serial Python,banana,1250,5000,float32,2510.876953125,0.072265625,"[2510.8046875, 2510.94921875]"
Serial Python,apple,1250,5000,float32,3082.353515625,0.072265625,"[3082.28125, 3082.42578125]"
Serial Python,vase,1250,5000,float32,3083.392578125,0.111328125,"[3083.28125, 3083.50390625]"
Serial Python,banana,1250,5000,float64,2511.48046875,0.16015625,"[2511.640625, 2511.3203125]"
Serial Python,apple,1250,5000,float64,3083.669921875,0.138671875,"[3083.80859375, 3083.53125]"
Serial Python,vase,1250,5000,float64,3084.525390625,0.064453125,"[3084.58984375, 3084.4609375]"
NumPy-vectorized (1 thread),banana,300,1200,float32,386.357421875,0.228515625,"[386.12890625, 386.5859375]"
NumPy-vectorized (1 thread),apple,300,1200,float32,440.88671875,0.04296875,"[440.84375, 440.9296875]"
NumPy-vectorized (1 thread),vase,300,1200,float32,441.734375,0.015625,"[441.71875, 441.75]"
NumPy-vectorized (1 thread),banana,300,1200,float64,551.96875,0.0390625,"[552.0078125, 551.9296875]"
NumPy-vectorized (1 thread),apple,300,1200,float64,661.5390625,0.0625,"[661.6015625, 661.4765625]"
NumPy-vectorized (1 thread),vase,300,1200,float64,662.421875,0.05859375,"[662.48046875, 662.36328125]"
NumPy-vectorized (1 thread),banana,625,2500,float32,938.27734375,0.06640625,"[938.34375, 938.2109375]"
NumPy-vectorized (1 thread),apple,625,2500,float32,1175.814453125,0.021484375,"[1175.79296875, 1175.8359375]"
NumPy-vectorized (1 thread),vase,625,2500,float32,1177.126953125,0.166015625,"[1176.9609375, 1177.29296875]"
NumPy-vectorized (1 thread),banana,625,2500,float64,1655.40625,0.0859375,"[1655.3203125, 1655.4921875]"
NumPy-vectorized (1 thread),apple,625,2500,float64,2132.728515625,0.021484375,"[2132.70703125, 2132.75]"
NumPy-vectorized (1 thread),vase,625,2500,float64,2133.255859375,0.091796875,"[2133.34765625, 2133.1640625]"
NumPy-vectorized (1 thread),banana,1250,5000,float32,3086.4296875,0.08203125,"[3086.51171875, 3086.34765625]"
NumPy-vectorized (1 thread),apple,1250,5000,float32,4040.072265625,0.068359375,"[4040.140625, 4040.00390625]"
NumPy-vectorized (1 thread),vase,1250,5000,float32,4041.21875,0.03515625,"[4041.25390625, 4041.18359375]"
NumPy-vectorized (1 thread),banana,1250,5000,float64,5951.1796875,0.0234375,"[5951.15625, 5951.203125]"
NumPy-vectorized (1 thread),apple,1250,5000,float64,7859.947265625,0.005859375,"[7859.94140625, 7859.953125]"
NumPy-vectorized (1 thread),vase,1250,5000,float64,7861.185546875,0.103515625,"[7861.2890625, 7861.08203125]"
