implementation,platform,object,n1,n2,dtype,mean_total_s,std_total_s,mean_kernel_s,mean_transfer_s,mean_peak_mem_mb,n_runs
Serial Python,Colab,banana,300,1200,float32,1.2394378606997634,0.24001310358733494,,0.0,,10
Serial Python,Colab,banana,300,1200,float64,1.3669682633997582,0.2756920844223766,,0.0,,10
Serial Python,Colab,banana,625,2500,float32,3.087219548000212,0.5433633594339528,,0.0,,10
Serial Python,Colab,banana,625,2500,float64,4.268832699401537,1.5777337002878642,,0.0,,10
Serial Python,Colab,banana,1250,5000,float32,7.855282800400164,0.8258552828439778,,0.0,,10
Serial Python,Colab,banana,1250,5000,float64,9.302755542699742,0.4575314326107957,,0.0,,10
Serial Python,Colab,apple,300,1200,float32,1.538559276700107,0.28290067237094363,,0.0,,10
Serial Python,Colab,apple,300,1200,float64,1.6627475296008924,0.25143757998255867,,0.0,,10
Serial Python,Colab,apple,625,2500,float32,3.7547632989000705,0.5194273782758094,,0.0,,10
Serial Python,Colab,apple,625,2500,float64,4.369468380599938,0.5519260285686861,,0.0,,10
Serial Python,Colab,apple,1250,5000,float32,8.973089311599688,0.4019409710213022,,0.0,,10
Serial Python,Colab,apple,1250,5000,float64,11.214491901600923,0.3934677106846616,,0.0,,10
Serial Python,Colab,vase,300,1200,float32,1.5111399236993748,0.2738780203884865,,0.0,,10
Serial Python,Colab,vase,300,1200,float64,1.7873094241997023,0.32644859630718553,,0.0,,10
Serial Python,Colab,vase,625,2500,float32,3.991188890899866,0.6283100518269301,,0.0,,10
Serial Python,Colab,vase,625,2500,float64,4.433394421599587,0.45699508538085615,,0.0,,10
Serial Python,Colab,vase,1250,5000,float32,9.258257251699979,0.5275796007203486,,0.0,,10
Serial Python,Colab,vase,1250,5000,float64,11.314801796399479,0.40465770152766434,,0.0,,10
Serial Python,Kaggle,banana,300,1200,float32,1.0235078499000054,0.021766264098948145,,0.0,351.755859375,10
Serial Python,Kaggle,banana,300,1200,float64,1.1234594694000122,0.03272434937798093,,0.0,352.20703125,10
Serial Python,Kaggle,banana,625,2500,float32,2.5685525949999715,0.05727640390628235,,0.0,793.060546875,10
Serial Python,Kaggle,banana,625,2500,float64,2.913911214300009,0.05991563667761313,,0.0,793.390625,10
Serial Python,Kaggle,banana,1250,5000,float32,6.710649897399992,0.052599334078304985,,0.0,2510.876953125,10
Serial Python,Kaggle,banana,1250,5000,float64,7.7378478061000235,0.050392771197512544,,0.0,2511.48046875,10
Serial Python,Kaggle,apple,300,1200,float32,1.2888340778999918,0.04878750825432223,,0.0,384.15234375,10
Serial Python,Kaggle,apple,300,1200,float64,1.384333269800004,0.04439723519990179,,0.0,384.548828125,10
Serial Python,Kaggle,apple,625,2500,float32,3.1508222080999984,0.038052479306259684,,0.0,935.10546875,10
Serial Python,Kaggle,apple,625,2500,float64,3.596885606500001,0.10776375564674658,,0.0,936.2734375,10
Serial Python,Kaggle,apple,1250,5000,float32,8.105146092399991,0.06795565425112923,,0.0,3082.353515625,10
Serial Python,Kaggle,apple,1250,5000,float64,9.542882562399996,0.08984614585429498,,0.0,3083.669921875,10
Serial Python,Kaggle,vase,300,1200,float32,1.3199242534000064,0.07246888315235152,,0.0,385.2109375,10
Serial Python,Kaggle,vase,300,1200,float64,1.395227402900008,0.018792829382741655,,0.0,385.375,10
Serial Python,Kaggle,vase,625,2500,float32,3.1884182788000204,0.025058955086903235,,0.0,936.666015625,10
