implementation,object,n1,n2,dtype,peak_mem_mb_mean,peak_mem_mb_std,peak_mem_mb_all_reps
Numba (multithreaded),banana,300,1200,float32,608.703125,3.23828125,"[605.46484375, 611.94140625]"
Numba (multithreaded),apple,300,1200,float32,619.595703125,0.009765625,"[619.60546875, 619.5859375]"
Numba (multithreaded),vase,300,1200,float32,645.02734375,0.05078125,"[644.9765625, 645.078125]"
Numba (multithreaded),banana,300,1200,float64,737.548828125,0.021484375,"[737.52734375, 737.5703125]"
Numba (multithreaded),apple,300,1200,float64,783.71484375,0.09375,"[783.62109375, 783.80859375]"
Numba (multithreaded),vase,300,1200,float64,803.619140625,0.103515625,"[803.72265625, 803.515625]"
Numba (multithreaded),banana,625,2500,float32,1052.810546875,0.095703125,"[1052.71484375, 1052.90625]"
Numba (multithreaded),apple,625,2500,float32,1170.3359375,0.12109375,"[1170.21484375, 1170.45703125]"
Numba (multithreaded),vase,625,2500,float32,1196.03125,0.14453125,"[1195.88671875, 1196.17578125]"
Numba (multithreaded),banana,625,2500,float64,1619.55078125,0.19921875,"[1619.75, 1619.3515625]"
Numba (multithreaded),apple,625,2500,float64,1886.0625,0.1171875,"[1886.1796875, 1885.9453125]"
Numba (multithreaded),vase,625,2500,float64,1906.216796875,0.404296875,"[1905.8125, 1906.62109375]"
Numba (multithreaded),banana,1250,5000,float32,2770.6328125,0.0703125,"[2770.5625, 2770.703125]"
Numba (multithreaded),apple,1250,5000,float32,3317.31640625,0.2734375,"[3317.58984375, 3317.04296875]"
Numba (multithreaded),vase,1250,5000,float32,3342.86328125,0.16796875,"[3342.6953125, 3343.03125]"
Numba (multithreaded),banana,1250,5000,float64,5054.783203125,0.099609375,"[5054.8828125, 5054.68359375]"
Numba (multithreaded),apple,1250,5000,float64,6179.94921875,0.23046875,"[6180.1796875, 6179.71875]"
Numba (multithreaded),vase,1250,5000,float64,6200.03125,0.1328125,"[6199.8984375, 6200.1640625]"
Numba (1 thread),banana,300,1200,float32,568.08203125,0.08984375,"[568.171875, 567.9921875]"
Numba (1 thread),apple,300,1200,float32,593.69921875,0.2265625,"[593.47265625, 593.92578125]"
Numba (1 thread),vase,300,1200,float32,601.60546875,0.10546875,"[601.5, 601.7109375]"
Numba (1 thread),banana,300,1200,float64,700.58203125,0.09765625,"[700.6796875, 700.484375]"
Numba (1 thread),apple,300,1200,float64,759.939453125,0.119140625,"[760.05859375, 759.8203125]"
Numba (1 thread),vase,300,1200,float64,766.484375,0.18359375,"[766.66796875, 766.30078125]"
Numba (1 thread),banana,625,2500,float32,1009.16015625,0.046875,"[1009.11328125, 1009.20703125]"
Numba (1 thread),apple,625,2500,float32,1145.72265625,0.84765625,"[1146.5703125, 1144.875]"
Numba (1 thread),vase,625,2500,float32,1152.330078125,0.119140625,"[1152.2109375, 1152.44921875]"
Numba (1 thread),banana,625,2500,float64,1582.548828125,0.115234375,"[1582.6640625, 1582.43359375]"
Numba (1 thread),apple,625,2500,float64,1861.138671875,0.744140625,"[1861.8828125, 1860.39453125]"
Numba (1 thread),vase,625,2500,float64,1868.71484375,0.0390625,"[1868.67578125, 1868.75390625]"
Numba (1 thread),banana,1250,5000,float32,2726.9375,0.125,"[2726.8125, 2727.0625]"
Numba (1 thread),apple,1250,5000,float32,3291.935546875,0.056640625,"[3291.9921875, 3291.87890625]"
Numba (1 thread),vase,1250,5000,float32,3299.404296875,0.119140625,"[3299.28515625, 3299.5234375]"
Numba (1 thread),banana,1250,5000,float64,5017.21875,0.25,"[5016.96875, 5017.46875]"
Numba (1 thread),apple,1250,5000,float64,6154.974609375,0.837890625,"[6154.13671875, 6155.8125]"
Numba (1 thread),vase,1250,5000,float64,6162.69921875,0.08203125,"[6162.6171875, 6162.78125]"
