implementation,object,n1,n2,dtype,peak_mem_mb_mean,peak_mem_mb_std,peak_mem_mb_all_reps
Numba (multithreaded),banana,300,1200,float32,611.7578125,0.296875,"[611.4609375, 612.0546875]"
Numba (multithreaded),apple,300,1200,float32,622.486328125,0.123046875,"[622.36328125, 622.609375]"
Numba (multithreaded),vase,300,1200,float32,645.263671875,0.189453125,"[645.07421875, 645.453125]"
Numba (multithreaded),banana,300,1200,float64,741.986328125,0.021484375,"[742.0078125, 741.96484375]"
Numba (multithreaded),apple,300,1200,float64,784.34375,0.64453125,"[783.69921875, 784.98828125]"
Numba (multithreaded),vase,300,1200,float64,808.208984375,0.041015625,"[808.25, 808.16796875]"
Numba (multithreaded),banana,625,2500,float32,1053.087890625,0.193359375,"[1053.28125, 1052.89453125]"
Numba (multithreaded),apple,625,2500,float32,1173.69921875,0.1015625,"[1173.80078125, 1173.59765625]"
Numba (multithreaded),vase,625,2500,float32,1196.4765625,0.01953125,"[1196.49609375, 1196.45703125]"
Numba (multithreaded),banana,625,2500,float64,1623.90234375,0.125,"[1623.77734375, 1624.02734375]"
Numba (multithreaded),apple,625,2500,float64,1886.96875,0.09765625,"[1886.87109375, 1887.06640625]"
Numba (multithreaded),vase,625,2500,float64,1910.486328125,0.041015625,"[1910.4453125, 1910.52734375]"
Numba (multithreaded),banana,1250,5000,float32,2770.67578125,0.03125,"[2770.70703125, 2770.64453125]"
Numba (multithreaded),apple,1250,5000,float32,3320.90625,0.09375,"[3321.0, 3320.8125]"
Numba (multithreaded),vase,1250,5000,float32,3343.37890625,0.02734375,"[3343.40625, 3343.3515625]"
Numba (multithreaded),banana,1250,5000,float64,5059.076171875,0.115234375,"[5058.9609375, 5059.19140625]"
Numba (multithreaded),apple,1250,5000,float64,6181.1171875,0.06640625,"[6181.18359375, 6181.05078125]"
Numba (multithreaded),vase,1250,5000,float64,6204.185546875,0.052734375,"[6204.23828125, 6204.1328125]"
Numba (1 thread),banana,300,1200,float32,568.939453125,0.001953125,"[568.94140625, 568.9375]"
Numba (1 thread),apple,300,1200,float32,593.751953125,0.115234375,"[593.63671875, 593.8671875]"
Numba (1 thread),vase,300,1200,float32,602.05078125,0.0234375,"[602.02734375, 602.07421875]"
Numba (1 thread),banana,300,1200,float64,701.54296875,1.34765625,"[702.890625, 700.1953125]"
Numba (1 thread),apple,300,1200,float64,759.48828125,0.71484375,"[760.203125, 758.7734375]"
Numba (1 thread),vase,300,1200,float64,766.697265625,0.060546875,"[766.63671875, 766.7578125]"
Numba (1 thread),banana,625,2500,float32,1009.943359375,0.017578125,"[1009.9609375, 1009.92578125]"
Numba (1 thread),apple,625,2500,float32,1144.900390625,0.103515625,"[1145.00390625, 1144.796875]"
Numba (1 thread),vase,625,2500,float32,1153.16796875,0.1484375,"[1153.31640625, 1153.01953125]"
Numba (1 thread),banana,625,2500,float64,1583.470703125,1.236328125,"[1582.234375, 1584.70703125]"
Numba (1 thread),apple,625,2500,float64,1861.58984375,0.57421875,"[1862.1640625, 1861.015625]"
Numba (1 thread),vase,625,2500,float64,1868.751953125,0.021484375,"[1868.7734375, 1868.73046875]"
Numba (1 thread),banana,1250,5000,float32,2727.486328125,0.052734375,"[2727.43359375, 2727.5390625]"
Numba (1 thread),apple,1250,5000,float32,3291.892578125,0.017578125,"[3291.91015625, 3291.875]"
Numba (1 thread),vase,1250,5000,float32,3300.091796875,0.107421875,"[3299.984375, 3300.19921875]"
Numba (1 thread),banana,1250,5000,float64,5017.40625,0.0390625,"[5017.4453125, 5017.3671875]"
Numba (1 thread),apple,1250,5000,float64,6155.865234375,0.802734375,"[6156.66796875, 6155.0625]"
Numba (1 thread),vase,1250,5000,float64,6162.875,0.0546875,"[6162.8203125, 6162.9296875]"
