implementation,object,n1,n2,dtype,peak_mem_mb_mean,peak_mem_mb_std,peak_mem_mb_all_reps
PyTorch CPU,banana,300,1200,float32,431.443359375,0.013671875,"[431.4296875, 431.45703125]"
PyTorch CPU,apple,300,1200,float32,485.3125,0.07421875,"[485.38671875, 485.23828125]"
PyTorch CPU,vase,300,1200,float32,486.728515625,0.091796875,"[486.63671875, 486.8203125]"
PyTorch CPU,banana,300,1200,float64,630.712890625,0.009765625,"[630.72265625, 630.703125]"
PyTorch CPU,apple,300,1200,float64,739.935546875,0.001953125,"[739.93359375, 739.9375]"
PyTorch CPU,vase,300,1200,float64,741.15234375,0.046875,"[741.19921875, 741.10546875]"
PyTorch CPU,banana,625,2500,float32,1093.33203125,0.0703125,"[1093.26171875, 1093.40234375]"
PyTorch CPU,apple,625,2500,float32,1330.96484375,0.04296875,"[1331.0078125, 1330.921875]"
PyTorch CPU,vase,625,2500,float32,1332.484375,0.08984375,"[1332.39453125, 1332.57421875]"
PyTorch CPU,banana,625,2500,float64,1954.287109375,0.041015625,"[1954.24609375, 1954.328125]"
PyTorch CPU,apple,625,2500,float64,2431.158203125,0.072265625,"[2431.0859375, 2431.23046875]"
PyTorch CPU,vase,625,2500,float64,2432.537109375,0.138671875,"[2432.67578125, 2432.3984375]"
PyTorch CPU,banana,1250,5000,float32,3670.595703125,0.037109375,"[3670.55859375, 3670.6328125]"
PyTorch CPU,apple,1250,5000,float32,4624.1640625,0.08984375,"[4624.25390625, 4624.07421875]"
PyTorch CPU,vase,1250,5000,float32,4625.7890625,0.265625,"[4626.0546875, 4625.5234375]"
PyTorch CPU,banana,1250,5000,float64,7109.21484375,0.08203125,"[7109.1328125, 7109.296875]"
PyTorch CPU,apple,1250,5000,float64,9017.693359375,0.080078125,"[9017.7734375, 9017.61328125]"
PyTorch CPU,vase,1250,5000,float64,9019.22265625,0.02734375,"[9019.1953125, 9019.25]"
