implementation,object,n1,n2,dtype,peak_mem_mb_mean,peak_mem_mb_std,peak_mem_mb_all_reps
PyTorch CPU,banana,300,1200,float32,432.1875,0.3984375,"[431.7890625, 432.5859375]"
PyTorch CPU,apple,300,1200,float32,485.900390625,0.017578125,"[485.8828125, 485.91796875]"
PyTorch CPU,vase,300,1200,float32,487.3671875,0.0390625,"[487.328125, 487.40625]"
PyTorch CPU,banana,300,1200,float64,631.328125,0.0,"[631.328125, 631.328125]"
PyTorch CPU,apple,300,1200,float64,740.255859375,0.017578125,"[740.2734375, 740.23828125]"
PyTorch CPU,vase,300,1200,float64,742.1328125,0.14453125,"[741.98828125, 742.27734375]"
PyTorch CPU,banana,625,2500,float32,1093.900390625,0.216796875,"[1093.68359375, 1094.1171875]"
PyTorch CPU,apple,625,2500,float32,1331.689453125,0.134765625,"[1331.82421875, 1331.5546875]"
PyTorch CPU,vase,625,2500,float32,1333.025390625,0.041015625,"[1333.06640625, 1332.984375]"
PyTorch CPU,banana,625,2500,float64,1954.81640625,0.12109375,"[1954.9375, 1954.6953125]"
PyTorch CPU,apple,625,2500,float64,2431.359375,0.10546875,"[2431.25390625, 2431.46484375]"
PyTorch CPU,vase,625,2500,float64,2432.751953125,0.033203125,"[2432.71875, 2432.78515625]"
PyTorch CPU,banana,1250,5000,float32,3671.23828125,0.17578125,"[3671.4140625, 3671.0625]"
PyTorch CPU,apple,1250,5000,float32,4624.82421875,0.15625,"[4624.66796875, 4624.98046875]"
PyTorch CPU,vase,1250,5000,float32,4626.140625,0.1640625,"[4625.9765625, 4626.3046875]"
PyTorch CPU,banana,1250,5000,float64,7109.48828125,0.14453125,"[7109.6328125, 7109.34375]"
PyTorch CPU,apple,1250,5000,float64,9017.91015625,0.11328125,"[9017.796875, 9018.0234375]"
PyTorch CPU,vase,1250,5000,float64,9019.80859375,0.06640625,"[9019.7421875, 9019.875]"
